account_id,customer_id,bank_name,account_type,account_tier,statement_timeframe_months,analysis_segment
ACC0117998,IND25005549,Standard Bank,easy,basic,3,basic_easy
ACC0117999,IND25011887,Capitec,easy,basic,3,basic_easy
ACC0118000,IND25011037,Capitec,current,standard,3,standard_current
ACC0118001,IND25004479,Standard Bank,savings,standard,6,standard_savings
ACC0118002,IND25013071,Absa,easy,basic,6,basic_easy
ACC0118003,IND25004900,Absa,savings,basic,6,basic_savings
ACC0118004,IND25010243,Standard Bank,easy,basic,6,basic_easy
ACC0118005,IND25012804,First National Bank,savings,standard,6,standard_savings
ACC0118006,IND25005400,Standard Bank,savings,standard,6,standard_savings
ACC0118007,IND25001262,Nedbank,easy,basic,6,basic_easy
ACC0118008,IND25002134,Absa,savings,basic,3,basic_savings
ACC0118010,IND25008960,First National Bank,cheque,standard,3,standard_cheque
ACC0118011,IND25012258,Nedbank,cheque,standard,6,standard_cheque
ACC0118012,IND25012956,Capitec,easy,basic,3,basic_easy
ACC0118013,IND25010148,Capitec,easy,basic,3,basic_easy
ACC0118014,IND25003160,First National Bank,easy,basic,6,basic_easy
ACC0118015,IND25010631,Absa,cheque,standard,3,standard_cheque
ACC0118016,IND25005139,First National Bank,current,standard,6,standard_current
ACC0118017,IND25013124,Nedbank,savings,basic,6,basic_savings
ACC0118018,IND25005956,First National Bank,easy,basic,6,basic_easy
ACC0118019,IND25010832,First National Bank,cheque,standard,6,standard_cheque
ACC0118020,IND25009902,Standard Bank,savings,basic,3,basic_savings
ACC0118021,IND25004839,African Bank,cheque,standard,3,standard_cheque
ACC0118022,IND25011713,Absa,current,standard,6,standard_current
ACC0118023,IND25002809,Nedbank,easy,basic,3,basic_easy
ACC0118024,IND25001621,Nedbank,easy,basic,3,basic_easy
ACC0118025,IND25009641,First National Bank,easy,basic,6,basic_easy
ACC0118026,IND25001905,Nedbank,current,standard,3,standard_current
ACC0118027,IND25001905,Standard Bank,savings,standard,3,standard_savings
ACC0118028,IND25001201,Capitec,easy,basic,6,basic_easy
ACC0118030,IND25013078,Absa,easy,basic,3,basic_easy
ACC0118031,IND25009113,Standard Bank,savings,basic,6,basic_savings
ACC0118032,IND25006672,First National Bank,easy,basic,3,basic_easy
ACC0118033,IND25004755,Standard Bank,savings,standard,3,standard_savings
ACC0118034,IND25004755,First National Bank,savings,standard,3,standard_savings
ACC0118035,IND25005108,Standard Bank,cheque,standard,6,standard_cheque
ACC0118037,IND25003000,Capitec,savings,basic,6,basic_savings
ACC0118038,IND25013165,Nedbank,easy,basic,3,basic_easy
ACC0118039,IND25013165,Standard Bank,joint,basic,6,basic_joint
ACC0118040,IND25003683,Capitec,easy,basic,3,basic_easy
ACC0118041,IND25011166,Capitec,current,standard,6,standard_current
ACC0118042,IND25013456,First National Bank,easy,basic,6,basic_easy
ACC0118043,IND25011217,Standard Bank,easy,basic,3,basic_easy
ACC0118044,IND25005224,First National Bank,savings,basic,3,basic_savings
ACC0118045,IND25008982,Absa,aspire,standard,3,standard_aspire
ACC0118046,IND25002847,Capitec,easy,basic,3,basic_easy
ACC0118047,IND25001873,Nedbank,savings,basic,3,basic_savings
ACC0118048,IND25003965,Nedbank,current,standard,6,standard_current
ACC0118049,IND25003965,Nedbank,savings,standard,6,standard_savings
ACC0118050,IND25001747,First National Bank,aspire,standard,6,standard_aspire
ACC0118051,IND25001891,Nedbank,easy,basic,6,basic_easy
ACC0118052,IND25004859,First National Bank,current,standard,3,standard_current
ACC0118053,IND25012274,Capitec,savings,standard,6,standard_savings
ACC0118054,IND25003418,Standard Bank,easy,basic,6,basic_easy
ACC0118055,IND25011919,Absa,savings,basic,3,basic_savings
ACC0118056,IND25012397,Standard Bank,easy,basic,3,basic_easy
ACC0118057,IND25002416,Discovery Bank,cheque,standard,6,standard_cheque
ACC0118058,IND25011914,Standard Bank,cheque,standard,6,standard_cheque
ACC0118059,IND25011997,Nedbank,easy,basic,3,basic_easy
ACC0118060,IND25000790,Capitec,easy,basic,3,basic_easy
ACC0118062,IND25000188,Capitec,current,standard,3,standard_current
ACC0118063,IND25006916,Standard Bank,easy,basic,6,basic_easy
ACC0118065,IND25011597,Standard Bank,savings,basic,3,basic_savings
ACC0118066,IND25005838,Capitec,easy,basic,6,basic_easy
ACC0118067,IND25000009,First National Bank,savings,basic,3,basic_savings
ACC0118068,IND25001744,TymeBank,easy,basic,3,basic_easy
ACC0118069,IND25012401,Capitec,current,standard,6,standard_current
ACC0118070,IND25012077,TymeBank,easy,basic,3,basic_easy
ACC0118071,IND25004332,Absa,easy,basic,6,basic_easy
ACC0118072,IND25008639,African Bank,cheque,standard,3,standard_cheque
ACC0118073,IND25005059,Capitec,cheque,standard,3,standard_cheque
ACC0118074,IND25005059,Nedbank,current,standard,3,standard_current
ACC0118075,IND25000750,Standard Bank,easy,basic,6,basic_easy
ACC0118076,IND25000816,Capitec,savings,standard,3,standard_savings
ACC0118077,IND25002605,Standard Bank,current,standard,3,standard_current
ACC0118078,IND25007009,First National Bank,savings,basic,6,basic_savings
ACC0118079,IND25003371,Nedbank,easy,basic,3,basic_easy
ACC0118080,IND25003947,Investec,easy,basic,3,basic_easy
ACC0118081,IND25005902,First National Bank,easy,basic,6,basic_easy
ACC0118082,IND25012115,Nedbank,easy,basic,3,basic_easy
ACC0118083,IND25006287,Nedbank,savings,standard,6,standard_savings
ACC0118084,IND25002659,African Bank,savings,standard,3,standard_savings
ACC0118087,IND25008056,TymeBank,current,standard,6,standard_current
ACC0118088,IND25005492,Absa,current,standard,6,standard_current
ACC0118089,IND25002680,Standard Bank,gold,premium,6,premium_gold
ACC0118090,IND25002680,Absa,current,standard,6,standard_current
ACC0118091,IND25003473,Absa,easy,basic,6,basic_easy
ACC0118092,IND25003553,First National Bank,gold,premium,3,premium_gold
ACC0118093,IND25001800,Capitec,savings,standard,6,standard_savings
ACC0118095,IND25000187,Nedbank,savings,basic,6,basic_savings
ACC0118096,IND25000187,Standard Bank,joint,basic,3,basic_joint
ACC0118097,IND25002413,Capitec,savings,standard,3,standard_savings
ACC0118098,IND25000078,Investec,savings,standard,3,standard_savings
ACC0118099,IND25009219,First National Bank,easy,basic,3,basic_easy
ACC0118100,IND25005303,Capitec,savings,standard,6,standard_savings
ACC0118101,IND25001042,Standard Bank,easy,basic,6,basic_easy
ACC0118102,IND25005352,First National Bank,gold,premium,6,premium_gold
ACC0118103,IND25005352,Capitec,current,standard,6,standard_current
ACC0118104,IND25008053,African Bank,current,standard,6,standard_current
ACC0118105,IND25008053,Standard Bank,cheque,standard,3,standard_cheque
ACC0118106,IND25013347,TymeBank,savings,basic,3,basic_savings
ACC0118107,IND25012853,Nedbank,easy,basic,6,basic_easy
ACC0118109,IND25003519,Nedbank,easy,basic,3,basic_easy
ACC0118110,IND25008695,TymeBank,current,standard,3,standard_current
ACC0118111,IND25013440,First National Bank,savings,basic,3,basic_savings
ACC0118112,IND25002763,Absa,easy,basic,3,basic_easy
ACC0118113,IND25005857,Absa,easy,basic,6,basic_easy
ACC0118114,IND25008517,Capitec,easy,basic,3,basic_easy
ACC0118115,IND25006972,Nedbank,cheque,standard,6,standard_cheque
ACC0118116,IND25004707,First National Bank,current,standard,6,standard_current
ACC0118117,IND25007254,Standard Bank,cheque,standard,6,standard_cheque
ACC0118118,IND25007254,Nedbank,savings,standard,6,standard_savings
ACC0118119,IND25005194,First National Bank,easy,basic,3,basic_easy
ACC0118120,IND25004489,African Bank,easy,basic,3,basic_easy
ACC0118121,IND25005615,Nedbank,easy,basic,3,basic_easy
ACC0118122,IND25010100,Capitec,savings,basic,3,basic_savings
ACC0118123,IND25009791,African Bank,easy,basic,3,basic_easy
ACC0118124,IND25001409,First National Bank,current,standard,3,standard_current
ACC0118125,IND25009550,African Bank,savings,basic,3,basic_savings
ACC0118126,IND25002148,Nedbank,easy,basic,6,basic_easy
ACC0118127,IND25002148,Nedbank,joint,basic,6,basic_joint
ACC0118128,IND25009175,First National Bank,easy,basic,6,basic_easy
ACC0118129,IND25003511,Standard Bank,current,standard,6,standard_current
ACC0118130,IND25012882,First National Bank,easy,basic,3,basic_easy
ACC0118131,IND25004576,Capitec,easy,basic,6,basic_easy
ACC0118132,IND25003918,Nedbank,easy,basic,3,basic_easy
ACC0118133,IND25009240,First National Bank,savings,basic,6,basic_savings
ACC0118134,IND25002510,Absa,easy,basic,3,basic_easy
ACC0118135,IND25001379,Capitec,savings,standard,6,standard_savings
ACC0118136,IND25003748,Capitec,easy,basic,6,basic_easy
ACC0118137,IND25007842,First National Bank,easy,basic,3,basic_easy
ACC0118138,IND25002987,Standard Bank,easy,basic,3,basic_easy
ACC0118139,IND25002987,First National Bank,joint,basic,3,basic_joint
ACC0118142,IND25013123,Absa,savings,basic,6,basic_savings
ACC0118143,IND25002516,First National Bank,savings,basic,6,basic_savings
ACC0118144,IND25006534,Capitec,savings,standard,6,standard_savings
ACC0118145,IND25007171,Standard Bank,easy,basic,6,basic_easy
ACC0118146,IND25005422,Discovery Bank,savings,standard,6,standard_savings
ACC0118147,IND25000529,Standard Bank,easy,basic,3,basic_easy
ACC0118149,IND25009653,Standard Bank,current,standard,3,standard_current
ACC0118150,IND25003072,First National Bank,easy,basic,3,basic_easy
ACC0118151,IND25003072,First National Bank,joint,basic,6,basic_joint
ACC0118152,IND25005493,Absa,easy,basic,6,basic_easy
ACC0118153,IND25004922,Standard Bank,easy,basic,6,basic_easy
ACC0118154,IND25009586,Capitec,easy,basic,6,basic_easy
ACC0118155,IND25005854,Nedbank,easy,basic,6,basic_easy
ACC0118156,IND25007184,Absa,savings,basic,6,basic_savings
ACC0118157,IND25012740,Absa,current,standard,3,standard_current
ACC0118159,IND25007749,Nedbank,gold,premium,3,premium_gold
ACC0118160,IND25013390,Capitec,easy,basic,3,basic_easy
ACC0118161,IND25005689,First National Bank,cheque,standard,6,standard_cheque
ACC0118162,IND25012535,Standard Bank,easy,basic,3,basic_easy
ACC0118163,IND25012529,First National Bank,current,standard,6,standard_current
ACC0118164,IND25011950,Standard Bank,current,standard,3,standard_current
ACC0118165,IND25001404,Nedbank,easy,basic,3,basic_easy
ACC0118166,IND25004215,Standard Bank,easy,basic,3,basic_easy
ACC0118167,IND25006945,First National Bank,savings,standard,6,standard_savings
ACC0118168,IND25006794,First National Bank,savings,standard,3,standard_savings
ACC0118169,IND25010214,First National Bank,easy,basic,6,basic_easy
ACC0118170,IND25003214,Discovery Bank,easy,basic,3,basic_easy
ACC0118171,IND25012457,First National Bank,savings,standard,6,standard_savings
ACC0118173,IND25010242,Absa,savings,basic,6,basic_savings
ACC0118174,IND25012975,First National Bank,easy,basic,3,basic_easy
ACC0118175,IND25000439,Absa,easy,basic,3,basic_easy
ACC0118176,IND25012973,African Bank,savings,basic,6,basic_savings
ACC0118177,IND25009103,Nedbank,savings,basic,3,basic_savings
ACC0118178,IND25009103,Standard Bank,joint,basic,3,basic_joint
ACC0118179,IND25003725,Absa,easy,basic,6,basic_easy
ACC0118181,IND25011457,Standard Bank,easy,basic,6,basic_easy
ACC0118183,IND25003219,Absa,easy,basic,6,basic_easy
ACC0118184,IND25006802,Capitec,savings,standard,6,standard_savings
ACC0118185,IND25007373,Standard Bank,easy,basic,3,basic_easy
ACC0118186,IND25004866,Capitec,current,standard,6,standard_current
ACC0118187,IND25008329,Standard Bank,savings,basic,3,basic_savings
ACC0118188,IND25008418,Absa,current,standard,6,standard_current
ACC0118189,IND25012615,Nedbank,easy,basic,6,basic_easy
ACC0118190,IND25004426,Capitec,easy,basic,6,basic_easy
ACC0118191,IND25008902,Absa,savings,basic,6,basic_savings
ACC0118192,IND25011827,First National Bank,easy,basic,6,basic_easy
ACC0118193,IND25007247,Standard Bank,easy,basic,3,basic_easy
ACC0118194,IND25010410,Standard Bank,cheque,standard,3,standard_cheque
ACC0118195,IND25006560,Nedbank,easy,basic,3,basic_easy
