statement_transaction_id,account_id,customer_id,bank_name,statement_date,posted_date,statement_description,bank_reference,statement_amount,source_transaction_id,entry_type,reconciliation_required,reconciliation_reason,source_system_lag_days,expected_settlement_date,reconciliation_run_id,exception_category,gl_classification,root_cause_tag
BST-ACC0117998-000067,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-25 13:30:00,2025-12-25,Withholding_Tax,FEE-202512-79413,-14.95,,withholding_tax,True,bank_generated_non_transactional_entry,0,,RECON-202512-ACC0117998-3M,non_transactional_bank_entry,GL_WITHHOLDING_TAX,bank_generated_fee_or_interest
BST-ACC0117998-000068,ACC0117998,IND25005549,Keystone Retail Bank,2025-12-25 13:30:00,2025-12-25,Interest Income,FEE-202512-22589,1.84,,interest_income,True,bank_generated_non_transactional_entry,0,,RECON-202512-ACC0117998-3M,non_transactional_bank_entry,GL_INTEREST_INCOME,bank_generated_fee_or_interest
BST-ACC0117998-000069,ACC0117998,IND25005549,Keystone Retail Bank,2026-01-25 10:45:00,2026-01-25,Bank Charge,FEE-202601-30755,-128.22,,bank_charge,True,bank_generated_non_transactional_entry,0,,RECON-202512-ACC0117998-3M,non_transactional_bank_entry,GL_BANK_CHARGES,bank_generated_fee_or_interest
BST-ACC0117998-000070,ACC0117998,IND25005549,Keystone Retail Bank,2026-02-25 07:30:00,2026-02-25,Cash Deposit Fee,FEE-202602-97223,-63.12,,cash_deposit_fee,True,bank_generated_non_transactional_entry,0,,RECON-202512-ACC0117998-3M,non_transactional_bank_entry,GL_CASH_HANDLING_FEES,bank_generated_fee_or_interest
BST-ACC0117998-000071,ACC0117998,IND25005549,Keystone Retail Bank,2026-02-25 07:30:00,2026-02-25,Withholding_Tax,FEE-202602-58953,-22.3,,withholding_tax,True,bank_generated_non_transactional_entry,0,,RECON-202512-ACC0117998-3M,non_transactional_bank_entry,GL_WITHHOLDING_TAX,bank_generated_fee_or_interest
BST-ACC0117999-000001,ACC0117999,IND25011887,Keystone Retail Bank,2025-12-25 15:55:00,2025-12-25,Service Fee,FEE-202512-71783,-60.3,,service_fee,True,bank_generated_non_transactional_entry,0,,RECON-202512-ACC0117999-3M,non_transactional_bank_entry,GL_SERVICE_FEES,bank_generated_fee_or_interest
BST-ACC0117999-000002,ACC0117999,IND25011887,Keystone Retail Bank,2025-12-25 15:55:00,2025-12-25,Interest Income,FEE-202512-76072,5.08,,interest_income,True,bank_generated_non_transactional_entry,0,,RECON-202512-ACC0117999-3M,non_transactional_bank_entry,GL_INTEREST_INCOME,bank_generated_fee_or_interest
BST-ACC0117999-000003,ACC0117999,IND25011887,Keystone Retail Bank,2026-01-25 13:01:00,2026-01-25,Bank Charge,FEE-202601-57655,-96.62,,bank_charge,True,bank_generated_non_transactional_entry,0,,RECON-202512-ACC0117999-3M,non_transactional_bank_entry,GL_BANK_CHARGES,bank_generated_fee_or_interest
BST-ACC0117999-000004,ACC0117999,IND25011887,Keystone Retail Bank,2026-01-25 13:01:00,2026-01-25,Withholding_Tax,FEE-202601-44408,-11.28,,withholding_tax,True,bank_generated_non_transactional_entry,0,,RECON-202512-ACC0117999-3M,non_transactional_bank_entry,GL_WITHHOLDING_TAX,bank_generated_fee_or_interest
BST-ACC0117999-000005,ACC0117999,IND25011887,Keystone Retail Bank,2026-02-25 08:12:00,2026-02-25,Interest Income,FEE-202602-30432,3.2,,interest_income,True,bank_generated_non_transactional_entry,0,,RECON-202512-ACC0117999-3M,non_transactional_bank_entry,GL_INTEREST_INCOME,bank_generated_fee_or_interest
BST-ACC0117999-000006,ACC0117999,IND25011887,Keystone Retail Bank,2026-02-25 08:12:00,2026-02-25,Withholding Tax,FEE-202602-96778,-2.99,,withholding_tax,True,bank_generated_non_transactional_entry,0,,RECON-202512-ACC0117999-3M,non_transactional_bank_entry,GL_WITHHOLDING_TAX,bank_generated_fee_or_interest
BST-ACC0118000-000073,ACC0118000,IND25011037,Keystone Retail Bank,2025-12-25 16:51:00,2025-12-25,Withholding_Tax,FEE-202512-65034,-10.44,,withholding_tax,True,bank_generated_non_transactional_entry,0,,RECON-202512-ACC0118000-3M,non_transactional_bank_entry,GL_WITHHOLDING_TAX,bank_generated_fee_or_interest
BST-ACC0118000-000074,ACC0118000,IND25011037,Keystone Retail Bank,2026-01-25 14:52:00,2026-01-25,Service Fee,FEE-202601-93691,-136.71,,service_fee,True,bank_generated_non_transactional_entry,0,,RECON-202512-ACC0118000-3M,non_transactional_bank_entry,GL_SERVICE_FEES,bank_generated_fee_or_interest
BST-ACC0118000-000075,ACC0118000,IND25011037,Keystone Retail Bank,2026-02-25 08:56:00,2026-02-25,Cash Deposit Fee,FEE-202602-34931,-136.64,,cash_deposit_fee,True,bank_generated_non_transactional_entry,0,,RECON-202512-ACC0118000-3M,non_transactional_bank_entry,GL_CASH_HANDLING_FEES,bank_generated_fee_or_interest
BST-ACC0118000-000076,ACC0118000,IND25011037,Keystone Retail Bank,2026-02-25 08:56:00,2026-02-25,Withholding_Tax,FEE-202602-34825,-37.56,,withholding_tax,True,bank_generated_non_transactional_entry,0,,RECON-202512-ACC0118000-3M,non_transactional_bank_entry,GL_WITHHOLDING_TAX,bank_generated_fee_or_interest
BST-ACC0118001-000073,ACC0118001,IND25004479,Keystone Retail Bank,2025-12-25 14:56:00,2025-12-25,Withholding_Tax,FEE-202512-55074,-47.24,,withholding_tax,True,bank_generated_non_transactional_entry,0,,RECON-202512-ACC0118001-6M,non_transactional_bank_entry,GL_WITHHOLDING_TAX,bank_generated_fee_or_interest
BST-ACC0118001-000074,ACC0118001,IND25004479,Keystone Retail Bank,2025-12-25 14:56:00,2025-12-25,Interest Income,FEE-202512-42294,1.69,,interest_income,True,bank_generated_non_transactional_entry,0,,RECON-202512-ACC0118001-6M,non_transactional_bank_entry,GL_INTEREST_INCOME,bank_generated_fee_or_interest
BST-ACC0118001-000075,ACC0118001,IND25004479,Keystone Retail Bank,2025-12-25 14:56:00,2025-12-25,Bank Charge,FEE-202512-53115,-143.8,,bank_charge,True,bank_generated_non_transactional_entry,0,,RECON-202512-ACC0118001-6M,non_transactional_bank_entry,GL_BANK_CHARGES,bank_generated_fee_or_interest
BST-ACC0118001-000076,ACC0118001,IND25004479,Keystone Retail Bank,2026-01-25 15:54:00,2026-01-25,Bank_Charge,FEE-202601-14030,-12.83,,bank_charge,True,bank_generated_non_transactional_entry,0,,RECON-202512-ACC0118001-6M,non_transactional_bank_entry,GL_BANK_CHARGES,bank_generated_fee_or_interest
BST-ACC0118001-000077,ACC0118001,IND25004479,Keystone Retail Bank,2026-01-25 15:54:00,2026-01-25,Cash Deposit Fee,FEE-202601-18597,-75.36,,cash_deposit_fee,True,bank_generated_non_transactional_entry,0,,RECON-202512-ACC0118001-6M,non_transactional_bank_entry,GL_CASH_HANDLING_FEES,bank_generated_fee_or_interest
