month,channel,transaction_count,total_amount,unique_customers,failed_count,avg_authorization_time_ms,failure_rate
2025-12,atm,2250,791930.27,462,83,922.86,0.0369
2025-12,contactless,2779,804964.81,323,5,924.25,0.0018
2025-12,ewallet,957,492979.23,300,3,898.04,0.0031
2025-12,mobile_banking_app,16562,7115913.92,500,31,929.55,0.0019
2025-12,online_banking,1818,1241073.45,324,5,942.96,0.0028
2025-12,pos,5187,1718941.79,500,222,927.02,0.0428
2025-12,scheduled_payment,186,1044974.77,151,7,616.39,0.0376
2025-12,ussd,4748,1323193.35,418,9,921.7,0.0019
2026-01,mobile_banking_app,41,15785.15,38,0,929.8,0.0
2026-01,online_banking,1,708.24,1,0,113.0,0.0
2026-01,ussd,33,11777.41,32,0,875.18,0.0
