month,account_id,customer_id,transaction_count,total_debits,total_credits,net_movement,avg_transaction_amount,failed_count,fraud_count
2025-12,ACC0117998,IND25005549,66,11651.84,0.0,-11651.84,176.54,0,1
2025-12,ACC0118000,IND25011037,73,42981.8,2212.78,-40769.02,619.1,1,0
2025-12,ACC0118001,IND25004479,76,28742.86,567.15,-28175.71,385.66,3,0
2025-12,ACC0118002,IND25013071,46,110647.41,0.0,-110647.41,2405.38,2,0
2025-12,ACC0118003,IND25004900,56,10123.98,0.0,-10123.98,180.79,0,0
2025-12,ACC0118004,IND25010243,65,31447.61,1472.46,-29975.15,506.46,0,1
2025-12,ACC0118005,IND25012804,72,26222.76,2681.96,-23540.8,401.45,2,0
2025-12,ACC0118006,IND25005400,68,34421.75,1891.46,-32530.29,534.02,1,0
2025-12,ACC0118007,IND25001262,60,10258.2,755.38,-9502.82,183.56,0,0
2025-12,ACC0118011,IND25012258,77,23897.77,10.0,-23887.77,310.49,0,0
2025-12,ACC0118017,IND25013124,54,23856.9,0.0,-23856.9,441.79,0,0
2025-12,ACC0118019,IND25010832,86,60945.56,2347.78,-58597.78,735.97,1,2
2025-12,ACC0118021,IND25004839,82,26856.44,5406.36,-21450.08,393.45,0,2
2025-12,ACC0118023,IND25002809,45,17967.16,0.0,-17967.16,399.27,0,0
2025-12,ACC0118024,IND25001621,61,23965.48,1438.69,-22526.79,416.46,0,0
2025-12,ACC0118025,IND25009641,65,13468.23,0.0,-13468.23,207.2,2,0
2025-12,ACC0118028,IND25001201,63,11007.69,324.57,-10683.12,179.88,1,1
2025-12,ACC0118030,IND25013078,47,17412.08,0.0,-17412.08,370.47,1,1
2025-12,ACC0118031,IND25009113,60,15182.83,0.0,-15182.83,253.05,1,0
2025-12,ACC0118032,IND25006672,64,41702.29,0.0,-41702.29,651.6,0,0
2025-12,ACC0118033,IND25004755,69,34049.7,585.9,-33463.8,501.97,1,0
2025-12,ACC0118035,IND25005108,65,19473.22,0.0,-19473.22,292.63,3,1
2025-12,ACC0118037,IND25003000,65,13653.81,1297.84,-12355.97,230.03,0,0
2025-12,ACC0118040,IND25003683,57,13265.5,0.0,-13265.5,232.73,0,0
2025-12,ACC0118043,IND25011217,88,34757.34,7032.14,-27725.2,474.88,0,1
2025-12,ACC0118044,IND25005224,69,25931.12,1717.29,-24213.83,400.7,0,2
2025-12,ACC0118046,IND25002847,63,11313.97,0.0,-11313.97,179.59,1,0
2025-12,ACC0118048,IND25003965,79,24150.69,1826.3,-22324.39,328.82,1,1
2025-12,ACC0118050,IND25001747,87,35566.38,1574.83,-33991.55,426.91,0,2
2025-12,ACC0118052,IND25004859,74,67152.91,4360.74,-62792.17,966.4,1,0
2025-12,ACC0118056,IND25012397,59,11511.73,0.0,-11511.73,195.11,1,1
2025-12,ACC0118057,IND25002416,79,23855.44,0.0,-23855.44,301.97,2,0
2025-12,ACC0118059,IND25011997,68,32520.1,1293.25,-31226.85,497.26,1,0
2025-12,ACC0118063,IND25006916,66,15961.39,0.0,-15961.39,238.92,1,1
2025-12,ACC0118065,IND25011597,88,29898.58,0.0,-29898.58,330.92,2,0
2025-12,ACC0118066,IND25005838,55,13519.95,0.0,-13519.95,245.82,1,0
2025-12,ACC0118067,IND25000009,77,39019.4,0.0,-39019.4,506.75,1,1
