payment_id,case_id,account_id,customer_id,payment_date,amount,payment_method,was_promise_kept,arrears_after_payment
REC-202402-00001,COLL-202402-00018,ACC0065158,IND2305015567,2024-02-24,838.37,eft,False,2593.54
REC-202402-00002,COLL-202402-00016,ACC0046425,IND2206000607,2024-02-16,377.84,eft,False,876.34
REC-202402-00003,COLL-202402-00035,ACC0071594,IND2308012453,2024-02-05,311.39,eft,False,1572.67
REC-202402-00004,COLL-202402-00023,ACC0028079,IND2105000333,2024-03-05,416.33,card,True,1887.76
REC-202402-00005,COLL-202402-00020,ACC0050190,IND2208003887,2024-02-04,225.21,card,False,1310.71
REC-202402-00006,COLL-202402-00046,ACC0064131,IND2304005812,2024-02-27,461.61,cash_deposit,False,616.37
REC-202402-00007,COLL-202402-00011,ACC0081350,IND2401011862,2024-02-27,167.27,eft,True,788.75
REC-202402-00008,COLL-202402-00007,ACC0052796,IND2210013106,2024-02-25,1032.39,eft,False,5307.18
REC-202402-00009,COLL-202402-00027,ACC0036274,IND2112010719,2024-02-26,1783.68,debit_order,True,2365.29
REC-202402-00010,COLL-202402-00010,ACC0073428,IND2309013669,2024-02-23,386.77,cash_deposit,False,944.16
REC-202402-00011,COLL-202402-00036,ACC0034878,IND2111000109,2024-02-12,92.2,card,False,240.49
REC-202402-00012,COLL-202402-00001,ACC0011990,IND1908001331,2024-02-26,1564.87,card,False,1029.94
REC-202402-00013,COLL-202402-00006,ACC0043894,IND2204001272,2024-02-18,319.65,cash_deposit,False,821.36
REC-202402-00014,COLL-202402-00033,ACC0019866,IND2006002750,2024-02-14,587.79,cash_deposit,True,1812.63
REC-202402-00015,COLL-202402-00013,ACC0022841,IND2102000277,2024-02-28,3890.42,cash_deposit,False,2461.33
REC-202402-00016,COLL-202402-00045,ACC0013538,IND1909005305,2024-02-04,470.29,debit_order,False,1499.89
REC-202402-00017,COLL-202402-00024,ACC0071922,IND2308023161,2024-02-10,729.3,debit_order,False,2471.63
REC-202402-00018,COLL-202402-00040,ACC0048257,IND2207010639,2024-02-04,536.42,debit_order,True,1281.88
REC-202402-00019,COLL-202402-00030,ACC0038910,IND2201003308,2024-02-09,67.66,eft,False,133.41
REC-202402-00020,COLL-202402-00026,ACC0000811,IND1901000169,2024-02-26,309.43,card,False,2087.37
