payment_id,case_id,account_id,customer_id,payment_date,amount,payment_method,was_promise_kept,arrears_after_payment
REC-202407-00001,COLL-202407-00012,ACC0040745,IND2202008584,2024-07-28,297.23,card,False,202.36
REC-202407-00002,COLL-202407-00020,ACC0006309,IND1904003220,2024-07-01,1240.85,eft,False,2299.73
REC-202407-00003,COLL-202407-00009,ACC0063931,IND2304012660,2024-07-21,507.51,eft,True,445.32
REC-202407-00004,COLL-202407-00031,ACC0049408,IND2208017756,2024-08-10,647.72,debit_order,False,372.46
REC-202407-00005,COLL-202407-00001,ACC0010199,IND1907004108,2024-07-07,1063.88,card,False,5484.79
REC-202407-00006,COLL-202407-00034,ACC0034518,IND2111003751,2024-07-02,1731.17,cash_deposit,False,993.16
REC-202407-00007,COLL-202407-00015,ACC0022095,IND2101006564,2024-07-26,713.11,debit_order,False,1973.42
REC-202407-00009,COLL-202407-00022,ACC0057348,IND2212003150,2024-07-13,297.64,card,False,328.32
REC-202407-00010,COLL-202407-00028,ACC0020545,IND2009000069,2024-07-30,197.17,cash_deposit,False,204.11
REC-202407-00011,COLL-202407-00002,ACC0018268,IND1903012057,2024-08-05,492.6,eft,True,1639.23
REC-202407-00012,COLL-202407-00017,ACC0057348,IND2212003150,2024-07-03,154.7,cash_deposit,False,271.24
REC-202407-00013,COLL-202407-00027,ACC0051460,IND2209018212,2024-07-28,1092.03,debit_order,False,608.09
REC-202407-00014,COLL-202407-00024,ACC0068445,IND2306002215,2024-07-16,538.41,eft,False,326.19
