comm_id,account_id,customer_id,channel,direction,timestamp,subject,body,sentiment,is_complaint,complaint_category
COMM-202304-000001,ACC0058734,IND23009761,app_message,inbound,2023-04-24T07:07:14+02:00,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Conduct teams press for clearer evidence on fees and failed payments' and wanted to check how it affects my account.,positive,False,
COMM-202304-000002,ACC0053831,IND22008548,email,inbound,2023-04-24 16:57:57,Account enquiry,Please assist with my banking enquiry.,negative,True,staff_behavior
COMM-202304-000003,ACC0027972,IND21015729,app_message,inbound,2023-04-24T15:14:17+02:00,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,negative,True,fee_dispute
COMM-202304-000004,ACC0028936,IND21006459,phone_call,inbound,26/04/2023 13:35,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date.,neutral,False,
COMM-202304-000005,ACC0004205,IND19012175,email,inbound,2023-04-13 17:14:21,Statement copy request,Please send me a copy of my latest statement and confirm the closing balance used for the month-end calculation.,neutral,False,
COMM-202304-000006,ACC0039072,IND22009516,app_message,inbound,2023-04-25T12:31:10+02:00,Digital wallet setup help,I need help setting up the digital wallet and linking it to the right account. The app keeps asking me to try again later.,neutral,False,
COMM-202304-000007,ACC0049245,COM22000267,email,inbound,2023-04-08 19:34:21,Suggestion for bank app,I have feedback on the app experience and would like the product team to review it.,negative,False,
COMM-202304-000008,ACC0060886,IND23011733,sms,outbound,2023-04-19T16:18:31+02:00,Your loan repayment failed due to insufficient funds,Your scheduled loan repayment was not successful. Please fund your account or contact us to discuss payment options.,negative,True,failed_transaction
COMM-202304-000009,ACC0053949,IND22011325,sms,outbound,2023-04-04T08:26:52+02:00,Your loan repayment failed due to insufficient funds,Your scheduled loan repayment was not successful. Please fund your account or contact us to discuss payment options.,neutral,False,
COMM-202304-000010,ACC0021385,COM20000039,social_media,inbound,2023/04/27 06:25:36,Complaint about service,"Howzit, The service delay is frustrating. I have followed up more than once and still do not have a proper answer.",neutral,False,
COMM-202304-000011,ACC0056126,IND22004790,email,inbound,2023-04-28 17:29:17,Statement copy request,Please send me a copy of my latest statement and confirm the closing balance used for the month-end calculation.,neutral,False,
COMM-202304-000012,ACC0024886,IND21006186,app_message,inbound,2023-04-18T09:42:26+02:00,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,negative,True,service_delay
COMM-202304-000013,ACC0038250,IND22006810,app_message,inbound,2023-04-21T08:39:29+02:00,Balance check,Please confirm my available balance and whether any debit orders are still pending.,neutral,False,
COMM-202304-000014,ACC0059760,IND23011251,branch_visit,inbound,01/04/2023 11:20,Card blocked at ATM,My card was blocked at the ATM and I need access restored or a replacement card arranged. I have an urgent payment to make.,negative,True,statement_error
COMM-202304-000015,ACC0032746,IND21007828,branch_visit,inbound,10/04/2023 15:15,Card blocked at ATM,My card was blocked at the ATM and I need access restored or a replacement card arranged. I have an urgent payment to make.,negative,True,failed_transaction
COMM-202304-000016,ACC0038292,IND22018413,app_message,inbound,2023-04-15T14:05:37+02:00,Balance check,Please confirm my available balance and whether any debit orders are still pending.,negative,True,digital_issue
COMM-202304-000017,ACC0016178,IND19006692,phone_call,inbound,02/04/2023 09:51,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date.,negative,True,service_delay
COMM-202304-000018,ACC0008847,IND19016618,phone_call,inbound,22/04/2023 12:31,Branch appointment request,I would like to book time at the branch to sort out my account and get printed documents for my records.,negative,True,digital_issue
COMM-202304-000019,ACC0052676,IND22000740,sms,inbound,2023-04-16T06:43:36+02:00,Suspicious transaction alert,There is activity on my account that I do not recognise. Please block the card if needed and tell me what evidence you require for the dispute.,negative,True,fraud_concern
COMM-202304-000020,ACC0048050,IND22003460,app_message,outbound,2023-04-26T05:25:18+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",positive,False,
COMM-202304-000021,ACC0021987,IND21008844,social_media,inbound,2023/04/27 20:07:00,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,negative,True,failed_transaction
COMM-202304-000022,ACC0040115,IND22009715,email,outbound,2023-04-02 17:14:06,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,False,
COMM-202304-000023,ACC0029301,IND21010075,phone_call,inbound,07/04/2023 11:26,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,negative,True,statement_error
COMM-202304-000024,ACC0059026,IND23007701,social_media,inbound,2023/04/26 15:32:51,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,negative,True,statement_error
COMM-202304-000025,ACC0052030,IND22003949,phone_call,inbound,28/04/2023 12:11,Card blocked at ATM,My card was blocked at the ATM and I need access restored or a replacement card arranged. I have an urgent payment to make.,neutral,False,
COMM-202304-000026,ACC0028752,IND21008239,email,inbound,2023-04-07 19:52:46,Account enquiry,Please assist with my banking enquiry.,negative,True,other
COMM-202304-000027,ACC0007923,IND19000687,email,inbound,2023-04-11 15:35:23,Statement copy request,Please send me a copy of my latest statement and confirm the closing balance used for the month-end calculation.,negative,True,fraud_concern
COMM-202304-000028,ACC0043054,IND22009447,phone_call,inbound,21/04/2023 13:20,Branch appointment request,I would like to book time at the branch to sort out my account and get printed documents for my records.,neutral,False,
COMM-202304-000029,ACC0034893,IND21017168,email,inbound,2023-04-06 21:13:42,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,negative,False,
COMM-202304-000030,ACC0033058,IND21008670,app_message,inbound,2023-04-28T08:25:40+02:00,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,negative,True,fee_dispute
COMM-202304-000031,ACC0061794,IND23007964,phone_call,inbound,19/04/2023 13:33,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Retail banks sharpen arrears analytics as payment stress persists' and wanted to check how it affects my account.,negative,True,fee_dispute
COMM-202304-000032,ACC0038290,IND22012080,sms,outbound,2023-04-17T18:20:30+02:00,Branch holiday hours,Please note adjusted branch hours this month. Digital channels remain available for balance checks and transfers.,neutral,False,
COMM-202304-000033,ACC0057151,IND22002021,phone_call,inbound,16/04/2023 07:52,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",positive,False,
COMM-202304-000034,ACC0006603,IND19003315,social_media,inbound,2023/04/28 12:32:19,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,neutral,False,
COMM-202304-000035,ACC0059124,IND23013982,social_media,inbound,2023/04/26 14:34:28,Kudos to branch staff,The branch team helped me quickly and explained the account options clearly. Please pass on my thanks.,neutral,False,
COMM-202304-000036,ACC0036519,IND21006813,phone_call,inbound,25/04/2023 10:11,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Statement delays add noise to month-end finance controls' and wanted to check how it affects my account.,positive,False,
COMM-202304-000037,ACC0045000,IND22007509,phone_call,inbound,09/04/2023 13:58,Why did my debit order fail?,"Hi there, My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",neutral,False,
COMM-202304-000038,ACC0023877,IND21009844,app_message,inbound,2023-04-11T10:59:44+02:00,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,negative,True,service_delay
