suggestion_id,account_id,customer_id,channel,timestamp,suggestion_text,category,status
SUG-202304-00001,ACC0015397,IND1910007257,phone_call,22/04/2023 15:46,A monthly fee breakdown would make the statement easier to understand.,fees,reviewed
SUG-202304-00002,ACC0003432,IND1903001478,branch_visit,25/04/2023 11:05,Please offer a small savings pocket linked to loan repayments.,product_idea,submitted
SUG-202304-00003,ACC0025620,IND2104015176,email,2023-04-29 07:01:41,The branch queue system should send an SMS when it is nearly your turn.,branch_service,reviewed
SUG-202304-00004,ACC0033294,IND2110013193,email,2023-04-21 07:43:42,Please add a simple way to see pending debit orders before month end.,digital_features,submitted
SUG-202304-00005,ACC0041076,IND2202007736,branch_visit,21/04/2023 10:30,Please add a simple way to see pending debit orders before month end.,digital_features,submitted
SUG-202304-00006,ACC0048881,IND2207001718,app_message,2023-04-30T17:21:39+02:00,Please offer a small savings pocket linked to loan repayments.,product_idea,submitted
SUG-202304-00007,ACC0034884,IND2111008316,branch_visit,18/04/2023 08:05,The branch queue system should send an SMS when it is nearly your turn.,branch_service,reviewed
SUG-202304-00008,ACC0004799,IND1903001595,social_media,2023/04/03 21:43:39,A monthly fee breakdown would make the statement easier to understand.,fees,submitted
SUG-202304-00009,ACC0022608,IND2102006806,app_message,2023-04-08T17:34:20+02:00,Please add better card freeze and unfreeze controls in the app.,digital_features,submitted
SUG-202304-00010,ACC0040729,IND2202024275,phone_call,22/04/2023 15:49,Please add better card freeze and unfreeze controls in the app.,digital_features,reviewed
SUG-202304-00011,ACC0005616,IND1904008087,app_message,2023-04-24T15:53:06+02:00,A monthly fee breakdown would make the statement easier to understand.,fees,submitted
SUG-202304-00012,ACC0008148,IND1905007774,social_media,2023/04/16 18:04:55,Please add a simple way to see pending debit orders before month end.,digital_features,submitted
SUG-202304-00013,ACC0042095,IND2203003727,email,2023-04-04 09:38:43,A monthly fee breakdown would make the statement easier to understand.,fees,reviewed
SUG-202304-00014,ACC0013904,IND1909000190,social_media,2023/04/15 08:03:32,It would be useful to have a low-cost account for family remittances.,product_idea,implemented
SUG-202304-00015,ACC0026297,IND2104000573,phone_call,13/04/2023 12:28,Please add a simple way to see pending debit orders before month end.,digital_features,submitted
SUG-202304-00016,ACC0043956,IND2204009979,app_message,2023-04-12T12:00:47+02:00,It would help if the app showed why a transfer is delayed instead of only saying pending.,digital_features,submitted
SUG-202304-00017,ACC0058226,IND2301020076,app_message,2023-04-24T18:34:30+02:00,Please show bank charges before the customer confirms a payment.,fees,submitted
