comm_id,account_id,customer_id,channel,direction,timestamp,subject,body,sentiment,linked_news_title,linked_event_date,is_complaint,complaint_category
COMM-202508-000001,ACC0074748,IND23022739,branch_visit,inbound,28/08/2025 10:15,Card blocked at ATM,My card was blocked at the ATM and I need access restored or a replacement card arranged. I have an urgent payment to make.,negative,,,True,fraud_concern
COMM-202508-000002,ACC0077994, IND23018639 ,whatsapp,inbound,05-Aug-2025 18:56,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,negative,,,True,failed_transaction
COMM-202508-000003,ACC0090496,IND24000776,email,inbound,2025-08-14 17:18:41,Account enquiry,Please assist with my banking enquiry.,neutral,,,False,
COMM-202508-000004,ACC0092263,IND24005866,app_message,inbound,2025-08-12T20:30:04+02:00,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,negative,,,True,failed_transaction
COMM-202508-000005,ACC0053081,IND22016163,chatbot,inbound,2025-08-28T17:18:43+02:00,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,negative,,,False,
COMM-202508-000006,ACC0027060,IND21008900,whatsapp,inbound,28-Aug-2025 14:09,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Banking analytics agenda: five signals to watch this month' and wanted to check how it affects my account.,negative,Banking analytics agenda: five signals to watch this month,,True,fee_dispute
COMM-202508-000007,ACC0024585,IND21009748,social_media,inbound,2025/08/29 16:39:35,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Conduct teams press for clearer evidence on fees and failed payments' and wanted to check how it affects my account.,neutral,Conduct teams press for clearer evidence on fees and failed payments,,False,
COMM-202508-000008,ACC0025664,IND21002285,sms,outbound,2025-08-12T17:23:26+02:00,Branch holiday hours,Please note adjusted branch hours this month. Digital channels remain available for balance checks and transfers.,negative,,,True,failed_transaction
COMM-202508-000009,ACC0000163,IND19007764,chatbot,inbound,2025-08-30T08:02:03+02:00,Agent transfer request,The automated response is not solving my issue. Please transfer me to a consultant who can check the account.,negative,,,True,service_delay
COMM-202508-000010,ACC0055244,IND22013873,whatsapp,outbound,19-Aug-2025 13:41,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,,,False,
COMM-202508-000011,ACC0107105,IND25010451,app_message,inbound,2025-08-27T05:44:58+02:00,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,neutral,,,False,
COMM-202508-000012,ACC0063589,IND23005652,whatsapp,inbound,07-Aug-2025 14:47,Agent transfer request,The automated response is not solving my issue. Please transfer me to a consultant who can check the account.,positive,,,False,
COMM-202508-000013,ACC0101562,IND25010547,whatsapp,inbound,10-Aug-2025 02:04,Agent transfer request,The automated response is not solving my issue. Please transfer me to a consultant who can check the account.,negative,,,True,digital_issue
COMM-202508-000014,ACC0085817,IND24001282,app_message,outbound,2025-08-17T08:33:47+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",negative,,,False,
COMM-202508-000015,ACC0021308,IND20001555,app_message,inbound,2025-08-24T06:10:36+02:00,Transfer not reflecting,I made a transfer and it is still not reflecting. Please check whether the payment is delayed in your system.,neutral,,,False,
COMM-202508-000016,ACC0094402,IND24015304,sms,outbound,2025-08-20T08:43:18+02:00,Suspicious transaction alert,We detected activity that may require confirmation. Please reply or contact the bank if this transaction was not yours.,negative,,,True,fraud_concern
COMM-202508-000017,ACC0088516,IND24011238,app_message,outbound,2025-08-18T22:01:50+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",positive,Conduct teams press for clearer evidence on fees and failed payments,,False,
COMM-202508-000018,ACC0077539,IND23005716,chatbot,inbound,2025-08-17T17:04:57+02:00,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,negative,,,True,fee_dispute
COMM-202508-000019,ACC0036511,IND21009286,sms,outbound,2025-08-31T20:58:52+02:00,Your loan repayment failed due to insufficient funds,Your scheduled loan repayment was not successful. Please fund your account or contact us to discuss payment options.,neutral,,,False,
COMM-202508-000020,ACC0046182,IND22015454,chatbot,inbound,2025-08-09T13:23:48+02:00,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,neutral,,,False,
COMM-202508-000021,ACC0075814,IND23006625,chatbot,inbound,2025-08-14T19:57:11+02:00,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,negative,,,False,
COMM-202508-000022,ACC0020534,IND20001938,app_message,inbound,2025-08-06T08:06:05+02:00,Digital wallet setup help,I need help setting up the digital wallet and linking it to the right account. The app keeps asking me to try again later.,negative,,,True,digital_issue
COMM-202508-000023,ACC0087666,IND24011618,chatbot,outbound,2025-08-22T15:25:26+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,,,False,
COMM-202508-000024,ACC0058948,IND23015704,app_message,inbound,2025-08-04T14:16:14+02:00,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,negative,,,True,fee_dispute
COMM-202508-000025,ACC0006123,IND19005105,branch_visit,inbound,24/08/2025 14:15,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Conduct teams press for clearer evidence on fees and failed payments' and wanted to check how it affects my account.,neutral,Conduct teams press for clearer evidence on fees and failed payments,,False,
COMM-202508-000026,ACC0050296,IND22009873,chatbot,outbound,2025-08-06T07:00:58+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,,,False,
COMM-202508-000027,ACC0081750,IND24013748,whatsapp,inbound,31-Aug-2025 05:01,Home Loan rate increase question,"Howzit, I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Banking analytics agenda: five signals to watch this month' and wanted to check how it affects my account.",negative,Banking analytics agenda: five signals to watch this month,,True,fee_dispute
COMM-202508-000028,ACC0048673,IND22020145,sms,outbound,2025-08-25T14:06:32+02:00,Your loan repayment failed due to insufficient funds,Your scheduled loan repayment was not successful. Please fund your account or contact us to discuss payment options.,neutral,,,False,
