reconciliation_run_id,account_id,customer_id,ledger_transaction_id,statement_transaction_id,ledger_amount,statement_amount,ledger_date,statement_date,match_status,exception_category,root_cause_tag,confidence_score,source_system_lag_days,expected_settlement_date
RECON-202412-ACC0098983-3M,ACC0098983,IND24007911,,BST-ACC0098983-000067,,-4.65,,2024-12-25 13:55:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.913,,
RECON-202412-ACC0098983-3M,ACC0098983,IND24007911,,BST-ACC0098983-000068,,-26.38,,2024-12-25 13:55:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.963,,
RECON-202412-ACC0098983-3M,ACC0098983,IND24007911,,BST-ACC0098983-000069,,-96.62,,2024-12-25 13:55:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.893,,
RECON-202412-ACC0098983-3M,ACC0098983,IND24007911,,BST-ACC0098983-000070,,1.21,,2025-01-25 09:26:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.942,,
RECON-202412-ACC0098983-3M,ACC0098983,IND24007911,,BST-ACC0098983-000071,,-53.32,,2025-01-25 09:26:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.883,,
RECON-202412-ACC0098983-3M,ACC0098983,IND24007911,,BST-ACC0098983-000072,,-15.65,,2025-02-25 14:21:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.952,,
RECON-202412-ACC0098983-3M,ACC0098983,IND24007911,,BST-ACC0098983-000073,,-45.17,,2025-02-25 14:21:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.937,,
RECON-202412-ACC0098984-3M,ACC0098984,IND24004121,,BST-ACC0098984-000001,,2.12,,2024-12-25 15:34:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.961,,
RECON-202412-ACC0098984-3M,ACC0098984,IND24004121,,BST-ACC0098984-000002,,-47.47,,2025-01-25 07:21:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.903,,
RECON-202412-ACC0098984-3M,ACC0098984,IND24004121,,BST-ACC0098984-000003,,-125.22,,2025-01-25 07:21:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.885,,
RECON-202412-ACC0098984-3M,ACC0098984,IND24004121,,BST-ACC0098984-000004,,5.71,,2025-01-25 07:21:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.953,,
RECON-202412-ACC0098984-3M,ACC0098984,IND24004121,,BST-ACC0098984-000005,,-59.59,,2025-02-25 11:17:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.909,,
