month,account_id,customer_id,transaction_count,total_debits,total_credits,net_movement,avg_transaction_amount,failed_count,fraud_count
2024-12,ACC0098983,IND24007911,66,24120.63,1013.76,-23106.87,380.82,0,1
2024-12,ACC0098985,IND24000150,66,29783.99,2761.66,-27022.33,493.12,0,0
2024-12,ACC0098986,IND24003203,91,32310.99,801.99,-31509.0,363.88,0,1
2024-12,ACC0098990,IND24007204,71,13825.26,1414.84,-12410.42,214.65,3,0
2024-12,ACC0098991,IND24008747,69,47913.91,1179.6,-46734.31,711.5,0,0
2024-12,ACC0098992,IND24009138,79,34248.06,995.72,-33252.34,446.12,1,0
2024-12,ACC0098994,IND24002744,73,27494.3,0.0,-27494.3,376.63,2,0
2024-12,ACC0098995,IND24009451,80,19775.64,675.66,-19099.98,251.51,0,0
2024-12,ACC0099007,IND24005484,40,9843.84,1679.01,-8164.83,288.07,0,0
2024-12,ACC0099008,IND24004747,75,28568.59,0.0,-28568.59,380.91,1,0
2024-12,ACC0099009,IND24005652,72,55341.82,2685.27,-52656.55,805.93,1,0
2024-12,ACC0099012,IND24013321,76,32170.75,421.62,-31749.13,428.85,0,0
2024-12,ACC0099013,IND24002930,56,14637.57,1401.56,-13236.01,286.41,0,0
2024-12,ACC0099014,IND24012052,47,11591.63,0.0,-11591.63,246.63,0,2
2024-12,ACC0099020,IND24007802,64,13942.1,0.0,-13942.1,217.85,2,0
2024-12,ACC0099021,IND24008330,73,23541.67,980.45,-22561.22,335.92,2,0
2024-12,ACC0099023,IND24007683,59,24383.2,727.29,-23655.91,425.6,1,0
2024-12,ACC0099025,IND24010969,78,42911.17,2228.16,-40683.01,578.71,2,1
2024-12,ACC0099027,IND24004835,61,12696.54,0.0,-12696.54,208.14,3,1
2024-12,ACC0099028,IND24003243,45,8068.72,0.0,-8068.72,179.3,1,0
2024-12,ACC0099029,IND24007553,64,14887.43,0.0,-14887.43,232.62,1,0
2024-12,ACC0099033,IND24003973,81,34943.54,1813.8,-33129.74,453.79,0,0
2024-12,ACC0099035,IND24011677,76,51144.25,0.0,-51144.25,672.95,1,0
2024-12,ACC0099038,IND24005478,69,20926.65,0.0,-20926.65,303.28,1,1
2024-12,ACC0099039,IND24004733,70,13184.58,0.0,-13184.58,188.35,0,0
2024-12,ACC0099046,IND24010525,77,64510.38,815.96,-63694.42,848.39,2,0
2024-12,ACC0099047,IND24002237,75,28470.23,1477.12,-26993.11,399.3,1,0
2024-12,ACC0099048,IND24005995,61,13616.91,0.0,-13616.91,223.23,1,0
2024-12,ACC0099049,IND24004766,67,26741.51,0.0,-26741.51,399.13,0,1
2024-12,ACC0099052,IND24013805,64,15853.58,0.0,-15853.58,247.71,0,0
2024-12,ACC0099053,IND24009445,73,33433.25,823.09,-32610.16,469.26,1,1
2024-12,ACC0099054,IND24011758,66,15085.25,0.0,-15085.25,228.56,0,0
2024-12,ACC0099056,IND24004511,50,22378.64,1250.49,-21128.15,472.58,2,0
2024-12,ACC0099057,IND24014512,45,21244.48,0.0,-21244.48,472.1,0,0
2024-12,ACC0099058,IND24007117,66,25218.94,0.0,-25218.94,382.11,0,0
2024-12,ACC0099059,IND24009910,69,61273.62,2294.59,-58979.03,921.28,0,1
2024-12,ACC0099061,IND24009836,54,10746.98,780.1,-9966.88,213.46,0,1
2024-12,ACC0099062,IND24000400,74,23915.38,1691.22,-22224.16,346.04,2,0
2024-12,ACC0099067,IND24001001,45,11989.33,0.0,-11989.33,266.43,0,0
2024-12,ACC0099072,IND24013960,42,15782.55,1084.02,-14698.53,401.58,1,0
2024-12,ACC0099073,IND24004041,83,48755.86,656.66,-48099.2,595.33,0,0
2024-12,ACC0099075,IND24001000,63,14326.11,0.0,-14326.11,227.4,0,1
2024-12,ACC0099077,IND24002952,71,10822.48,0.0,-10822.48,143.02,0,0
2024-12,ACC0099078,IND24004867,80,45535.65,1721.59,-43814.06,590.72,0,2
2024-12,ACC0099083,IND24014062,40,15623.52,0.0,-15623.52,390.59,0,0
2024-12,ACC0099084,IND24002619,70,27760.13,1113.1,-26647.03,412.47,3,0
2024-12,ACC0099086,IND24008361,72,20541.19,1123.77,-19417.42,300.9,1,0
2024-12,ACC0099087,IND24003269,76,25660.8,2311.24,-23349.56,368.05,2,0
2024-12,ACC0099090,IND24001438,67,13583.99,1258.49,-12325.5,221.53,0,0
2024-12,ACC0099091,IND24006589,67,31476.21,1791.2,-29685.01,496.53,1,1
2024-12,ACC0099094,IND24012574,66,21211.18,2282.96,-18928.22,355.97,1,0
2024-12,ACC0099096,IND24000452,64,14925.27,0.0,-14925.27,233.21,0,0
2024-12,ACC0099099,IND24002725,82,39888.17,4243.73,-35644.44,538.19,0,1
2024-12,ACC0099101,IND24003604,65,19247.22,2309.34,-16937.88,331.64,1,0
2024-12,ACC0099102,IND24006990,49,20836.01,0.0,-20836.01,425.22,0,0
2024-12,ACC0099103,IND24004119,69,15899.55,0.0,-15899.55,230.43,1,1
2024-12,ACC0099104,IND24001136,76,30828.86,1181.4,-29647.46,421.19,3,0
2024-12,ACC0099105,IND24011887,63,13626.96,0.0,-13626.96,202.68,1,0
2024-12,ACC0099107,IND24009352,83,41233.48,0.0,-41233.48,496.79,0,0
2024-12,ACC0099108,IND24011167,58,12624.49,0.0,-12624.49,217.66,1,0
2024-12,ACC0099109,IND24001888,56,10445.18,0.0,-10445.18,186.52,2,1
2024-12,ACC0099111,IND24003194,78,49694.57,0.0,-49694.57,637.11,1,1
2024-12,ACC0099113,IND24009776,56,18939.27,1388.14,-17551.13,362.99,1,0
2024-12,ACC0099119,IND24008016,81,37834.7,0.0,-37834.7,467.1,0,1
2024-12,ACC0099121,IND24000720,70,15951.49,0.0,-15951.49,227.88,1,1
2024-12,ACC0099123,IND24010820,78,38771.39,0.0,-38771.39,497.07,0,0
2024-12,ACC0099125,IND24009289,58,28596.58,1909.13,-26687.45,525.96,0,1
2024-12,ACC0099127,IND24013736,77,44422.04,2590.66,-41831.38,610.55,2,0
2024-12,ACC0099128,IND24012613,66,23731.79,0.0,-23731.79,359.57,1,0
2024-12,ACC0099129,IND24002838,65,13279.48,468.13,-12811.35,211.5,1,0
2024-12,ACC0099133,IND24005740,57,30541.32,1851.29,-28690.03,568.29,0,0
2024-12,ACC0099136,IND24014340,39,14267.26,0.0,-14267.26,365.83,0,1
2024-12,ACC0099137,IND24006858,81,35720.05,584.53,-35135.52,448.2,2,0
2024-12,ACC0099139,IND24005926,64,124451.7,0.0,-124451.7,1929.8,0,0
2024-12,ACC0099140,IND24006182,62,11792.21,0.0,-11792.21,190.2,1,2
2024-12,ACC0099141,IND24008530,77,29705.46,0.0,-29705.46,385.79,0,0
2024-12,ACC0099142,IND24007171,73,29224.74,901.14,-28323.6,412.68,0,1
2024-12,ACC0099145,IND24004433,85,45527.75,0.0,-45527.75,535.62,1,0
