statement_transaction_id,account_id,customer_id,bank_name,statement_date,posted_date,statement_description,bank_reference,statement_amount,source_transaction_id,entry_type,reconciliation_required,reconciliation_reason,source_system_lag_days,expected_settlement_date,reconciliation_run_id,exception_category,gl_classification,root_cause_tag
BST-ACC0098983-000067,ACC0098983,IND24007911,Keystone Retail Bank,2024-12-25 13:55:00,2024-12-25,Bank_Charge,FEE-202412-83359,-4.65,,bank_charge,True,bank_generated_non_transactional_entry,0,,RECON-202412-ACC0098983-3M,non_transactional_bank_entry,GL_BANK_CHARGES,bank_generated_fee_or_interest
BST-ACC0098983-000068,ACC0098983,IND24007911,Keystone Retail Bank,2024-12-25 13:55:00,2024-12-25,Withholding Tax,FEE-202412-16524,-26.38,,withholding_tax,True,bank_generated_non_transactional_entry,0,,RECON-202412-ACC0098983-3M,non_transactional_bank_entry,GL_WITHHOLDING_TAX,bank_generated_fee_or_interest
BST-ACC0098983-000069,ACC0098983,IND24007911,Keystone Retail Bank,2024-12-25 13:55:00,2024-12-25,Service Fee,FEE-202412-57655,-96.62,,service_fee,True,bank_generated_non_transactional_entry,0,,RECON-202412-ACC0098983-3M,non_transactional_bank_entry,GL_SERVICE_FEES,bank_generated_fee_or_interest
BST-ACC0098983-000070,ACC0098983,IND24007911,Keystone Retail Bank,2025-01-25 09:26:00,2025-01-25,Interest Income,FEE-202501-69946,1.21,,interest_income,True,bank_generated_non_transactional_entry,0,,RECON-202412-ACC0098983-3M,non_transactional_bank_entry,GL_INTEREST_INCOME,bank_generated_fee_or_interest
BST-ACC0098983-000071,ACC0098983,IND24007911,Keystone Retail Bank,2025-01-25 09:26:00,2025-01-25,Cash Deposit Fee,FEE-202501-94604,-53.32,,cash_deposit_fee,True,bank_generated_non_transactional_entry,0,,RECON-202412-ACC0098983-3M,non_transactional_bank_entry,GL_CASH_HANDLING_FEES,bank_generated_fee_or_interest
BST-ACC0098983-000072,ACC0098983,IND24007911,Keystone Retail Bank,2025-02-25 14:21:00,2025-02-25,Bank Charge,FEE-202502-10096,-15.65,,bank_charge,True,bank_generated_non_transactional_entry,0,,RECON-202412-ACC0098983-3M,non_transactional_bank_entry,GL_BANK_CHARGES,bank_generated_fee_or_interest
BST-ACC0098983-000073,ACC0098983,IND24007911,Keystone Retail Bank,2025-02-25 14:21:00,2025-02-25,Withholding_Tax,FEE-202502-22786,-45.17,,withholding_tax,True,bank_generated_non_transactional_entry,0,,RECON-202412-ACC0098983-3M,non_transactional_bank_entry,GL_WITHHOLDING_TAX,bank_generated_fee_or_interest
BST-ACC0098984-000001,ACC0098984,IND24004121,Keystone Retail Bank,2024-12-25 15:34:00,2024-12-25,Interest_Income,FEE-202412-82003,2.12,,interest_income,True,bank_generated_non_transactional_entry,0,,RECON-202412-ACC0098984-3M,non_transactional_bank_entry,GL_INTEREST_INCOME,bank_generated_fee_or_interest
BST-ACC0098984-000002,ACC0098984,IND24004121,Keystone Retail Bank,2025-01-25 07:21:00,2025-01-25,Bank_Charge,FEE-202501-40701,-47.47,,bank_charge,True,bank_generated_non_transactional_entry,0,,RECON-202412-ACC0098984-3M,non_transactional_bank_entry,GL_BANK_CHARGES,bank_generated_fee_or_interest
BST-ACC0098984-000003,ACC0098984,IND24004121,Keystone Retail Bank,2025-01-25 07:21:00,2025-01-25,Cash Deposit Fee,FEE-202501-84355,-125.22,,cash_deposit_fee,True,bank_generated_non_transactional_entry,0,,RECON-202412-ACC0098984-3M,non_transactional_bank_entry,GL_CASH_HANDLING_FEES,bank_generated_fee_or_interest
