account_id,customer_id,bank_name,account_type,account_tier,statement_timeframe_months,analysis_segment
ACC0098983,IND24007911,Standard Bank,savings,standard,3,standard_savings
ACC0098984,IND24004121,Absa,savings,basic,3,basic_savings
ACC0098985,IND24000150,Standard Bank,current,standard,6,standard_current
ACC0098986,IND24003203,Capitec,easy,basic,6,basic_easy
ACC0098987,IND24012714,Standard Bank,savings,basic,6,basic_savings
ACC0098988,IND24009171,Standard Bank,easy,basic,3,basic_easy
ACC0098989,IND24007962,Nedbank,easy,basic,3,basic_easy
ACC0098990,IND24007204,First National Bank,savings,basic,6,basic_savings
ACC0098991,IND24008747,Nedbank,easy,basic,6,basic_easy
ACC0098992,IND24009138,TymeBank,savings,standard,3,standard_savings
ACC0098993,IND24005020,Standard Bank,savings,standard,6,standard_savings
ACC0098994,IND24002744,Absa,savings,standard,6,standard_savings
ACC0098995,IND24009451,Standard Bank,easy,basic,6,basic_easy
ACC0098998,IND24005234,First National Bank,easy,basic,3,basic_easy
ACC0098999,IND24009143,First National Bank,savings,basic,3,basic_savings
ACC0099000,IND24000304,Absa,easy,basic,6,basic_easy
ACC0099001,IND24012961,Nedbank,easy,basic,6,basic_easy
ACC0099002,IND24009828,Absa,savings,standard,3,standard_savings
ACC0099004,IND24011655,Nedbank,current,standard,6,standard_current
ACC0099005,IND24010715,Capitec,easy,basic,3,basic_easy
ACC0099007,IND24005484,Nedbank,easy,basic,6,basic_easy
ACC0099008,IND24004747,Standard Bank,savings,basic,6,basic_savings
ACC0099009,IND24005652,Absa,current,standard,3,standard_current
ACC0099010,IND24013519,Standard Bank,current,standard,6,standard_current
ACC0099011,IND24007754,Nedbank,savings,standard,3,standard_savings
ACC0099012,IND24013321,TymeBank,aspire,standard,3,standard_aspire
ACC0099013,IND24002930,TymeBank,easy,basic,6,basic_easy
ACC0099014,IND24012052,Capitec,savings,basic,6,basic_savings
ACC0099015,IND24007397,Capitec,easy,basic,6,basic_easy
ACC0099017,IND24003298,Capitec,easy,basic,3,basic_easy
ACC0099018,IND24012792,Standard Bank,current,standard,3,standard_current
ACC0099019,IND24002557,Capitec,easy,basic,6,basic_easy
ACC0099020,IND24007802,Nedbank,savings,basic,3,basic_savings
ACC0099021,IND24008330,First National Bank,savings,standard,3,standard_savings
ACC0099022,IND24001684,Nedbank,savings,basic,3,basic_savings
ACC0099023,IND24007683,First National Bank,savings,standard,3,standard_savings
ACC0099024,IND24013963,First National Bank,easy,basic,3,basic_easy
ACC0099025,IND24010969,First National Bank,gold,premium,3,premium_gold
ACC0099026,IND24003877,Capitec,savings,standard,6,standard_savings
ACC0099027,IND24004835,Nedbank,easy,basic,3,basic_easy
ACC0099028,IND24003243,Standard Bank,easy,basic,3,basic_easy
ACC0099029,IND24007553,First National Bank,savings,basic,6,basic_savings
ACC0099030,IND24003778,Standard Bank,current,standard,3,standard_current
