month,channel,transaction_count,total_amount,unique_customers,failed_count,avg_authorization_time_ms,failure_rate
2024-12,atm,2211,752416.93,461,88,938.96,0.0398
2024-12,contactless,2674,726847.62,319,3,917.36,0.0011
2024-12,ewallet,951,393737.5,300,1,927.88,0.0011
2024-12,mobile_banking_app,15889,6825181.69,500,31,927.02,0.002
2024-12,online_banking,1688,1174863.4,330,7,931.11,0.0041
2024-12,pos,5246,1715238.24,500,205,908.07,0.0391
2024-12,scheduled_payment,257,1171785.55,195,14,631.46,0.0545
2024-12,ussd,4808,1237179.52,409,4,920.71,0.0008
2025-01,mobile_banking_app,43,16745.05,39,0,926.63,0.0
2025-01,online_banking,1,94.7,1,0,944.0,0.0
2025-01,ussd,26,5937.87,26,0,842.04,0.0
