source_year,source_month,source_period,original_customer_id,new_customer_id,customer_type,identity_hash,source_file
2019,1,2019-01,COM19000020,COM1901000020,Company,b61920e06a8b9583c4b16d7fdd443f3ec99fa7c4deae0ff2b164154188d24a76,banking_data/2019/01/customers_2019_01.parquet
2019,1,2019-01,COM19000033,COM1901000033,Company,6209b18aa6639fa0abb64686c36b34223761af619f72d9cae79c7e2b2c168972,banking_data/2019/01/customers_2019_01.parquet
2019,1,2019-01,COM19000038,COM1901000038,Company,fba529d901a44c861e9e845b1be64eaf2a8dd0c23db71412925d1a0c0a6ddabb,banking_data/2019/01/customers_2019_01.parquet
2019,1,2019-01,COM19000055,COM1901000055,Organization,f7371e83bdd62a56a491d90a7e9373474aa2fd89cd02a5b0d59abe03de07d519,banking_data/2019/01/customers_2019_01.parquet
2019,1,2019-01,COM19000068,COM1901000068,Company,3329650af3a0529797c2fdeae5a0eb5c69226d13edac313321c4e7110a64b035,banking_data/2019/01/customers_2019_01.parquet
2019,1,2019-01,COM19000073,COM1901000073,Company,f8ae06d69ac2cb2df5130910d61d6f9400ccf49f5787450aa0f25a518247f71c,banking_data/2019/01/customers_2019_01.parquet
2019,1,2019-01,COM19000075,COM1901000075,Company,2ca124bcda8d19c4c765cd15f8bfd64d575bbef5642475b8a3faa34e981761d5,banking_data/2019/01/customers_2019_01.parquet
2019,1,2019-01,COM19000082,COM1901000082,Organization,7f151c5c30f5c02d150333238dfa6bf36e1149cc52a8744d054274c0eb9d2206,banking_data/2019/01/customers_2019_01.parquet
2019,1,2019-01,COM19000115,COM1901000115,Company,649ba0178d8edcba1a420d08f010674a504e7eea79f6f42d436815b539465a37,banking_data/2019/01/customers_2019_01.parquet
2019,1,2019-01,COM19000131,COM1901000131,Organization,4eee20f4e6ebb3dfbfa7c5a863ee9c02a069c6e954dcd575d671c9bb9984bc5e,banking_data/2019/01/customers_2019_01.parquet
2019,1,2019-01,COM19000138,COM1901000138,Company,c9d8f9f9a837d0559e5d4571ac88445f6ce98fa22d8dab13dcbffe5b8f485eae,banking_data/2019/01/customers_2019_01.parquet
2019,1,2019-01,COM19000159,COM1901000159,Company,38a6391e7abedf3d81413d706fe0d33fca8a4a8ce1b7c3e0914dd22bd278eea5,banking_data/2019/01/customers_2019_01.parquet
2019,1,2019-01,COM19000186,COM1901000186,Company,e23967e44ecbc89513019e1e0f6860322a51eef508ccb04b9b608837e23fdc72,banking_data/2019/01/customers_2019_01.parquet
2019,1,2019-01,COM19000188,COM1901000188,Company,7ac3867f875e4ca1b4c0973d3361ccb5ac219966e4efa3ceb94d62ac871d7acf,banking_data/2019/01/customers_2019_01.parquet
2019,1,2019-01,COM19000204,COM1901000204,Organization,48ec6adc4f4eba93c807303a301e98c037b46d48b70a12a203693322fe5b6182,banking_data/2019/01/customers_2019_01.parquet
2019,1,2019-01,COM19000212,COM1901000212,Company,d94f9f846ed90e4d60bc476eeea7ac890e3fbcfd2cf4fe1d9ab1e04fe144da5d,banking_data/2019/01/customers_2019_01.parquet
2019,1,2019-01,COM19000218,COM1901000218,Company,f84fa569a2a69c1da7a79d2d894cb6faf92934354d37d14ab30f5f04182290c4,banking_data/2019/01/customers_2019_01.parquet
2019,1,2019-01,COM19000232,COM1901000232,Company,c28ab433bf95a5e87a4b702d21689feb5d0f959acbac854108871640d0b4a5e1,banking_data/2019/01/customers_2019_01.parquet
2019,1,2019-01,COM19000240,COM1901000240,Company,12130f06e2ff83328985d2502c21b5e2173ee87930ba3fa587f7dea780b477a4,banking_data/2019/01/customers_2019_01.parquet
2019,1,2019-01,COM19000241,COM1901000241,Organization,a6ae1aba81c535bcf5c20e6bb5dae95c1f768099db7de69f17c85ecb08c4b9d1,banking_data/2019/01/customers_2019_01.parquet
2019,1,2019-01,COM19000247,COM1901000247,Company,4c80588638965f4157d7f902870b345064db9b5ea18bef93ea9e59e75566433f,banking_data/2019/01/customers_2019_01.parquet
2019,1,2019-01,COM19000253,COM1901000253,Company,4b577bc51978cd28fc27c5c9a1beb5c29994835de76a89b57511f72f4a93eed8,banking_data/2019/01/customers_2019_01.parquet
2019,1,2019-01,COM19000258,COM1901000258,Company,dde281ce5c67e5f142ef2e088e6aaae82a33a7304cf374b9be6b6902427f97ae,banking_data/2019/01/customers_2019_01.parquet
