payment_id,case_id,account_id,customer_id,payment_date,amount,payment_method,was_promise_kept,arrears_after_payment
REC-202009-00001,COLL-202009-00006,ACC0010097,IND1907015761,2020-09-05,499.66,eft,False,793.43
REC-202009-00002,COLL-202009-00026,ACC0016509,IND1911014407,2020-09-26,1252.01,eft,True,2669.41
REC-202009-00003,COLL-202009-00010,ACC0000845,IND1901009812,2020-09-16,1460.64,eft,False,904.99
REC-202009-00004,COLL-202009-00008,ACC0002460,IND1902001065,2020-09-08,6136.48,cash_deposit,False,10797.34
REC-202009-00005,COLL-202009-00029,ACC0009040,IND1906009244,2020-09-05,1716.66,debit_order,False,1063.03
REC-202009-00006,COLL-202009-00020,ACC0009665,IND1906011286,2020-09-13,1675.5,card,False,1011.93
REC-202009-00007,COLL-202009-00032,ACC0012871,COM1908000067,2020-09-02,1995.38,debit_order,False,7834.88
REC-202009-00008,COLL-202009-00033,ACC0008049,IND1905003801,2020-10-07,735.78,card,False,4226.79
REC-202009-00009,COLL-202009-00013,ACC0009844,COM1906000096,2020-09-30,2152.42,eft,True,6559.93
REC-202009-00010,COLL-202009-00009,ACC0015940,IND1911011555,2020-09-11,480.11,eft,True,2341.25
REC-202009-00011,COLL-202009-00024,ACC0018275,IND19008358,2020-09-23,951.3,debit_order,False,1039.97
REC-202009-00012,COLL-202009-00004,ACC0012234,IND1908012335,2020-10-04,420.73,debit_order,False,346.39
REC-202009-00013,COLL-202009-00017,ACC0000845,IND1901009812,2020-09-17,1260.41,debit_order,False,1069.0
REC-202009-00014,COLL-202009-00002,ACC0000390,IND1901002143,2020-09-16,332.91,cash_deposit,False,513.48
