case_id,account_id,customer_id,arrears_amount,days_past_due,collection_stage,last_contact_date,last_contact_channel,promise_to_pay_amount,promise_to_pay_date,arrangement_plan,status,assigned_collector,notes
COLL-202009-00001,ACC0000390,IND1901002143,400.79,345,write_off,2020-09-03,phone_call,,,,resolved,Pieter van der Merwe,"Win-back customer relapsed — prior case closed, reopened after NSF debit order. Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202009-00002,ACC0000390,IND1901002143,846.39,63,late_collections,2020-09-10,phone_call,,,restructured,open,Sipho Naidoo,Former churned customer returned; new arrears flagged after failed debit order. Churned customer — no active transactional account; pursuing outstanding loan balance. Arrangement: restructured.
COLL-202009-00003,ACC0012708,IND1908000435,1508.97,96,legal,2020-09-08,phone_call,,,,open,Johan Botha,New case opened from failed loan repayment and churned relationship status. Debit order returned NSF for third time. Recommend restructuring. Escalating to legal.
COLL-202009-00004,ACC0012234,IND1908012335,767.12,6,pre_delinquent,2020-09-11,phone_call,372.13,2020-09-26,,resolved,David Govender,New case opened from failed loan repayment and churned relationship status. Churned customer — no active transactional account; pursuing outstanding loan balance.
COLL-202009-00005,ACC0016227,IND1911004473,5996.71,26,pre_delinquent,2020-09-18,branch_visit,2076.75,2020-09-29,,resolved,Zanele Ndlovu,New case opened from failed loan repayment and churned relationship status. Promise to pay recorded after outbound call. Follow-up scheduled.
COLL-202009-00006,ACC0010097,IND1907015761,1293.09,81,late_collections,2020-09-14,sms,,,settlement_offer,resolved,Sipho Naidoo,"New case opened from failed loan repayment and churned relationship status. Phone disconnected. Sent SMS, no response. Escalating to legal. Arrangement: settlement offer."
COLL-202009-00007,ACC0015209,IND1910001935,8039.4,68,late_collections,2020-09-23,phone_call,,,restructured,open,Ayanda Mthembu,New case opened from failed loan repayment and churned relationship status. COVID hardship relief applied. Payment holiday granted until June 2020. Arrangement: restructured.
COLL-202009-00008,ACC0002460,IND1902001065,16933.82,28,pre_delinquent,2020-09-01,letter,,,,open,Zanele Ndlovu,New case opened from failed loan repayment and churned relationship status. Promise to pay recorded after outbound call. Follow-up scheduled.
COLL-202009-00009,ACC0015940,IND1911011555,2821.36,94,legal,2020-09-25,phone_call,477.72,2020-09-11,,resolved,Pieter van der Merwe,New case opened from failed loan repayment and churned relationship status. Arrangement agreed: R478/month for 6 months starting 11 March. Escalating to legal.
COLL-202009-00010,ACC0000845,IND1901009812,2365.63,6,pre_delinquent,2020-09-25,letter,,,,open,David Govender,New case opened from failed loan repayment and churned relationship status. COVID hardship relief applied. Payment holiday granted until June 2020.
COLL-202009-00011,ACC0015544,IND1911003478,200.0,104,legal,2020-09-18,sms,,,,resolved,Nomsa Dlamini,"New case opened from failed loan repayment and churned relationship status. Customer called, says employer missed payroll. Promised R1 500 by month-end. Escalating to legal."
COLL-202009-00012,ACC0000390,IND1901002143,1096.5,61,late_collections,2020-09-29,sms,,,,open,David Govender,New case opened from failed loan repayment and churned relationship status. COVID hardship relief applied. Payment holiday granted until June 2020.
