account_id,customer_id,bank_name,account_type,account_tier,statement_timeframe_months,analysis_segment
ACC0078309,IND23005368,Standard Bank,easy,basic,3,basic_easy
ACC0078310,IND23004167,Nedbank,savings,standard,6,standard_savings
ACC0078311,IND23004660,First National Bank,easy,basic,3,basic_easy
ACC0078312,IND23013824,Standard Bank,current,standard,3,standard_current
ACC0078313,IND23006674,Absa,savings,basic,6,basic_savings
ACC0078314,IND23014068,Standard Bank,current,standard,6,standard_current
ACC0078315,IND23007254,Absa,gold,premium,6,premium_gold
ACC0078316,IND23007254,First National Bank,current,standard,6,standard_current
ACC0078317,IND23005247,First National Bank,current,standard,3,standard_current
ACC0078318,IND23001682,Absa,easy,basic,6,basic_easy
ACC0078319,IND23004854,First National Bank,savings,basic,6,basic_savings
ACC0078320,IND23014058,Standard Bank,easy,basic,3,basic_easy
ACC0078321,IND23010166,TymeBank,savings,basic,6,basic_savings
ACC0078322,IND23001263,Capitec,current,standard,6,standard_current
ACC0078323,IND23007079,First National Bank,savings,basic,6,basic_savings
ACC0078324,IND23002707,Capitec,easy,basic,3,basic_easy
ACC0078326,IND23006807,Absa,savings,standard,3,standard_savings
ACC0078327,IND23004015,Capitec,current,standard,6,standard_current
ACC0078328,IND23005145,TymeBank,savings,standard,3,standard_savings
ACC0078329,IND23002503,Nedbank,easy,basic,6,basic_easy
ACC0078330,IND23003134,Capitec,savings,basic,6,basic_savings
ACC0078331,IND23011864,Nedbank,savings,standard,3,standard_savings
ACC0078332,IND23007170,Capitec,savings,standard,6,standard_savings
ACC0078333,IND23011051,Capitec,easy,basic,6,basic_easy
ACC0078334,IND23000859,First National Bank,savings,standard,3,standard_savings
ACC0078335,IND23014253,Capitec,easy,basic,6,basic_easy
ACC0078336,IND23013633,Standard Bank,easy,basic,6,basic_easy
ACC0078337,IND23001044,Discovery Bank,savings,basic,3,basic_savings
ACC0078338,IND23011717,Capitec,easy,basic,6,basic_easy
ACC0078339,IND23002200,Standard Bank,current,standard,3,standard_current
ACC0078341,IND23001617,First National Bank,easy,basic,3,basic_easy
ACC0078342,IND23011079,TymeBank,current,standard,3,standard_current
ACC0078343,IND23007396,Capitec,savings,basic,6,basic_savings
ACC0078344,IND23011267,Absa,easy,basic,6,basic_easy
ACC0078345,IND23011148,Capitec,savings,standard,3,standard_savings
ACC0078346,IND23011148,Capitec,cheque,standard,3,standard_cheque
ACC0078347,IND23000378,First National Bank,savings,standard,6,standard_savings
ACC0078348,IND23013999,Nedbank,savings,standard,6,standard_savings
ACC0078349,IND23007230,Standard Bank,savings,standard,3,standard_savings
ACC0078350,IND23012217,TymeBank,easy,basic,3,basic_easy
