statement_transaction_id,account_id,customer_id,bank_name,statement_date,posted_date,statement_description,bank_reference,statement_amount,source_transaction_id,entry_type,reconciliation_required,reconciliation_reason,source_system_lag_days,expected_settlement_date,reconciliation_run_id,exception_category,gl_classification,root_cause_tag
BST-ACC0078309-000001,ACC0078309,IND23005368,Keystone Retail Bank,2023-12-25 12:16:00,2023-12-25,Interest Income,FEE-202312-27020,4.31,,interest_income,True,bank_generated_non_transactional_entry,0,,RECON-202312-ACC0078309-3M,non_transactional_bank_entry,GL_INTEREST_INCOME,bank_generated_fee_or_interest
BST-ACC0078309-000002,ACC0078309,IND23005368,Keystone Retail Bank,2023-12-25 12:16:00,2023-12-25,Cash Deposit Fee,FEE-202312-56294,-57.61,,cash_deposit_fee,True,bank_generated_non_transactional_entry,0,,RECON-202312-ACC0078309-3M,non_transactional_bank_entry,GL_CASH_HANDLING_FEES,bank_generated_fee_or_interest
BST-ACC0078309-000003,ACC0078309,IND23005368,Keystone Retail Bank,2024-01-25 08:07:00,2024-01-25,Service_Fee,FEE-202401-22203,-63.68,,service_fee,True,bank_generated_non_transactional_entry,0,,RECON-202312-ACC0078309-3M,non_transactional_bank_entry,GL_SERVICE_FEES,bank_generated_fee_or_interest
BST-ACC0078309-000004,ACC0078309,IND23005368,Keystone Retail Bank,2024-01-25 08:07:00,2024-01-25,Interest_Income,FEE-202401-37772,2.5,,interest_income,True,bank_generated_non_transactional_entry,0,,RECON-202312-ACC0078309-3M,non_transactional_bank_entry,GL_INTEREST_INCOME,bank_generated_fee_or_interest
BST-ACC0078309-000005,ACC0078309,IND23005368,Keystone Retail Bank,2024-02-25 07:36:00,2024-02-25,Cash Deposit Fee,FEE-202402-51892,-120.35,,cash_deposit_fee,True,bank_generated_non_transactional_entry,0,,RECON-202312-ACC0078309-3M,non_transactional_bank_entry,GL_CASH_HANDLING_FEES,bank_generated_fee_or_interest
BST-ACC0078309-000006,ACC0078309,IND23005368,Keystone Retail Bank,2024-02-25 07:36:00,2024-02-25,Bank Charge,FEE-202402-41181,-116.25,,bank_charge,True,bank_generated_non_transactional_entry,0,,RECON-202312-ACC0078309-3M,non_transactional_bank_entry,GL_BANK_CHARGES,bank_generated_fee_or_interest
BST-ACC0078310-000065,ACC0078310,IND23004167,Keystone Retail Bank,2023-12-25 07:34:00,2023-12-25,Interest_Income,FEE-202312-82003,2.12,,interest_income,True,bank_generated_non_transactional_entry,0,,RECON-202312-ACC0078310-6M,non_transactional_bank_entry,GL_INTEREST_INCOME,bank_generated_fee_or_interest
BST-ACC0078310-000066,ACC0078310,IND23004167,Keystone Retail Bank,2024-01-25 07:21:00,2024-01-25,Bank_Charge,FEE-202401-40701,-47.47,,bank_charge,True,bank_generated_non_transactional_entry,0,,RECON-202312-ACC0078310-6M,non_transactional_bank_entry,GL_BANK_CHARGES,bank_generated_fee_or_interest
BST-ACC0078310-000067,ACC0078310,IND23004167,Keystone Retail Bank,2024-01-25 07:21:00,2024-01-25,Cash Deposit Fee,FEE-202401-84355,-125.22,,cash_deposit_fee,True,bank_generated_non_transactional_entry,0,,RECON-202312-ACC0078310-6M,non_transactional_bank_entry,GL_CASH_HANDLING_FEES,bank_generated_fee_or_interest
BST-ACC0078310-000068,ACC0078310,IND23004167,Keystone Retail Bank,2024-01-25 07:21:00,2024-01-25,Interest Income,FEE-202401-47219,5.71,,interest_income,True,bank_generated_non_transactional_entry,0,,RECON-202312-ACC0078310-6M,non_transactional_bank_entry,GL_INTEREST_INCOME,bank_generated_fee_or_interest
BST-ACC0078310-000069,ACC0078310,IND23004167,Keystone Retail Bank,2024-02-25 11:17:00,2024-02-25,Withholding_Tax,FEE-202402-28187,-59.59,,withholding_tax,True,bank_generated_non_transactional_entry,0,,RECON-202312-ACC0078310-6M,non_transactional_bank_entry,GL_WITHHOLDING_TAX,bank_generated_fee_or_interest
BST-ACC0078310-000070,ACC0078310,IND23004167,Keystone Retail Bank,2024-02-25 11:17:00,2024-02-25,Service Fee,FEE-202402-14219,-54.12,,service_fee,True,bank_generated_non_transactional_entry,0,,RECON-202312-ACC0078310-6M,non_transactional_bank_entry,GL_SERVICE_FEES,bank_generated_fee_or_interest
BST-ACC0078310-000071,ACC0078310,IND23004167,Keystone Retail Bank,2024-02-25 11:17:00,2024-02-25,Bank_Charge,FEE-202402-29629,-39.43,,bank_charge,True,bank_generated_non_transactional_entry,0,,RECON-202312-ACC0078310-6M,non_transactional_bank_entry,GL_BANK_CHARGES,bank_generated_fee_or_interest
BST-ACC0078310-000072,ACC0078310,IND23004167,Keystone Retail Bank,2024-03-25 07:40:00,2024-03-25,Interest_Income,FEE-202403-98166,4.93,,interest_income,True,bank_generated_non_transactional_entry,0,,RECON-202312-ACC0078310-6M,non_transactional_bank_entry,GL_INTEREST_INCOME,bank_generated_fee_or_interest
BST-ACC0078310-000073,ACC0078310,IND23004167,Keystone Retail Bank,2024-03-25 07:40:00,2024-03-25,Cash_Deposit_Fee,FEE-202403-63408,-97.54,,cash_deposit_fee,True,bank_generated_non_transactional_entry,0,,RECON-202312-ACC0078310-6M,non_transactional_bank_entry,GL_CASH_HANDLING_FEES,bank_generated_fee_or_interest
BST-ACC0078310-000074,ACC0078310,IND23004167,Keystone Retail Bank,2024-03-25 07:40:00,2024-03-25,Withholding Tax,FEE-202403-58175,-14.75,,withholding_tax,True,bank_generated_non_transactional_entry,0,,RECON-202312-ACC0078310-6M,non_transactional_bank_entry,GL_WITHHOLDING_TAX,bank_generated_fee_or_interest
