reconciliation_run_id,account_id,customer_id,ledger_transaction_id,statement_transaction_id,ledger_amount,statement_amount,ledger_date,statement_date,match_status,exception_category,root_cause_tag,confidence_score,source_system_lag_days,expected_settlement_date
RECON-202312-ACC0078309-3M,ACC0078309,IND23005368,,BST-ACC0078309-000001,,4.31,,2023-12-25 12:16:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.882,,
RECON-202312-ACC0078309-3M,ACC0078309,IND23005368,,BST-ACC0078309-000002,,-57.61,,2023-12-25 12:16:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.882,,
RECON-202312-ACC0078309-3M,ACC0078309,IND23005368,,BST-ACC0078309-000003,,-63.68,,2024-01-25 08:07:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.909,,
RECON-202312-ACC0078309-3M,ACC0078309,IND23005368,,BST-ACC0078309-000004,,2.5,,2024-01-25 08:07:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.979,,
RECON-202312-ACC0078309-3M,ACC0078309,IND23005368,,BST-ACC0078309-000005,,-120.35,,2024-02-25 07:36:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.965,,
RECON-202312-ACC0078309-3M,ACC0078309,IND23005368,,BST-ACC0078309-000006,,-116.25,,2024-02-25 07:36:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.896,,
RECON-202312-ACC0078310-6M,ACC0078310,IND23004167,MTX202312000001392,BST-ACC0078310-000013,-23.07,-23.07,2023-12-06 22:14:19,2023-12-07 22:14:19,exception,timing_difference,posting_date_lag,0.651,0.0,2023-12-07
RECON-202312-ACC0078310-6M,ACC0078310,IND23004167,MTX202312000001424,BST-ACC0078310-000046,-440.45,-440.45,2023-12-23 11:51:51,2023-12-24 11:51:51,exception,source_system_lag,source_system_processing_delay,0.64,1.0,2023-12-24
RECON-202312-ACC0078310-6M,ACC0078310,IND23004167,MTX202312000001425,BST-ACC0078310-000047,-1868.09,-1868.09,2023-12-23 23:19:40,2023-12-24 23:19:40,exception,source_system_lag,source_system_processing_delay,0.651,1.0,2023-12-24
RECON-202312-ACC0078310-6M,ACC0078310,IND23004167,MTX202312000001425-DUP,BST-ACC0078310-000048,-1868.09,-1868.09,2023-12-23 23:20:57,2023-12-24 23:20:57,exception,source_system_lag,source_system_processing_delay,0.791,1.0,2023-12-24
RECON-202312-ACC0078310-6M,ACC0078310,IND23004167,MTX202312000000016,,-1932.68,,2023-12-29 10:43:16,,exception,missing_in_bank_statement,ledger_item_not_yet_settled,0.495,0.0,
RECON-202312-ACC0078310-6M,ACC0078310,IND23004167,,BST-ACC0078310-000065,,2.12,,2023-12-25 07:34:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.961,,
RECON-202312-ACC0078310-6M,ACC0078310,IND23004167,,BST-ACC0078310-000066,,-47.47,,2024-01-25 07:21:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.903,,
RECON-202312-ACC0078310-6M,ACC0078310,IND23004167,,BST-ACC0078310-000067,,-125.22,,2024-01-25 07:21:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.885,,
RECON-202312-ACC0078310-6M,ACC0078310,IND23004167,,BST-ACC0078310-000068,,5.71,,2024-01-25 07:21:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.953,,
RECON-202312-ACC0078310-6M,ACC0078310,IND23004167,,BST-ACC0078310-000069,,-59.59,,2024-02-25 11:17:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.909,,
RECON-202312-ACC0078310-6M,ACC0078310,IND23004167,,BST-ACC0078310-000070,,-54.12,,2024-02-25 11:17:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.964,,
RECON-202312-ACC0078310-6M,ACC0078310,IND23004167,,BST-ACC0078310-000071,,-39.43,,2024-02-25 11:17:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.902,,
RECON-202312-ACC0078310-6M,ACC0078310,IND23004167,,BST-ACC0078310-000072,,4.93,,2024-03-25 07:40:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.93,,
RECON-202312-ACC0078310-6M,ACC0078310,IND23004167,,BST-ACC0078310-000073,,-97.54,,2024-03-25 07:40:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.934,,
RECON-202312-ACC0078310-6M,ACC0078310,IND23004167,,BST-ACC0078310-000074,,-14.75,,2024-03-25 07:40:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.946,,
RECON-202312-ACC0078310-6M,ACC0078310,IND23004167,,BST-ACC0078310-000075,,-59.46,,2024-04-25 11:13:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.955,,
RECON-202312-ACC0078310-6M,ACC0078310,IND23004167,,BST-ACC0078310-000076,,-8.73,,2024-04-25 11:13:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.919,,
RECON-202312-ACC0078310-6M,ACC0078310,IND23004167,,BST-ACC0078310-000077,,-71.97,,2024-05-25 14:49:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.967,,
RECON-202312-ACC0078311-3M,ACC0078311,IND23004660,MTX202312000018520,BST-ACC0078311-000039,-51.96,-51.96,2023-12-26 10:22:31,2023-12-28 10:22:31,exception,timing_difference,posting_date_lag,0.497,0.0,2023-12-28
RECON-202312-ACC0078311-3M,ACC0078311,IND23004660,,BST-ACC0078311-000044,,3.58,,2023-12-25 08:22:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.977,,
RECON-202312-ACC0078311-3M,ACC0078311,IND23004660,,BST-ACC0078311-000045,,-123.71,,2024-01-25 17:14:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.881,,
RECON-202312-ACC0078311-3M,ACC0078311,IND23004660,,BST-ACC0078311-000046,,-104.11,,2024-01-25 17:14:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.945,,
RECON-202312-ACC0078311-3M,ACC0078311,IND23004660,,BST-ACC0078311-000047,,-79.91,,2024-02-25 07:59:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.965,,
RECON-202312-ACC0078311-3M,ACC0078311,IND23004660,,BST-ACC0078311-000048,,-2.91,,2024-02-25 07:59:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.968,,
RECON-202312-ACC0078311-3M,ACC0078311,IND23004660,,BST-ACC0078311-000049,,-142.14,,2024-02-25 07:59:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.965,,
RECON-202312-ACC0078312-3M,ACC0078312,IND23013824,MTX202312000007119,BST-ACC0078312-000006,-768.56,-768.56,2023-12-04 13:06:11,2023-12-06 13:06:11,exception,timing_difference,posting_date_lag,0.808,0.0,2023-12-06
RECON-202312-ACC0078312-3M,ACC0078312,IND23013824,MTX202312000007135,BST-ACC0078312-000022,-26.86,-26.86,2023-12-09 23:51:07,2023-12-10 23:51:07,exception,source_system_lag,source_system_processing_delay,0.57,1.0,2023-12-10
RECON-202312-ACC0078312-3M,ACC0078312,IND23013824,MTX202312000007171,BST-ACC0078312-000060,-263.24,-263.24,2023-12-24 16:09:28,2023-12-25 16:09:28,exception,timing_difference,posting_date_lag,0.53,0.0,2023-12-25
RECON-202312-ACC0078312-3M,ACC0078312,IND23013824,MTX202312000007176,BST-ACC0078312-000065,-126.48,-126.48,2023-12-25 20:23:32,2023-12-26 20:23:32,exception,timing_difference,posting_date_lag,0.514,0.0,2023-12-26
RECON-202312-ACC0078312-3M,ACC0078312,IND23013824,,BST-ACC0078312-000082,,-33.52,,2023-12-25 10:03:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.926,,
RECON-202312-ACC0078312-3M,ACC0078312,IND23013824,,BST-ACC0078312-000083,,-93.83,,2024-01-25 10:10:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.941,,
RECON-202312-ACC0078312-3M,ACC0078312,IND23013824,,BST-ACC0078312-000084,,-54.54,,2024-02-25 08:59:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.958,,
RECON-202312-ACC0078312-3M,ACC0078312,IND23013824,,BST-ACC0078312-000085,,-75.2,,2024-02-25 08:59:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.937,,
RECON-202312-ACC0078313-6M,ACC0078313,IND23006674,,BST-ACC0078313-000040,,-124.9,,2023-12-25 10:34:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.89,,
RECON-202312-ACC0078313-6M,ACC0078313,IND23006674,,BST-ACC0078313-000041,,-19.47,,2023-12-25 10:34:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.891,,
