month,channel,transaction_count,total_amount,unique_customers,failed_count,avg_authorization_time_ms,failure_rate
2023-12,atm,2031,673781.99,439,71,915.34,0.035
2023-12,contactless,2763,839860.26,350,8,903.73,0.0029
2023-12,ewallet,1034,414297.05,332,3,925.0,0.0029
2023-12,mobile_banking_app,15370,6446466.13,500,34,922.03,0.0022
2023-12,online_banking,1721,1083826.88,344,4,937.44,0.0023
2023-12,pos,5375,1788442.57,500,204,919.62,0.038
2023-12,scheduled_payment,140,636692.06,119,9,646.63,0.0643
2023-12,ussd,4127,1260147.52,367,3,921.36,0.0007
2024-01,mobile_banking_app,34,11457.43,31,0,1017.97,0.0
2024-01,online_banking,1,287.61,1,0,1564.0,0.0
2024-01,ussd,24,8583.56,23,0,1259.75,0.0
