case_id,account_id,customer_id,arrears_amount,days_past_due,collection_stage,last_contact_date,last_contact_channel,promise_to_pay_amount,promise_to_pay_date,arrangement_plan,status,assigned_collector,notes
COLL-201902-00001,ACC0001365,IND19015299,245.95,24,pre_delinquent,2019-02-26,branch_visit,64.64,2019-03-10,,closed,Johan Botha,New case opened from failed loan repayment and churned relationship status. Churned customer — no active transactional account; pursuing outstanding loan balance.
COLL-201902-00002,ACC0001369,IND19008338,1978.49,21,pre_delinquent,2019-02-23,phone_call,798.34,2019-02-22,,closed,Pieter van der Merwe,"New case opened from failed loan repayment and churned relationship status. Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-201902-00003,ACC0000134,IND19012457,3478.09,51,early_collections,2019-02-14,branch_visit,,,payment_holiday,open,David Govender,New case opened from failed loan repayment and churned relationship status. Arrangement agreed: R1 500/month for 6 months starting 28 June. Arrangement: payment holiday.
COLL-201902-00004,ACC0000774,IND19000369,1568.42,53,early_collections,2019-02-06,branch_visit,608.10,2019-02-16,,open,Thabo Mokoena,New case opened from failed loan repayment and churned relationship status. Settlement offer of R608 communicated; customer requested until month-end.
COLL-201902-00005,ACC0000774,IND19000369,2319.58,65,late_collections,2019-02-20,branch_visit,,,,open,Johan Botha,New case opened from failed loan repayment and churned relationship status. Former churned customer returned; new arrears flagged after failed debit order.
COLL-201902-00006,ACC0001365,IND19015299,200.0,1,pre_delinquent,2019-02-21,letter,,,,open,Fatima Patel,New case opened from failed loan repayment and churned relationship status. Legal letter sent via registered post. Awaiting response before summons.
COLL-201902-00007,ACC0001012,IND19008033,3412.52,70,late_collections,2019-02-17,branch_visit,,,,open,Ayanda Mthembu,New case opened from failed loan repayment and churned relationship status. Former churned customer returned; new arrears flagged after failed debit order.
COLL-201902-00008,ACC0000213,IND19003541,983.57,15,pre_delinquent,2019-02-18,branch_visit,,,,resolved,Zanele Ndlovu,New case opened from failed loan repayment and churned relationship status. Arrangement agreed: R750/month for 6 months starting 22 November.
COLL-201902-00009,ACC0000390,IND19002143,935.44,68,late_collections,2019-02-26,phone_call,,,,open,David Govender,"New case opened from failed loan repayment and churned relationship status. Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-201902-00010,ACC0000213,IND19003541,891.93,61,late_collections,2019-02-22,phone_call,,,settlement_offer,open,Lerato Khumalo,New case opened from failed loan repayment and churned relationship status. Settlement offer of R1 500 communicated; customer requested until month-end. Arrangement: settlement offer.
COLL-201902-00011,ACC0001494,IND19015488,1683.82,27,pre_delinquent,2019-02-23,letter,355.32,2019-02-22,,open,Ayanda Mthembu,New case opened from failed loan repayment and churned relationship status. Debit order returned NSF for third time. Recommend restructuring.
COLL-201902-00012,ACC0001494,IND19015488,1756.03,6,pre_delinquent,2019-02-04,letter,278.17,2019-03-03,,open,Thabo Mokoena,"New case opened from failed loan repayment and churned relationship status. Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-201902-00013,ACC0000134,IND19012457,2664.15,21,pre_delinquent,2019-02-18,branch_visit,600.82,2019-02-09,,open,Zanele Ndlovu,New case opened from failed loan repayment and churned relationship status. Promise to pay recorded after outbound call. Follow-up scheduled.
COLL-201902-00014,ACC0000213,IND19003541,696.23,6,pre_delinquent,2019-02-13,phone_call,,,,open,Nomsa Dlamini,"New case opened from failed loan repayment and churned relationship status. Customer called, says employer missed payroll. Promised R1 500 by month-end."
COLL-201902-00015,ACC0001163,IND19009831,2107.98,28,pre_delinquent,2019-02-08,letter,,,,resolved,Fatima Patel,New case opened from failed loan repayment and churned relationship status. Former churned customer returned; new arrears flagged after failed debit order.
COLL-201902-00016,ACC0000766,IND19001627,3355.33,64,late_collections,2019-02-22,letter,511.32,2019-02-28,,open,Nomsa Dlamini,New case opened from failed loan repayment and churned relationship status. Promise to pay recorded after outbound call. Follow-up scheduled.
COLL-201902-00017,ACC0001369,IND19008338,1066.23,97,legal,2019-02-24,letter,,,,resolved,Thabo Mokoena,New case opened from failed loan repayment and churned relationship status. Churned customer — no active transactional account; pursuing outstanding loan balance. Escalating to legal.
COLL-201902-00018,ACC0001282,IND19007129,1186.31,9,pre_delinquent,2019-02-11,phone_call,224.35,2019-03-04,,resolved,Fatima Patel,"New case opened from failed loan repayment and churned relationship status. Customer called, says employer missed payroll. Promised R224 by month-end."
