reconciliation_run_id,account_id,customer_id,ledger_transaction_id,statement_transaction_id,ledger_amount,statement_amount,ledger_date,statement_date,match_status,exception_category,root_cause_tag,source_system_lag_days,expected_settlement_date,confidence_score
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002723,BST-ACC0035871-000001,-221.02,-221.02,2021-12-01 06:18:15,2021-12-01 06:18:15,matched,,,0,,0.966
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002724,BST-ACC0035871-000002,-29.89,-29.89,2021-12-01 10:52:29,2021-12-01 10:52:29,matched,,,0,,0.993
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002725,BST-ACC0035871-000003,-384.15,-384.15,2021-12-01 12:41:16,2021-12-01 12:41:16,matched,,,0,,0.976
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002726,BST-ACC0035871-000004,-413.17,-413.17,2021-12-01 13:23:34,2021-12-01 13:23:34,matched,,,0,,0.975
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002727,BST-ACC0035871-000005,-22.83,-22.83,2021-12-02 10:52:08,2021-12-02 10:52:08,matched,,,0,,0.994
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002728,BST-ACC0035871-000006,-266.96,-266.96,2021-12-02 12:04:21,2021-12-02 12:04:21,matched,,,0,,0.968
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002729,BST-ACC0035871-000007,-419.4,-419.4,2021-12-02 13:06:32,2021-12-02 13:06:32,matched,,,0,,0.971
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002730,BST-ACC0035871-000008,-359.46,-359.46,2021-12-03 06:03:11,2021-12-03 06:03:11,matched,,,0,,0.974
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002731,BST-ACC0035871-000009,-382.5,-382.5,2021-12-03 07:32:01,2021-12-03 07:32:01,matched,,,0,,0.993
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002732,BST-ACC0035871-000010,-73.96,-73.96,2021-12-03 22:56:05,2021-12-03 22:56:05,matched,,,0,,0.988
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002733,BST-ACC0035871-000011,-10.0,-10.0,2021-12-07 05:53:48,2021-12-07 05:53:48,matched,,,0,,0.97
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002735,BST-ACC0035871-000012,-30.56,-30.56,2021-12-07 08:42:38,2021-12-07 08:42:38,matched,,,0,,0.971
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002736,BST-ACC0035871-000013,-424.4,-424.4,2021-12-07 18:17:55,2021-12-07 18:17:55,matched,,,0,,0.968
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002737,BST-ACC0035871-000014,-518.96,-518.96,2021-12-07 21:03:14,2021-12-07 21:03:14,matched,,,0,,0.978
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002738,BST-ACC0035871-000015,-1039.5,-1039.5,2021-12-08 05:35:43,2021-12-08 05:35:43,matched,,,0,,0.976
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002740,BST-ACC0035871-000016,-344.88,-344.88,2021-12-08 07:49:32,2021-12-08 07:49:32,matched,,,0,,0.973
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002739,BST-ACC0035871-000017,-537.52,-537.52,2021-12-08 07:51:17,2021-12-08 07:51:17,matched,,,0,,0.991
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002741,BST-ACC0035871-000018,-238.6,-238.6,2021-12-08 08:56:35,2021-12-08 08:56:35,matched,,,0,,0.974
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002742,BST-ACC0035871-000019,-65.83,-65.83,2021-12-08 12:31:41,2021-12-08 12:31:41,matched,,,0,,0.981
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002743,BST-ACC0035871-000020,-251.51,-251.51,2021-12-08 12:40:51,2021-12-08 12:40:51,matched,,,0,,0.969
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002744,BST-ACC0035871-000021,10.0,10.0,2021-12-08 22:29:13,2021-12-08 22:29:13,matched,,,0,,0.992
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002745,BST-ACC0035871-000022,-192.2,-192.2,2021-12-09 06:12:00,2021-12-09 06:12:00,matched,,,0,,0.983
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002746,BST-ACC0035871-000023,-416.03,-416.03,2021-12-09 12:57:32,2021-12-09 12:57:32,matched,,,0,,0.969
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002747,BST-ACC0035871-000024,-42.53,-42.53,2021-12-10 06:52:24,2021-12-10 06:52:24,matched,,,0,,0.968
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002748,BST-ACC0035871-000025,-100.37,-100.37,2021-12-10 07:26:28,2021-12-10 07:26:28,matched,,,0,,1.0
RECON-202112-ACC0035871-3M,ACC0035871,IND21014800,MTX202112000002749,BST-ACC0035871-000026,-461.1,-461.1,2021-12-10 10:40:46,2021-12-10 10:40:46,matched,,,0,,0.962
