statement_transaction_id,account_id,customer_id,bank_name,statement_date,posted_date,statement_description,bank_reference,statement_amount,source_transaction_id,entry_type,reconciliation_required,reconciliation_reason,source_system_lag_days,expected_settlement_date
BST-ACC0035871-000001,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-01 06:18:15,2021-12-01,Restaurants via mobile_banking_app,202112915075739,-221.02,MTX202112000002723,transactional,False,,0,
BST-ACC0035871-000002,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-01 10:52:29,2021-12-01,Airtime via online banking,202112201803316,-29.89,MTX202112000002724,transactional,False,,0,
BST-ACC0035871-000003,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-01 12:41:16,2021-12-01,Groceries via mobile banking app,202112522569075,-384.15,MTX202112000002725,transactional,False,,0,
BST-ACC0035871-000004,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-01 13:23:34,2021-12-01,Groceries via pos,202112776305291,-413.17,MTX202112000002726,transactional,False,,0,
BST-ACC0035871-000005,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-02 10:52:08,2021-12-02,Airtime via mobile_banking_app,202112495943362,-22.83,MTX202112000002727,transactional,False,,0,
BST-ACC0035871-000006,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-02 12:04:21,2021-12-02,Groceries via pos,202112867814495,-266.96,MTX202112000002728,transactional,False,,0,
BST-ACC0035871-000007,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-02 13:06:32,2021-12-02,Retail via contactless,202112998559575,-419.4,MTX202112000002729,transactional,False,,0,
BST-ACC0035871-000008,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-03 06:03:11,2021-12-03,Retail via mobile banking app,202112963316437,-359.46,MTX202112000002730,transactional,False,,0,
BST-ACC0035871-000009,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-03 07:32:01,2021-12-03,Groceries via pos,202112700899200,-382.5,MTX202112000002731,transactional,False,,0,
BST-ACC0035871-000010,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-03 22:56:05,2021-12-03,Airtime via ussd,202112696346435,-73.96,MTX202112000002732,transactional,False,,0,
BST-ACC0035871-000011,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-07 05:53:48,2021-12-07,Retail via mobile banking app,202112354976119,-10.0,MTX202112000002733,transactional,False,,0,
BST-ACC0035871-000012,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-07 08:42:38,2021-12-07,Airtime via mobile_banking_app,202112162587974,-30.56,MTX202112000002735,transactional,False,,0,
BST-ACC0035871-000013,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-07 18:17:55,2021-12-07,Groceries via mobile_banking_app,202112508775331,-424.4,MTX202112000002736,transactional,False,,0,
BST-ACC0035871-000014,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-07 21:03:14,2021-12-07,Utilities via mobile banking app,202112218252135,-518.96,MTX202112000002737,transactional,False,,0,
BST-ACC0035871-000015,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-08 05:35:43,2021-12-08,Transfer via mobile banking app,202112446867128,-1039.5,MTX202112000002738,transactional,False,,0,
BST-ACC0035871-000016,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-08 07:49:32,2021-12-08,Transport via mobile_banking_app,202112108599124,-344.88,MTX202112000002740,transactional,False,,0,
BST-ACC0035871-000017,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-08 07:51:17,2021-12-08,Fuel via pos,202112782148202,-537.52,MTX202112000002739,transactional,False,,0,
BST-ACC0035871-000018,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-08 08:56:35,2021-12-08,Transfer via mobile_banking_app,202112317814334,-238.6,MTX202112000002741,transactional,False,,0,
BST-ACC0035871-000019,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-08 12:31:41,2021-12-08,Restaurants via mobile banking app,202112398230519,-65.83,MTX202112000002742,transactional,False,,0,
BST-ACC0035871-000020,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-08 12:40:51,2021-12-08,Groceries via pos,202112513162497,-251.51,MTX202112000002743,transactional,False,,0,
BST-ACC0035871-000021,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-08 22:29:13,2021-12-08,Transfer via ussd,202112421644591,10.0,MTX202112000002744,transactional,False,,0,
BST-ACC0035871-000022,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-09 06:12:00,2021-12-09,Alcohol via mobile banking app,202112827268474,-192.2,MTX202112000002745,transactional,False,,0,
BST-ACC0035871-000023,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-09 12:57:32,2021-12-09,Groceries via ewallet,202112898443190,-416.03,MTX202112000002746,transactional,False,,0,
BST-ACC0035871-000024,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-10 06:52:24,2021-12-10,Groceries via pos,202112223639613,-42.53,MTX202112000002747,transactional,False,,0,
BST-ACC0035871-000025,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-10 07:26:28,2021-12-10,Airtime via contactless,202112163264707,-100.37,MTX202112000002748,transactional,False,,0,
BST-ACC0035871-000026,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-10 10:40:46,2021-12-10,Transfer via mobile banking app,202112829337278,-461.1,MTX202112000002749,transactional,False,,0,
BST-ACC0035871-000027,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-10 12:28:22,2021-12-10,Restaurants via atm,202112800236729,-150.08,MTX202112000002750,transactional,False,,0,
BST-ACC0035871-000028,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-10 21:59:33,2021-12-10,Transfer via mobile banking app,202112786678540,-553.45,MTX202112000002751,transactional,False,,0,
BST-ACC0035871-000029,ACC0035871,IND21014800,Keystone Retail Bank,2021-12-12 11:56:33,2021-12-12,Groceries via mobile banking app,202112371963605,-366.29,MTX202112000002752,transactional,False,,0,
