account_id,customer_id,bank_name,account_type,account_tier,statement_timeframe_months,analysis_segment
ACC0035871,IND21014800,TymeBank,current,standard,3,standard_current
ACC0035872,IND21001474,Capitec,easy,basic,6,basic_easy
ACC0035873,IND21008713,Standard Bank,easy,basic,3,basic_easy
ACC0035874,IND21014414,Nedbank,easy,basic,6,basic_easy
ACC0035875,IND21011541,Capitec,savings,basic,6,basic_savings
ACC0035876,IND21005579,Standard Bank,easy,basic,3,basic_easy
ACC0035877,IND21009167,Absa,easy,basic,6,basic_easy
ACC0035878,IND21005174,Nedbank,cheque,standard,6,standard_cheque
ACC0035879,IND21006194,Standard Bank,easy,basic,6,basic_easy
ACC0035880,IND21003620,Standard Bank,cheque,standard,6,standard_cheque
ACC0035881,IND21003620,First National Bank,current,standard,6,standard_current
ACC0035882,IND21004053,Capitec,savings,standard,6,standard_savings
ACC0035883,IND21014186,First National Bank,easy,basic,3,basic_easy
ACC0035884,IND21012186,Standard Bank,current,standard,3,standard_current
ACC0035885,IND21008818,First National Bank,savings,standard,3,standard_savings
ACC0035887,IND21011503,Capitec,cheque,standard,6,standard_cheque
ACC0035888,IND21005000,First National Bank,savings,basic,3,basic_savings
ACC0035889,IND21007116,First National Bank,easy,basic,3,basic_easy
ACC0035891,IND21004578,Capitec,easy,basic,6,basic_easy
ACC0035892,IND21011209,Discovery Bank,savings,basic,6,basic_savings
ACC0035893,IND21013191,First National Bank,savings,standard,6,standard_savings
ACC0035894,IND21003327,Standard Bank,savings,basic,6,basic_savings
ACC0035895,IND21015354,Standard Bank,savings,basic,3,basic_savings
ACC0035896,IND21011711,First National Bank,cheque,standard,3,standard_cheque
ACC0035897,IND21000290,Capitec,current,standard,6,standard_current
ACC0035898,IND21013004,Standard Bank,cheque,standard,3,standard_cheque
ACC0035899,IND21013004,First National Bank,joint,standard,6,standard_joint
ACC0035900,IND21015023,Capitec,savings,basic,3,basic_savings
ACC0035901,IND21010727,First National Bank,savings,standard,6,standard_savings
ACC0035902,IND21010727,Nedbank,savings,standard,6,standard_savings
ACC0035903,IND21011925,First National Bank,easy,basic,3,basic_easy
ACC0035904,IND21005788,Capitec,savings,standard,6,standard_savings
ACC0035905,IND21001558,Nedbank,savings,standard,3,standard_savings
ACC0035906,IND21014810,First National Bank,easy,basic,3,basic_easy
ACC0035907,IND21001872,Nedbank,savings,basic,6,basic_savings
