case_id,account_id,customer_id,arrears_amount,days_past_due,collection_stage,last_contact_date,last_contact_channel,promise_to_pay_amount,promise_to_pay_date,arrangement_plan,status,assigned_collector,notes
COLL-202107-00001,ACC0012169,IND1908002223,933.67,43,early_collections,2021-07-17,sms,469.7,2021-07-31,,resolved,Fatima Patel,Former churned customer returned; new arrears flagged after failed debit order. Former churned customer returned; new arrears flagged after failed debit order.
COLL-202107-00002,ACC0017797,IND1904007712,6425.14,3,pre_delinquent,2021-07-02,branch_visit,1853.59,2021-07-15,,resolved,Pieter van der Merwe,"Former churned customer returned; new arrears flagged after failed debit order. Customer visited branch, paid R1 854 cash. Account now current."
COLL-202107-00003,ACC0017797,IND1904007712,3828.02,50,early_collections,2021-07-22,sms,,,,open,Ayanda Mthembu,"Win-back customer relapsed — prior case closed, reopened after NSF debit order. Churned customer — no active transactional account; pursuing outstanding loan balance."
COLL-202107-00004,ACC0026694,IND2104013168,3302.16,63,late_collections,2021-07-09,letter,1546.47,2021-07-13,,closed,Fatima Patel,New case opened from failed loan repayment and churned relationship status. Former churned customer returned; new arrears flagged after failed debit order.
COLL-202107-00005,ACC0001949,IND1902008140,1319.74,10,pre_delinquent,2021-07-26,phone_call,,,,open,Fatima Patel,New case opened from failed loan repayment and churned relationship status. Legal letter sent via registered post. Awaiting response before summons.
COLL-202107-00006,ACC0001291,IND1901005742,1474.77,228,write_off,2021-07-09,letter,,,,resolved,Johan Botha,"New case opened from failed loan repayment and churned relationship status. Customer visited branch, paid R750 cash. Account now current."
COLL-202107-00007,ACC0023139,IND2102012380,936.66,95,legal,2021-07-20,branch_visit,,,,resolved,Johan Botha,New case opened from failed loan repayment and churned relationship status. Churned customer — no active transactional account; pursuing outstanding loan balance. Escalating to legal.
COLL-202107-00008,ACC0018030,IND19004347,3033.71,14,pre_delinquent,2021-07-25,letter,,,,resolved,Pieter van der Merwe,New case opened from failed loan repayment and churned relationship status. Legal letter sent via registered post. Awaiting response before summons.
COLL-202107-00009,ACC0007986,IND1905001257,2630.69,118,legal,2021-07-03,letter,,,,open,Sipho Naidoo,"New case opened from failed loan repayment and churned relationship status. Customer visited branch, paid R350 cash. Account now current. Escalating to legal."
COLL-202107-00010,ACC0022944,IND2102012666,3384.63,27,pre_delinquent,2021-07-17,letter,,,,open,Thabo Mokoena,New case opened from failed loan repayment and churned relationship status. Settlement offer of R750 communicated; customer requested until month-end.
COLL-202107-00011,ACC0020400,IND2008001575,892.21,32,early_collections,2021-07-29,branch_visit,,,,open,Thabo Mokoena,New case opened from failed loan repayment and churned relationship status. Debit order returned NSF for third time. Recommend restructuring.
COLL-202107-00012,ACC0025545,IND2104012037,1648.53,50,early_collections,2021-07-27,branch_visit,,,settlement_offer,resolved,Pieter van der Merwe,"New case opened from failed loan repayment and churned relationship status. Customer in KwaZulu-Natal, low income band — hardship assessment required. Arrangement: settlement offer."
COLL-202107-00013,ACC0024084,IND2103008448,431.83,78,late_collections,2021-07-14,phone_call,,,,resolved,Zanele Ndlovu,New case opened from failed loan repayment and churned relationship status. Arrangement agreed: R350/month for 6 months starting 27 January.
COLL-202107-00014,ACC0008785,IND1906001088,4685.83,79,late_collections,2021-07-11,branch_visit,764.05,2021-07-21,,resolved,Ayanda Mthembu,"New case opened from failed loan repayment and churned relationship status. Customer visited branch, paid R764 cash. Account now current."
COLL-202107-00015,ACC0020312,IND2007001581,1185.5,47,early_collections,2021-07-06,branch_visit,630.32,2021-08-03,,open,Thabo Mokoena,"New case opened from failed loan repayment and churned relationship status. Customer in Gauteng, low income band — hardship assessment required."
COLL-202107-00016,ACC0014892,IND1910000611,1891.49,6,pre_delinquent,2021-07-06,sms,,,,open,Johan Botha,"New case opened from failed loan repayment and churned relationship status. Customer called, says employer missed payroll. Promised R500 by month-end."
COLL-202107-00017,ACC0005618,IND1904008561,4187.65,10,pre_delinquent,2021-07-10,sms,,,,open,Fatima Patel,New case opened from failed loan repayment and churned relationship status. Promise to pay recorded after outbound call. Follow-up scheduled.
COLL-202107-00018,ACC0018038,IND19009488,2309.14,51,early_collections,2021-07-10,phone_call,433.26,2021-07-18,,open,Ayanda Mthembu,New case opened from failed loan repayment and churned relationship status. Arrangement agreed: R433/month for 6 months starting 12 March.
COLL-202107-00019,ACC0012732,IND1908016318,870.75,9,pre_delinquent,2021-07-28,phone_call,,,,open,Ayanda Mthembu,New case opened from failed loan repayment and churned relationship status. Legal letter sent via registered post. Awaiting response before summons.
COLL-202107-00020,ACC0004822,IND1903010352,456.05,89,late_collections,2021-07-21,branch_visit,,,extended_term,closed,Thabo Mokoena,"New case opened from failed loan repayment and churned relationship status. Customer in Western Cape, low income band — hardship assessment required. Arrangement: extended term."
COLL-202107-00021,ACC0024495,IND2103006493,1225.29,51,early_collections,2021-07-25,letter,275.99,2021-07-22,,resolved,Thabo Mokoena,New case opened from failed loan repayment and churned relationship status. Settlement offer of R276 communicated; customer requested until month-end.
COLL-202107-00022,ACC0024985,IND2103008160,3392.14,22,pre_delinquent,2021-07-18,letter,1135.36,2021-08-06,,open,Nomsa Dlamini,"New case opened from failed loan repayment and churned relationship status. Customer in KwaZulu-Natal, low income band — hardship assessment required."
COLL-202107-00023,ACC0024230,IND2103002617,495.3,30,pre_delinquent,2021-07-06,email,,,,open,Lerato Khumalo,"New case opened from failed loan repayment and churned relationship status. Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202107-00024,ACC0001916,IND1902016327,2074.29,49,early_collections,2021-07-09,letter,,,,resolved,Lerato Khumalo,New case opened from failed loan repayment and churned relationship status. Legal letter sent via registered post. Awaiting response before summons.
COLL-202107-00026,ACC0006317,IND1904003634,200.0,72,late_collections,2021-07-15,email,,,,resolved,Johan Botha,"New case opened from failed loan repayment and churned relationship status. Customer in Gauteng, low income band — hardship assessment required."
COLL-202107-00027,ACC0021432,IND2101007060,715.41,47,early_collections,2021-07-02,letter,,,settlement_offer,resolved,Nomsa Dlamini,New case opened from failed loan repayment and churned relationship status. Arrangement agreed: R500/month for 6 months starting 18 April. Arrangement: settlement offer.
COLL-202107-00028,ACC0023051,IND2102012922,261.0,42,early_collections,2021-07-05,branch_visit,,,,closed,Sipho Naidoo,"New case opened from failed loan repayment and churned relationship status. Customer visited branch, paid R750 cash. Account now current."
COLL-202107-00029,ACC0023374,IND2102012797,423.12,19,pre_delinquent,2021-07-18,sms,124.2,2021-07-31,,open,Ayanda Mthembu,"New case opened from failed loan repayment and churned relationship status. Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202107-00030,ACC0011951,IND1908016239,2326.43,59,early_collections,2021-07-14,sms,,,extended_term,open,Johan Botha,New case opened from failed loan repayment and churned relationship status. Churned customer — no active transactional account; pursuing outstanding loan balance. Arrangement: extended term.
COLL-202107-00031,ACC0006037,IND1904012380,3675.24,41,early_collections,2021-07-05,email,1616.38,2021-08-03,,resolved,Johan Botha,New case opened from failed loan repayment and churned relationship status. Promise to pay recorded after outbound call. Follow-up scheduled.
COLL-202107-00032,ACC0027142,IND2105008161,2973.89,1,pre_delinquent,2021-07-10,phone_call,,,,closed,David Govender,"New case opened from failed loan repayment and churned relationship status. Customer called, says employer missed payroll. Promised R2 500 by month-end."
COLL-202107-00033,ACC0010787,IND1907007728,789.42,31,early_collections,2021-07-05,email,,,,closed,Zanele Ndlovu,New case opened from failed loan repayment and churned relationship status. Debit order returned NSF for third time. Recommend restructuring.
COLL-202107-00034,ACC0001281,IND1901007129,1056.0,82,late_collections,2021-07-11,sms,,,settlement_offer,open,Ayanda Mthembu,New case opened from failed loan repayment and churned relationship status. Debit order returned NSF for third time. Recommend restructuring. Arrangement: settlement offer.
COLL-202107-00035,ACC0003271,IND1902016447,5276.51,91,legal,2021-07-29,email,1547.78,2021-07-29,,resolved,Ayanda Mthembu,New case opened from failed loan repayment and churned relationship status. Arrangement agreed: R1 548/month for 6 months starting 23 October. Escalating to legal.
COLL-202107-00036,ACC0006530,IND1904008453,4769.37,114,legal,2021-07-28,email,1753.63,2021-07-27,,resolved,Sipho Naidoo,"New case opened from failed loan repayment and churned relationship status. Customer called, says employer missed payroll. Promised R1 754 by month-end. Escalating to legal."
