comm_id,account_id,customer_id,channel,direction,timestamp,subject,body,sentiment,is_complaint,complaint_category
COMM-202105-000001,ACC0023062,IND21008346,app_message,inbound,2021-05-23T08:40:00+02:00,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,positive,False,
COMM-202105-000002,ACC0015199,IND19010299,phone_call,inbound,14/05/2021 12:26,Branch appointment request,I would like to book time at the branch to sort out my account and get printed documents for my records.,positive,False,
COMM-202105-000003,ACC0014839,IND19005416,app_message,outbound,2021-05-17T23:48:00+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,False,
COMM-202105-000004,ACC0010555,IND19000657,sms,outbound,2021-05-22T10:37:32+02:00,Your loan repayment failed due to insufficient funds,Your scheduled loan repayment was not successful. Please fund your account or contact us to discuss payment options.,negative,True,statement_error
COMM-202105-000005,ACC0025221,IND21001286,app_message,outbound,2021-05-19T14:14:55+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,False,
COMM-202105-000006,ACC0026317,IND21012728,branch_visit,inbound,31/05/2021 09:05,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Retail banks sharpen arrears analytics as payment stress persists' and wanted to check how it affects my account.,negative,True,failed_transaction
COMM-202105-000007,ACC0006689,IND19001053,sms,outbound,2021-05-03T20:36:46+02:00,Your loan repayment failed due to insufficient funds,Your scheduled loan repayment was not successful. Please fund your account or contact us to discuss payment options.,neutral,False,
COMM-202105-000008,ACC0018221,IND19009920,phone_call,inbound,18/05/2021 16:08,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,statement_error
COMM-202105-000009,ACC0009013,IND19005800,phone_call,inbound,04/05/2021 15:06,Card blocked at ATM,My card was blocked at the ATM and I need access restored or a replacement card arranged. I have an urgent payment to make.,negative,True,statement_error
COMM-202105-000010,ACC0012313,IND19004224,branch_visit,inbound,23/05/2021 15:30,Branch appointment request,I would like to book time at the branch to sort out my account and get printed documents for my records.,neutral,False,
COMM-202105-000011,ACC0001092,IND19002621,branch_visit,inbound,21/05/2021 11:50,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,fraud_concern
