case_id,account_id,customer_id,arrears_amount,days_past_due,collection_stage,last_contact_date,last_contact_channel,promise_to_pay_amount,promise_to_pay_date,arrangement_plan,status,assigned_collector,notes
COLL-202209-00001,ACC0006295,IND1904011761,200.0,25,pre_delinquent,2022-09-05,app_message,,,,resolved,Zanele Ndlovu,"Win-back customer relapsed — prior case closed, reopened after NSF debit order. Former churned customer returned; new arrears flagged after failed debit order."
COLL-202209-00002,ACC0011442,IND1908004907,16548.46,33,early_collections,2022-09-01,app_message,,,,open,Thabo Mokoena,Former churned customer returned; new arrears flagged after failed debit order. Debit order returned NSF for third time. Recommend restructuring.
COLL-202209-00003,ACC0006295,IND1904011761,319.19,71,late_collections,2022-09-08,app_message,94.58,2022-09-08,,open,Thabo Mokoena,"Win-back customer relapsed — prior case closed, reopened after NSF debit order. Settlement offer of R95 communicated; customer requested until month-end."
COLL-202209-00004,ACC0045227,IND2205016923,600.44,13,pre_delinquent,2022-09-10,letter,,,,open,Nomsa Dlamini,"New case opened from failed loan repayment and churned relationship status. Customer in Western Cape, low income band — hardship assessment required."
COLL-202209-00005,ACC0036100,IND2112000535,211.34,91,legal,2022-09-23,email,,,,closed,David Govender,New case opened from failed loan repayment and churned relationship status. Settlement offer of R500 communicated; customer requested until month-end. Escalating to legal.
COLL-202209-00006,ACC0040790,IND2202023117,406.59,30,pre_delinquent,2022-09-04,letter,,,,open,Zanele Ndlovu,New case opened from failed loan repayment and churned relationship status. Former churned customer returned; new arrears flagged after failed debit order.
COLL-202209-00007,ACC0039571,IND2202003880,1323.08,8,pre_delinquent,2022-09-23,phone_call,,,,open,Lerato Khumalo,New case opened from failed loan repayment and churned relationship status. Churned customer — no active transactional account; pursuing outstanding loan balance.
COLL-202209-00008,ACC0048881,IND2207001718,855.95,72,late_collections,2022-09-21,email,456.54,2022-10-05,,resolved,David Govender,"New case opened from failed loan repayment and churned relationship status. Customer visited branch, paid R457 cash. Account now current."
COLL-202209-00009,ACC0035618,IND2111014597,1693.4,15,pre_delinquent,2022-09-21,phone_call,526.78,2022-09-20,,open,Zanele Ndlovu,"New case opened from failed loan repayment and churned relationship status. Customer called, says employer missed payroll. Promised R527 by month-end."
COLL-202209-00010,ACC0036344,IND2112004003,1632.44,6,pre_delinquent,2022-09-24,branch_visit,,,,resolved,Zanele Ndlovu,New case opened from failed loan repayment and churned relationship status. Former churned customer returned; new arrears flagged after failed debit order.
COLL-202209-00011,ACC0044696,IND2205016023,1316.66,53,early_collections,2022-09-21,letter,,,extended_term,resolved,Pieter van der Merwe,New case opened from failed loan repayment and churned relationship status. Churned customer — no active transactional account; pursuing outstanding loan balance. Arrangement: extended term.
COLL-202209-00012,ACC0015071,IND1910011567,1173.34,96,legal,2022-09-24,branch_visit,,,,open,Fatima Patel,New case opened from failed loan repayment and churned relationship status. Former churned customer returned; new arrears flagged after failed debit order. Escalating to legal.
COLL-202209-00013,ACC0034725,IND2111018450,2857.04,27,pre_delinquent,2022-09-03,phone_call,1437.48,2022-10-02,,resolved,Sipho Naidoo,"New case opened from failed loan repayment and churned relationship status. Customer visited branch, paid R1 437 cash. Account now current."
COLL-202209-00014,ACC0036358,IND2112002230,633.23,64,late_collections,2022-09-15,app_message,,,,resolved,Thabo Mokoena,New case opened from failed loan repayment and churned relationship status. Settlement offer of R2 500 communicated; customer requested until month-end.
COLL-202209-00015,ACC0000393,IND1901006420,738.67,43,early_collections,2022-09-21,phone_call,247.95,2022-09-27,,resolved,Thabo Mokoena,"New case opened from failed loan repayment and churned relationship status. Customer called, says employer missed payroll. Promised R248 by month-end."
COLL-202209-00016,ACC0044076,IND2204008098,5748.45,34,early_collections,2022-09-27,sms,2391.14,2022-10-05,extended_term,resolved,Fatima Patel,New case opened from failed loan repayment and churned relationship status. Debit order returned NSF for third time. Recommend restructuring. Arrangement: extended term.
COLL-202209-00017,ACC0048183,IND2207000606,3231.11,27,pre_delinquent,2022-09-10,app_message,676.55,2022-09-25,,resolved,Sipho Naidoo,New case opened from failed loan repayment and churned relationship status. Arrangement agreed: R677/month for 6 months starting 23 May.
COLL-202209-00018,ACC0032997,IND2109008053,2586.05,93,legal,2022-09-15,app_message,1036.29,2022-10-06,,resolved,Lerato Khumalo,New case opened from failed loan repayment and churned relationship status. Churned customer — no active transactional account; pursuing outstanding loan balance. Escalating to legal.
COLL-202209-00019,ACC0020253,IND2007002366,2714.08,219,write_off,2022-09-12,branch_visit,,,,closed,Sipho Naidoo,"New case opened from failed loan repayment and churned relationship status. Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202209-00020,ACC0021398,IND2101007968,232.64,77,late_collections,2022-09-14,app_message,,,,resolved,Johan Botha,New case opened from failed loan repayment and churned relationship status. Former churned customer returned; new arrears flagged after failed debit order.
COLL-202209-00021,ACC0000393,IND1901006420,1274.18,13,pre_delinquent,2022-09-18,email,,,,open,Lerato Khumalo,New case opened from failed loan repayment and churned relationship status. Debit order returned NSF for third time. Recommend restructuring.
COLL-202209-00022,ACC0020253,IND2007002366,1761.94,19,pre_delinquent,2022-09-07,phone_call,498.83,2022-09-20,,open,Ayanda Mthembu,New case opened from failed loan repayment and churned relationship status. Legal letter sent via registered post. Awaiting response before summons.
COLL-202209-00023,ACC0037398,IND2201005000,3532.18,87,late_collections,2022-09-04,phone_call,,,,open,Sipho Naidoo,"New case opened from failed loan repayment and churned relationship status. Customer called, says employer missed payroll. Promised R1 200 by month-end."
COLL-202209-00024,ACC0021073,IND2011000991,2626.36,212,write_off,2022-09-06,sms,,,,closed,David Govender,New case opened from failed loan repayment and churned relationship status. Former churned customer returned; new arrears flagged after failed debit order.
COLL-202209-00025,ACC0025664,IND2104002285,2653.12,54,early_collections,2022-09-22,email,,,,open,Lerato Khumalo,"New case opened from failed loan repayment and churned relationship status. Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202209-00026,ACC0044940,IND2205011675,5160.85,65,late_collections,2022-09-12,branch_visit,,,payment_holiday,resolved,Fatima Patel,New case opened from failed loan repayment and churned relationship status. Former churned customer returned; new arrears flagged after failed debit order. Arrangement: payment holiday.
COLL-202209-00027,ACC0046177,IND2206002698,2349.93,15,pre_delinquent,2022-09-02,branch_visit,638.67,2022-09-30,,open,Johan Botha,New case opened from failed loan repayment and churned relationship status. Legal letter sent via registered post. Awaiting response before summons.
COLL-202209-00028,ACC0021398,IND2101007968,200.0,65,late_collections,2022-09-05,letter,45.01,2022-10-01,,resolved,Fatima Patel,"New case opened from failed loan repayment and churned relationship status. Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202209-00029,ACC0042069,IND2203012856,4719.41,7,pre_delinquent,2022-09-12,sms,,,,closed,David Govender,New case opened from failed loan repayment and churned relationship status. Former churned customer returned; new arrears flagged after failed debit order.
COLL-202209-00030,ACC0040517,IND2202005047,2885.25,71,late_collections,2022-09-09,sms,1130.15,2022-09-19,,resolved,Sipho Naidoo,New case opened from failed loan repayment and churned relationship status. Debit order returned NSF for third time. Recommend restructuring.
COLL-202209-00031,ACC0011013,IND1907003821,3411.79,61,late_collections,2022-09-30,email,,,,open,Zanele Ndlovu,New case opened from failed loan repayment and churned relationship status. Debit order returned NSF for third time. Recommend restructuring.
COLL-202209-00032,ACC0004065,IND1903013815,353.53,73,late_collections,2022-09-14,phone_call,,,,closed,Sipho Naidoo,New case opened from failed loan repayment and churned relationship status. Legal letter sent via registered post. Awaiting response before summons.
COLL-202209-00033,ACC0028030,IND2105007228,793.27,2,pre_delinquent,2022-09-29,letter,138.37,2022-09-27,,open,Zanele Ndlovu,New case opened from failed loan repayment and churned relationship status. Promise to pay recorded after outbound call. Follow-up scheduled.
COLL-202209-00034,ACC0020580,IND2009001420,662.29,21,pre_delinquent,2022-09-25,branch_visit,333.53,2022-09-18,,resolved,Fatima Patel,"New case opened from failed loan repayment and churned relationship status. Customer visited branch, paid R334 cash. Account now current."
