comm_id,account_id,customer_id,channel,direction,timestamp,subject,body,sentiment,is_complaint,complaint_category
COMM-202501-000001,ACC0082260,IND24004385,app_message,inbound,2025-01-03T17:44:53+02:00,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,negative,False,
COMM-202501-000002,ACC0094233,IND24013042,chatbot,inbound,2025-01-13T14:27:19+02:00,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,neutral,False,
COMM-202501-000003,ACC0023288,IND21000125,social_media,inbound,2025/01/22 11:38:21,Kudos to branch staff,The branch team helped me quickly and explained the account options clearly. Please pass on my thanks.,neutral,False,
COMM-202501-000004,ACC0074310,IND23010647,email,outbound,2025-01-18 14:20:15,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,False,
COMM-202501-000005,ACC0068860,IND23007853,phone_call,inbound,27/01/2025 07:06,Branch appointment request,I would like to book time at the branch to sort out my account and get printed documents for my records.,negative,True,fraud_concern
COMM-202501-000006,ACC0002078,IND19001195,branch_visit,inbound,04/01/2025 10:20,Card blocked at ATM,My card was blocked at the ATM and I need access restored or a replacement card arranged. I have an urgent payment to make.,negative,True,fee_dispute
COMM-202501-000007,ACC0058946,IND23003637,chatbot,inbound,2025-01-12T10:23:11+02:00,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,positive,False,
COMM-202501-000008,ACC0044660,IND22015329,phone_call,inbound,29/01/2025 10:24,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,neutral,False,
COMM-202501-000009,ACC0012849,IND19005417,whatsapp,inbound,03-Jan-2025 13:38,Agent transfer request,The automated response is not solving my issue. Please transfer me to a consultant who can check the account.,negative,False,
COMM-202501-000010,ACC0091577,IND24020672,sms,outbound,2025-01-30T19:13:39+02:00,Branch holiday hours,Please note adjusted branch hours this month. Digital channels remain available for balance checks and transfers.,negative,False,
COMM-202501-000011,ACC0077510,IND23008870,app_message,inbound,2025-01-08T23:02:25+02:00,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,positive,False,
