suggestion_id,account_id,customer_id,channel,timestamp,suggestion_text,category,status
SUG-202312-00001,ACC0053149,IND22009454,phone_call,22/12/2023 17:38,Please allow customers to book branch appointments from the app.,branch_service,submitted
SUG-202312-00002,ACC0054523,IND22009035,branch_visit,08/12/2023 13:30,Please add better card freeze and unfreeze controls in the app.,digital_features,submitted
SUG-202312-00003,ACC0036257,IND21002953,phone_call,11/12/2023 08:25,Please show bank charges before the customer confirms a payment.,fees,submitted
SUG-202312-00004,ACC0054112,IND22003344,email,2023-12-26 08:34:15,It would be useful to have a low-cost account for family remittances.,product_idea,submitted
SUG-202312-00005,ACC0023545,IND21012470,app_message,2023-12-21T14:57:01+02:00,Please add better card freeze and unfreeze controls in the app.,digital_features,reviewed
SUG-202312-00006,ACC0075047,IND23017671,app_message,2023-12-25T18:02:39+02:00,Please add better card freeze and unfreeze controls in the app.,digital_features,submitted
SUG-202312-00007,ACC0063163,IND23014312,branch_visit,23/12/2023 15:30,Please offer a small savings pocket linked to loan repayments.,product_idea,submitted
SUG-202312-00008,ACC0077912,IND23016728,phone_call,29/12/2023 17:47,Please allow customers to book branch appointments from the app.,branch_service,submitted
SUG-202312-00009,ACC0068660,IND23005712,email,2023-12-17 10:47:52,A monthly fee breakdown would make the statement easier to understand.,fees,submitted
SUG-202312-00010,ACC0046536,IND22010367,app_message,2023-12-16T01:47:21+02:00,A monthly fee breakdown would make the statement easier to understand.,fees,submitted
SUG-202312-00011,ACC0008817,IND19014131,app_message,2023-12-19T07:18:06+02:00,Please allow customers to book branch appointments from the app.,branch_service,submitted
SUG-202312-00012,ACC0029902,IND21014446,email,2023-12-26 07:27:07,The branch queue system should send an SMS when it is nearly your turn.,branch_service,reviewed
SUG-202312-00013,ACC0066244,IND23010099,app_message,2023-12-30T15:20:40+02:00,It would be useful to have a low-cost account for family remittances.,product_idea,submitted
SUG-202312-00014,ACC0001979,IND19013869,app_message,2023-12-21T16:25:35+02:00,Please make statements easier to download for tax and rental applications.,other,submitted
SUG-202312-00015,ACC0047752,IND22017458,app_message,2023-12-03T18:51:16+02:00,Please allow customers to book branch appointments from the app.,branch_service,submitted
SUG-202312-00016,ACC0021216,IND20001716,social_media,2023/12/26 16:53:32,Please show bank charges before the customer confirms a payment.,fees,submitted
SUG-202312-00017,ACC0038764,IND22021750,phone_call,13/12/2023 13:43,It would help if the app showed why a transfer is delayed instead of only saying pending.,digital_features,submitted
SUG-202312-00018,ACC0005098,IND19008121,phone_call,08/12/2023 11:52,Please add a simple way to see pending debit orders before month end.,digital_features,submitted
