suggestion_id,account_id,customer_id,channel,timestamp,suggestion_text,category,status
SUG-202102-00001,ACC0014399,IND1909000094,app_message,2021-02-01T06:07:59+02:00,A monthly fee breakdown would make the statement easier to understand.,fees,submitted
SUG-202102-00002,ACC0008101,IND1905004006,phone_call,07/02/2021 12:29,Please add a simple way to see pending debit orders before month end.,digital_features,submitted
SUG-202102-00003,ACC0014042,IND1909002071,branch_visit,07/02/2021 08:05,Please show bank charges before the customer confirms a payment.,fees,submitted
SUG-202102-00004,ACC0006375,IND1904011919,phone_call,03/02/2021 16:10,The branch queue system should send an SMS when it is nearly your turn.,branch_service,submitted
SUG-202102-00005,ACC0013163,IND1909009650,phone_call,17/02/2021 08:37,Please offer a small savings pocket linked to loan repayments.,product_idea,reviewed
SUG-202102-00006,ACC0008958,IND1906004520,branch_visit,06/02/2021 11:45,A monthly fee breakdown would make the statement easier to understand.,fees,submitted
SUG-202102-00007,ACC0001340,IND1901008807,branch_visit,14/02/2021 14:00,Please show bank charges before the customer confirms a payment.,fees,submitted
SUG-202102-00008,ACC0015472,IND1911019475,branch_visit,25/02/2021 14:45,Please show bank charges before the customer confirms a payment.,fees,submitted
SUG-202102-00009,ACC0008782,IND1906012132,app_message,2021-02-12T06:26:18+02:00,Please add better card freeze and unfreeze controls in the app.,digital_features,submitted
SUG-202102-00010,ACC0005647,IND1904010661,branch_visit,18/02/2021 13:05,Please allow customers to book branch appointments from the app.,branch_service,submitted
SUG-202102-00011,ACC0014993,IND1910008314,app_message,2021-02-25T11:38:46+02:00,It would be useful to have a low-cost account for family remittances.,product_idea,submitted
SUG-202102-00012,ACC0007364,IND1905014235,app_message,2021-02-18T17:04:07+02:00,The branch queue system should send an SMS when it is nearly your turn.,branch_service,submitted
SUG-202102-00013,ACC0012548,IND1908009914,app_message,2021-02-06T20:16:13+02:00,Please add a simple way to see pending debit orders before month end.,digital_features,submitted
SUG-202102-00014,ACC0005639,IND1904002056,app_message,2021-02-14T18:21:59+02:00,Please offer a small savings pocket linked to loan repayments.,product_idea,submitted
SUG-202102-00015,ACC0020066,IND2006000178,app_message,2021-02-20T18:36:27+02:00,Please add a simple way to see pending debit orders before month end.,digital_features,submitted
SUG-202102-00016,ACC0004817,IND1903015714,app_message,2021-02-23T12:05:10+02:00,Please show bank charges before the customer confirms a payment.,fees,reviewed
