payment_id,case_id,account_id,customer_id,payment_date,amount,payment_method,was_promise_kept,arrears_after_payment
REC-201910-00001,COLL-201910-00012,ACC0000938,IND1901013886,2019-11-14,235.73,cash_deposit,False,919.94
REC-201910-00002,COLL-201910-00031,ACC0004026,IND1903017212,2019-10-14,1295.96,debit_order,True,1239.32
REC-201910-00003,COLL-201910-00021,ACC0003374,COM1902000173,2019-10-09,2575.62,cash_deposit,False,6552.8
REC-201910-00004,COLL-201910-00015,ACC0001381,IND1901013372,2019-10-15,425.82,eft,False,745.34
REC-201910-00005,COLL-201910-00010,ACC0007749,IND1905005754,2019-10-25,79.61,debit_order,False,186.15
REC-201910-00006,COLL-201910-00023,ACC0005196,IND1903016399,2019-11-09,1525.49,debit_order,False,975.59
REC-201910-00007,COLL-201910-00008,ACC0013561,IND1909006814,2019-10-25,741.4,eft,True,3207.85
REC-201910-00008,COLL-201910-00024,ACC0009878,COM1906000156,2019-10-26,813.56,debit_order,True,2185.19
REC-201910-00009,COLL-201910-00001,ACC0013630,IND1909014241,2019-10-20,303.4,debit_order,False,680.65
REC-201910-00010,COLL-201910-00009,ACC0010520,IND1907001812,2019-10-26,547.34,eft,True,2670.08
REC-201910-00011,COLL-201910-00025,ACC0013561,IND1909006814,2019-10-28,1394.62,eft,False,954.57
REC-201910-00012,COLL-201910-00005,ACC0002035,IND1902007323,2019-10-13,369.46,debit_order,False,1266.47
REC-201910-00013,COLL-201910-00017,ACC0003067,IND1902018432,2019-11-18,1555.69,card,False,3916.62
