suggestion_id,account_id,customer_id,channel,timestamp,suggestion_text,category,status
SUG-201912-00001,ACC0001982,IND1902011705,branch_visit,31/12/2019 09:30,Please add a simple way to see pending debit orders before month end.,digital_features,submitted
SUG-201912-00002,ACC0005639,IND1904002056,phone_call,29/12/2019 08:35,A monthly fee breakdown would make the statement easier to understand.,fees,submitted
SUG-201912-00003,ACC0015320,IND1910003730,branch_visit,19/12/2019 09:05,Please make statements easier to download for tax and rental applications.,other,reviewed
SUG-201912-00004,ACC0002465,IND1902016811,phone_call,15/12/2019 12:16,A monthly fee breakdown would make the statement easier to understand.,fees,submitted
SUG-201912-00005,ACC0011113,IND1907013275,branch_visit,23/12/2019 11:20,Please offer a small savings pocket linked to loan repayments.,product_idea,submitted
SUG-201912-00006,ACC0014862,IND1910006489,phone_call,14/12/2019 10:55,Please allow customers to book branch appointments from the app.,branch_service,submitted
SUG-201912-00007,ACC0013926,IND1909010625,branch_visit,08/12/2019 11:10,Please send clearer notifications when account details change.,other,reviewed
SUG-201912-00008,ACC0000159,IND1901009851,branch_visit,28/12/2019 11:15,Please send clearer notifications when account details change.,other,submitted
SUG-201912-00009,ACC0011716,IND1908012549,branch_visit,19/12/2019 09:15,Please show bank charges before the customer confirms a payment.,fees,submitted
SUG-201912-00010,ACC0009800,IND1906011990,branch_visit,20/12/2019 13:45,Please add a simple way to see pending debit orders before month end.,digital_features,submitted
SUG-201912-00011,ACC0008582,IND1906004596,branch_visit,17/12/2019 13:15,A monthly fee breakdown would make the statement easier to understand.,fees,submitted
SUG-201912-00012,ACC0007885,IND1905010577,branch_visit,01/12/2019 14:00,It would be useful to have a low-cost account for family remittances.,product_idea,reviewed
SUG-201912-00013,ACC0007580,IND1905012833,phone_call,01/12/2019 08:59,A monthly fee breakdown would make the statement easier to understand.,fees,submitted
SUG-201912-00014,ACC0014369,IND1909005870,phone_call,23/12/2019 11:22,A monthly fee breakdown would make the statement easier to understand.,fees,submitted
SUG-201912-00015,ACC0010379,IND1907009202,phone_call,26/12/2019 09:26,Please add a simple way to see pending debit orders before month end.,digital_features,submitted
SUG-201912-00016,ACC0015713,IND1911018942,branch_visit,22/12/2019 10:15,Please show bank charges before the customer confirms a payment.,fees,submitted
