payment_id,case_id,account_id,customer_id,payment_date,amount,payment_method,was_promise_kept,arrears_after_payment
REC-202404-00001,COLL-202404-00037,ACC0080419,IND2401004494,2024-04-07,764.59,eft,False,5719.88
REC-202404-00002,COLL-202404-00027,ACC0030018,COM2106000096,2024-04-11,2438.41,eft,False,2007.16
REC-202404-00003,COLL-202404-00008,ACC0024653,IND2103004536,2024-04-01,719.97,eft,False,2733.46
REC-202404-00004,COLL-202404-00017,ACC0062654,IND2304002950,2024-04-07,2212.19,cash_deposit,False,5428.16
REC-202404-00005,COLL-202404-00030,ACC0069311,IND2307010290,2024-04-06,3035.18,eft,False,3206.35
REC-202404-00006,COLL-202404-00039,ACC0078508,IND2312000959,2024-04-14,531.24,cash_deposit,False,1507.63
REC-202404-00007,COLL-202404-00047,ACC0077986,IND2311004582,2024-04-14,109.44,card,False,310.99
REC-202404-00008,COLL-202404-00024,ACC0034693,IND2111017550,2024-04-27,1939.96,debit_order,False,1772.08
REC-202404-00009,COLL-202404-00010,ACC0056058,IND2211017905,2024-04-09,1448.33,cash_deposit,False,984.84
REC-202404-00010,COLL-202404-00043,ACC0015275,IND1910012019,2024-04-04,1636.64,eft,False,1160.85
REC-202404-00011,COLL-202404-00004,ACC0073024,IND2309017472,2024-05-01,6295.22,card,False,8623.56
REC-202404-00012,COLL-202404-00042,ACC0002836,IND1902014394,2024-05-16,327.22,cash_deposit,False,429.49
REC-202404-00013,COLL-202404-00016,ACC0077988,IND2311002197,2024-04-27,160.35,eft,True,179.59
REC-202404-00014,COLL-202404-00014,ACC0048847,IND2207001791,2024-04-15,995.58,card,False,637.49
REC-202404-00015,COLL-202404-00020,ACC0017898,IND1912003539,2024-04-15,680.13,eft,False,3306.36
REC-202404-00016,COLL-202404-00048,ACC0052887,IND2210016545,2024-04-19,637.3,cash_deposit,False,2104.82
REC-202404-00017,COLL-202404-00044,ACC0013926,IND1909010625,2024-04-30,344.14,eft,False,258.74
REC-202404-00018,COLL-202404-00005,ACC0017571,IND19014161,2024-04-14,1018.29,card,True,5698.9
REC-202404-00019,COLL-202404-00015,ACC0064169,IND2304025011,2024-04-29,7150.31,eft,False,5454.32
