payment_id,case_id,account_id,customer_id,payment_date,amount,payment_method,was_promise_kept,arrears_after_payment
REC-202104-00001,COLL-202104-00005,ACC0020919,IND2011002800,2021-04-17,213.05,cash_deposit,False,861.2
REC-202104-00002,COLL-202104-00027,ACC0016922,IND1911019961,2021-05-15,530.99,debit_order,False,1839.03
REC-202104-00003,COLL-202104-00013,ACC0011613,IND1908010239,2021-04-18,239.7,card,False,933.75
REC-202104-00004,COLL-202104-00019,ACC0013063,IND1909013748,2021-04-08,1127.63,card,False,2986.91
REC-202104-00005,COLL-202104-00023,ACC0000895,IND1901014589,2021-04-22,403.23,debit_order,False,355.96
REC-202104-00006,COLL-202104-00008,ACC0017693,IND19010524,2021-04-24,338.21,debit_order,False,1086.09
REC-202104-00007,COLL-202104-00022,ACC0017693,IND19010524,2021-04-10,1097.16,card,False,726.05
REC-202104-00008,COLL-202104-00026,ACC0017796,IND1904000091,2021-04-26,1516.93,cash_deposit,False,1030.61
REC-202104-00009,COLL-202104-00025,ACC0021076,IND2011000018,2021-04-26,201.95,cash_deposit,False,109.55
REC-202104-00010,COLL-202104-00020,ACC0005195,IND1903008590,2021-04-14,436.89,cash_deposit,False,796.36
REC-202104-00011,COLL-202104-00021,ACC0001221,IND1901011832,2021-05-11,1996.72,cash_deposit,False,2158.56
REC-202104-00012,COLL-202104-00032,ACC0011814,IND1908013409,2021-04-25,557.2,debit_order,False,4468.49
REC-202104-00013,COLL-202104-00014,ACC0011227,IND1907000442,2021-05-16,737.0,debit_order,False,1401.52
REC-202104-00015,COLL-202104-00036,ACC0014745,IND1910000578,2021-04-25,187.17,debit_order,False,180.52
REC-202104-00016,COLL-202104-00039,ACC0023952,IND2102002358,2021-04-11,1212.91,cash_deposit,False,2080.22
