case_id,account_id,customer_id,arrears_amount,days_past_due,collection_stage,last_contact_date,last_contact_channel,promise_to_pay_amount,promise_to_pay_date,arrangement_plan,status,assigned_collector,notes
COLL-202002-00001,ACC0009142,IND1906017297,717.09,3,pre_delinquent,2020-02-09,phone_call,,,,open,Nomsa Dlamini,New case opened from failed loan repayment and churned relationship status. COVID hardship relief applied. Payment holiday granted until June 2020.
COLL-202002-00002,ACC0001344,IND1901009855,1457.25,120,legal,2020-02-09,phone_call,408.62,2020-02-15,,open,Pieter van der Merwe,"New case opened from failed loan repayment and churned relationship status. Customer in Gauteng, low income band — hardship assessment required. Escalating to legal."
COLL-202002-00003,ACC0004856,IND1903002897,2204.88,42,early_collections,2020-02-19,phone_call,,,,open,Ayanda Mthembu,New case opened from failed loan repayment and churned relationship status. Debit order returned NSF for third time. Recommend restructuring.
COLL-202002-00004,ACC0007040,IND1905011954,3614.62,29,pre_delinquent,2020-02-22,phone_call,,,,closed,Fatima Patel,New case opened from failed loan repayment and churned relationship status. Settlement offer of R2 500 communicated; customer requested until month-end.
COLL-202002-00005,ACC0001344,IND1901009855,2546.99,57,early_collections,2020-02-09,branch_visit,,,,resolved,Thabo Mokoena,New case opened from failed loan repayment and churned relationship status. Promise to pay recorded after outbound call. Follow-up scheduled.
COLL-202002-00006,ACC0016413,IND1911002225,1724.13,15,pre_delinquent,2020-02-18,phone_call,879.91,2020-02-26,,resolved,Pieter van der Merwe,New case opened from failed loan repayment and churned relationship status. Settlement offer of R880 communicated; customer requested until month-end.
COLL-202002-00007,ACC0009512,IND1906008009,1306.72,36,early_collections,2020-02-02,phone_call,,,restructured,open,Pieter van der Merwe,"New case opened from failed loan repayment and churned relationship status. Phone disconnected. Sent SMS, no response. Escalating to legal. Arrangement: restructured."
COLL-202002-00008,ACC0016013,IND1911017089,2293.79,79,late_collections,2020-02-16,branch_visit,823.34,2020-03-07,restructured,open,Johan Botha,New case opened from failed loan repayment and churned relationship status. Settlement offer of R823 communicated; customer requested until month-end. Arrangement: restructured.
COLL-202002-00009,ACC0006424,IND1904005129,603.18,70,late_collections,2020-02-28,branch_visit,153.29,2020-02-14,extended_term,closed,Fatima Patel,"New case opened from failed loan repayment and churned relationship status. Customer in Western Cape, low income band — hardship assessment required. Arrangement: extended term."
COLL-202002-00010,ACC0013534,IND1909013456,6469.13,50,early_collections,2020-02-24,branch_visit,1903.62,2020-02-16,,resolved,Thabo Mokoena,"New case opened from failed loan repayment and churned relationship status. Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202002-00011,ACC0006350,IND1904014848,728.02,39,early_collections,2020-02-02,phone_call,123.9,2020-03-03,,resolved,Sipho Naidoo,New case opened from failed loan repayment and churned relationship status. Former churned customer returned; new arrears flagged after failed debit order.
COLL-202002-00012,ACC0010639,IND1907007461,4418.41,85,late_collections,2020-02-25,phone_call,1946.15,2020-02-26,,resolved,David Govender,"New case opened from failed loan repayment and churned relationship status. Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202002-00013,ACC0012682,IND1908009302,462.5,80,late_collections,2020-02-21,branch_visit,,,,open,Johan Botha,New case opened from failed loan repayment and churned relationship status. Churned customer — no active transactional account; pursuing outstanding loan balance.
COLL-202002-00014,ACC0011096,IND1907003534,428.03,45,early_collections,2020-02-20,letter,,,,resolved,Pieter van der Merwe,New case opened from failed loan repayment and churned relationship status. Churned customer — no active transactional account; pursuing outstanding loan balance.
COLL-202002-00015,ACC0008558,IND1906015819,5237.81,71,late_collections,2020-02-29,letter,2410.19,2020-03-06,,open,Zanele Ndlovu,"New case opened from failed loan repayment and churned relationship status. Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202002-00016,ACC0004243,IND1903015877,4489.46,52,early_collections,2020-02-12,phone_call,,,extended_term,open,Zanele Ndlovu,"New case opened from failed loan repayment and churned relationship status. Customer in Western Cape, low income band — hardship assessment required. Arrangement: extended term."
COLL-202002-00017,ACC0003894,IND1903000111,1048.4,79,late_collections,2020-02-15,branch_visit,540.44,2020-02-07,,resolved,Lerato Khumalo,New case opened from failed loan repayment and churned relationship status. Settlement offer of R540 communicated; customer requested until month-end.
