comm_id,account_id,customer_id,channel,direction,timestamp,subject,body,sentiment,linked_news_title,linked_event_date,is_complaint,complaint_category
COMM-202504-000001,ACC0101824,IND25005002,sms,outbound,2025-04-26T16:46:20+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,Operational resilience returns to the agenda after payment interruptions,,False,
COMM-202504-000002,ACC0082940,IND24007348,sms,inbound,2025-04-15T19:38:44+02:00,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Conduct teams press for clearer evidence on fees and failed payments' and wanted to check how it affects my account.,negative,Conduct teams press for clearer evidence on fees and failed payments,,True,fee_dispute
COMM-202504-000003,ACC0009223,IND19001935,phone_call,inbound,16/04/2025 18:07,Home Loan rate increase question,"Hi there, I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date.",positive,,,False,
COMM-202504-000004,ACC0038917,IND22010333,app_message,inbound,2025-04-01T07:07:03+02:00,Balance check,Please confirm my available balance and whether any debit orders are still pending.,neutral,,,False,
COMM-202504-000005,ACC0105102,IND25002822,email,inbound,2025-04-18 16:45:53,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Conduct teams press for clearer evidence on fees and failed payments' and wanted to check how it affects my account.,neutral,Conduct teams press for clearer evidence on fees and failed payments,,False,
COMM-202504-000006,ACC0040448,IND22012008,email,inbound,2025-04-27 15:25:06,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Banking analytics agenda: five signals to watch this month' and wanted to check how it affects my account.,neutral,Banking analytics agenda: five signals to watch this month,,False,
COMM-202504-000007,ACC0066120,IND23012200,social_media,inbound,2025/04/21 11:26:15,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Digital channels reshape banking workloads as customer growth continues' and wanted to check how it affects my account.,negative,Digital channels reshape banking workloads as customer growth continues,,True,fee_dispute
COMM-202504-000008,ACC0020611,IND20001118,email,inbound,2025-04-28 06:37:57,Statement copy request,Please send me a copy of my latest statement and confirm the closing balance used for the month-end calculation.,positive,,,False,
COMM-202504-000009,ACC0051313,IND22006058,phone_call,inbound,16/04/2025 15:57,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",neutral,,,False,
COMM-202504-000010,ACC0049306,IND22009298,whatsapp,inbound,27-Apr-2025 12:50,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Operational resilience returns to the agenda after payment interruptions' and wanted to check how it affects my account.,positive,Operational resilience returns to the agenda after payment interruptions,,False,
COMM-202504-000011,ACC0067878,IND23011236,app_message,inbound,2025-04-11T19:36:42+02:00,Balance check,Please confirm my available balance and whether any debit orders are still pending.,negative,,,True,service_delay
COMM-202504-000012,ACC0014991,IND19010123,chatbot,inbound,2025-04-19T16:28:00+02:00,Agent transfer request,The automated response is not solving my issue. Please transfer me to a consultant who can check the account.,neutral,,,False,
COMM-202504-000013,ACC0021609,IND21010439,chatbot,outbound,2025-04-08T23:09:55+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,,,False,
COMM-202504-000014,ACC0094570,IND24021898,sms,outbound,2025-04-10T16:46:12+02:00,Suspicious transaction alert,We detected activity that may require confirmation. Please reply or contact the bank if this transaction was not yours.,positive,,,False,
COMM-202504-000015,ACC0087238,IND24011935,social_media,inbound,2025/04/11 07:16:19,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,negative,,,True,digital_issue
COMM-202504-000016,ACC0026813,IND21011335,branch_visit,inbound,21/04/2025 13:20,Card blocked at ATM,My card was blocked at the ATM and I need access restored or a replacement card arranged. I have an urgent payment to make.,positive,,,False,
COMM-202504-000017,ACC0009824,IND19005414,email,outbound,2025-04-21 15:15:49,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,,,False,
