payment_id,case_id,account_id,customer_id,payment_date,amount,payment_method,was_promise_kept,arrears_after_payment
REC-202503-00001,COLL-202503-00012,ACC0093760,IND2408005608,2025-03-27,931.5,eft,False,618.53
REC-202503-00002,COLL-202503-00027,ACC0056497,IND2212003238,2025-04-18,844.2,eft,False,1569.48
REC-202503-00003,COLL-202503-00022,ACC0002630,IND1902015606,2025-03-26,3398.65,card,False,4412.11
REC-202503-00004,COLL-202503-00026,ACC0026884,IND2104011958,2025-03-29,899.9,eft,False,939.19
REC-202503-00005,COLL-202503-00023,ACC0041431,IND2203001753,2025-04-17,678.02,card,False,644.26
REC-202503-00006,COLL-202503-00001,ACC0056250,IND2211011361,2025-03-25,160.54,eft,False,97.17
REC-202503-00007,COLL-202503-00036,ACC0051020,IND2209014642,2025-03-17,837.48,card,True,760.16
REC-202503-00008,COLL-202503-00004,ACC0064277,IND2304022523,2025-03-27,373.7,eft,False,880.81
REC-202503-00009,COLL-202503-00009,ACC0027162,IND2105000782,2025-03-15,802.18,eft,False,808.57
REC-202503-00010,COLL-202503-00024,ACC0022944,IND2102012666,2025-03-20,2236.32,cash_deposit,False,4687.86
REC-202503-00011,COLL-202503-00017,ACC0047030,IND2206015152,2025-03-19,385.39,debit_order,False,338.8
REC-202503-00012,COLL-202503-00010,ACC0035231,IND2111016469,2025-03-22,78.9,card,False,121.1
REC-202503-00013,COLL-202503-00030,ACC0080935,IND2401018062,2025-03-11,668.75,debit_order,False,3551.61
REC-202503-00014,COLL-202503-00019,ACC0009213,IND1906000700,2025-03-26,130.0,eft,False,465.0
REC-202503-00015,COLL-202503-00035,ACC0050468,IND2208011417,2025-03-31,877.96,debit_order,True,837.92
