statement_transaction_id,account_id,customer_id,bank_name,statement_date,posted_date,statement_description,bank_reference,statement_amount,source_transaction_id,entry_type,reconciliation_required,reconciliation_reason,source_system_lag_days,expected_settlement_date
BST-ACC0021148-000001,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-01 07:36:39,2020-12-01,Fuel via mobile banking app,202012496977682,-1088.56,MTX202012000000208,transactional,False,,0,
BST-ACC0021148-000002,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-01 19:17:45,2020-12-01,Retail via pos,202012271611981,-464.03,MTX202012000000209,transactional,False,,0,
BST-ACC0021148-000003,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-02 01:35:01,2020-12-02,Entertainment via mobile banking app,202012299046038,-381.39,MTX202012000000210,transactional,False,,0,
BST-ACC0021148-000004,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-02 07:31:24,2020-12-02,Fuel via atm,202012810605721,-701.47,MTX202012000000211,transactional,False,,0,
BST-ACC0021148-000005,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-02 09:26:01,2020-12-02,Transfer via pos,202012271300104,-906.48,MTX202012000000212,transactional,False,,0,
BST-ACC0021148-000006,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-02 10:16:06,2020-12-02,Transfer via online banking,202012781227318,-1539.77,MTX202012000000213,transactional,False,,0,
BST-ACC0021148-000007,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-02 11:59:38,2020-12-02,Transfer via online banking,202012257266004,-1205.3,MTX202012000000214,transactional,True,amount_mismatch,0,
BST-ACC0021148-000008,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-03 12:55:00,2020-12-03,Retail via mobile banking app,202012280269098,-352.89,MTX202012000000216,transactional,False,,0,
BST-ACC0021148-000009,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-03 12:56:37,2020-12-03,Restaurants via ewallet,202012129626575,-420.6,MTX202012000000215,transactional,False,,0,
BST-ACC0021148-000010,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-04 07:06:20,2020-12-04,Groceries via pos,202012608544088,-359.44,MTX202012000000217,transactional,False,,0,
BST-ACC0021148-000011,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-04 11:09:32,2020-12-04,Transfer via pos,202012343110236,1100.52,MTX202012000000218,transactional,False,,0,
BST-ACC0021148-000012,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-04 19:32:00,2020-12-04,Groceries via pos,202012435608650,-325.39,MTX202012000000219,transactional,False,,0,
BST-ACC0021148-000013,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-05 15:08:13,2020-12-05,Fuel via mobile_banking_app,202012370285231,-736.64,MTX202012000000220,transactional,False,,0,
BST-ACC0021148-000014,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-05 19:55:32,2020-12-05,Alcohol via mobile banking app,202012738263267,-125.98,MTX202012000000221,transactional,False,,0,
BST-ACC0021148-000015,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-05 22:15:39,2020-12-05,Restaurants via online banking,202012175696725,-174.11,MTX202012000000222,transactional,False,,0,
BST-ACC0021148-000016,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-06 23:38:33,2020-12-06,Transport via mobile_banking_app,202012139569706,-231.06,MTX202012000000223,transactional,False,,0,
BST-ACC0021148-000017,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-07 08:10:24,2020-12-07,Airtime via mobile_banking_app,202012436131139,-130.38,MTX202012000000224,transactional,False,,0,
BST-ACC0021148-000018,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-09 13:55:03,2020-12-09,Fuel via ewallet,202012938326684,-654.65,MTX202012000000226,transactional,False,,0,
BST-ACC0021148-000019,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-09 15:20:32,2020-12-09,Transfer via pos,202012102940528,-554.4,MTX202012000000225,transactional,False,,0,
BST-ACC0021148-000020,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-09 17:00:06,2020-12-09,Groceries via contactless,202012737328698,-172.53,MTX202012000000228,transactional,False,,0,
BST-ACC0021148-000021,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-09 19:50:57,2020-12-09,Retail via mobile_banking_app,202012700414301,-453.47,MTX202012000000227,transactional,False,,0,
BST-ACC0021148-000022,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-10 06:09:12,2020-12-10,Fuel via pos,202012278306525,-829.93,MTX202012000000229,transactional,False,,0,
BST-ACC0021148-000023,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-10 08:01:13,2020-12-10,Fuel via online banking,202012206646212,-541.26,MTX202012000000230,transactional,False,,0,
BST-ACC0021148-000024,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-10 16:59:16,2020-12-10,Groceries via atm,202012845216997,-468.5,MTX202012000000231,transactional,False,,0,
BST-ACC0021148-000025,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-10 21:11:39,2020-12-10,Transfer via online banking,202012193439836,-1321.76,MTX202012000000232,transactional,False,,0,
BST-ACC0021148-000026,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-11 09:21:38,2020-12-11,Transfer via online banking,202012215022493,-753.86,MTX202012000000234,transactional,False,,0,
BST-ACC0021148-000027,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-11 14:49:43,2020-12-11,Groceries via pos,202012994019325,-358.44,MTX202012000000233,transactional,False,,0,
BST-ACC0021148-000028,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-12 06:32:14,2020-12-12,Airtime via atm,202012664165881,-104.52,MTX202012000000235,transactional,False,,0,
BST-ACC0021148-000029,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-12 09:58:07,2020-12-12,Groceries via atm,202012530850077,-282.39,MTX202012000000236,transactional,False,,0,
BST-ACC0021148-000030,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-12 10:47:46,2020-12-12,Fuel via ewallet,202012359085927,-749.09,MTX202012000000237,transactional,False,,0,
BST-ACC0021148-000031,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-13 19:42:51,2020-12-13,Groceries via online banking,202012323144462,-419.97,MTX202012000000238,transactional,False,,0,
BST-ACC0021148-000032,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-14 02:36:21,2020-12-14,Alcohol via online_banking,202012137028387,-231.57,MTX202012000000239,transactional,False,,0,
BST-ACC0021148-000033,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-14 15:35:01,2020-12-14,Fuel via pos,202012227047362,-657.32,MTX202012000000240,transactional,False,,0,
BST-ACC0021148-000034,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-15 07:53:04,2020-12-15,Fuel via pos,202012358139540,-338.31,MTX202012000000241,transactional,False,,0,
BST-ACC0021148-000035,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-15 10:46:27,2020-12-15,Groceries via atm,202012982672375,-457.35,MTX202012000000242,transactional,False,,0,
BST-ACC0021148-000036,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-15 19:25:33,2020-12-15,Restaurants via online banking,202012403013014,-236.81,MTX202012000000243,transactional,False,,0,
BST-ACC0021148-000037,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-16 06:33:44,2020-12-16,Airtime via online banking,202012101830090,-114.64,MTX202012000000244,transactional,False,,0,
BST-ACC0021148-000038,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-16 10:32:07,2020-12-16,Groceries via online banking,202012443700849,-360.0,MTX202012000000245,transactional,False,,0,
BST-ACC0021148-000039,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-17 05:05:45,2020-12-17,Retail via online_banking,202012127910280,-456.29,MTX202012000000246,transactional,False,,0,
BST-ACC0021148-000040,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-17 09:48:50,2020-12-17,Fuel via pos,202012955990743,-793.73,MTX202012000000247,transactional,False,,0,
BST-ACC0021148-000041,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-18 07:47:25,2020-12-18,Fuel via mobile_banking_app,202012963377862,-823.85,MTX202012000000249,transactional,False,,0,
BST-ACC0021148-000042,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-18 08:11:31,2020-12-18,Fuel via pos,202012780456195,-811.82,MTX202012000000248,transactional,False,,0,
BST-ACC0021148-000043,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-18 22:40:05,2020-12-18,Groceries via mobile_banking_app,202012315051343,-323.0,MTX202012000000250,transactional,False,,0,
BST-ACC0021148-000044,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-19 03:09:14,2020-12-19,Retail via mobile_banking_app,202012126201030,-407.63,MTX202012000000251,transactional,False,,0,
BST-ACC0021148-000045,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-19 06:35:49,2020-12-19,Fuel via pos,202012802561196,-552.28,MTX202012000000252,transactional,False,,0,
BST-ACC0021148-000046,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-19 10:49:10,2020-12-19,Retail via online banking,202012246577648,-323.58,MTX202012000000253,transactional,False,,0,
BST-ACC0021148-000047,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-19 15:15:55,2020-12-19,Retail via ewallet,202012607326041,-507.28,MTX202012000000254,transactional,False,,0,
BST-ACC0021148-000048,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-19 17:15:24,2020-12-19,Restaurants via online banking,202012715101516,-323.23,MTX202012000000255,transactional,False,,0,
BST-ACC0021148-000049,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-20 20:41:30,2020-12-20,Clothing via online banking,202012601893707,-461.23,MTX202012000000257,transactional,False,,0,
BST-ACC0021148-000050,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-20 22:56:09,2020-12-20,Utilities via mobile banking app,202012617126163,-549.94,MTX202012000000256,transactional,False,,0,
BST-ACC0021148-000051,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-21 06:10:35,2020-12-21,Internal transfer - Loan Repayment,202012326695995,-9325.69,MTX202012000000199,transactional,False,,0,
BST-ACC0021148-000052,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-21 07:35:02,2020-12-21,Groceries via atm,202012570189212,-367.47,MTX202012000000258,transactional,False,,0,
BST-ACC0021148-000053,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-22 00:30:01,2020-12-22,Restaurants via mobile_banking_app,202012280085203,-91.49,MTX202012000000259,transactional,False,,0,
BST-ACC0021148-000054,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-24 13:53:45,2020-12-24,Transfer via mobile_banking_app,202012222499000,-1164.45,MTX202012000000260,transactional,False,,0,
BST-ACC0021148-000055,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-24 17:37:36,2020-12-24,Groceries via online banking,202012259951882,-363.08,MTX202012000000261,transactional,False,,0,
BST-ACC0021148-000056,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-24 21:58:45,2020-12-24,Retail via mobile banking app,202012709192089,-749.92,MTX202012000000262,transactional,False,,0,
BST-ACC0021148-000057,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-25 07:36:15,2020-12-25,Groceries via atm,202012673111265,-593.83,MTX202012000000263,transactional,False,,0,
BST-ACC0021148-000067,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-25 17:02:00,2020-12-25,Cash Deposit Fee,FEE-202012-86510,-27.95,,cash_deposit_fee,True,bank_generated_non_transactional_entry,0,
BST-ACC0021148-000058,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-26 06:30:39,2020-12-26,Fuel via pos,202012764755649,-717.85,MTX202012000000265,transactional,False,,0,
BST-ACC0021148-000059,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-26 08:13:19,2020-12-26,Fuel via online_banking,202012608448473,-321.91,MTX202012000000264,transactional,False,,0,
BST-ACC0021148-000060,ACC0021148,IND20003872,Keystone Retail Bank,2020-12-27 08:22:10,2020-12-27,Airtime via pos,202012444285125,-48.06,MTX202012000000266,transactional,False,,0,
