month,channel,transaction_count,total_amount,unique_customers,failed_count,avg_authorization_time_ms,failure_rate
2020-12,atm,878,282670.1,192,38,942.94,0.0433
2020-12,contactless,1196,338976.54,142,3,926.8,0.0025
2020-12,ewallet,463,203078.7,138,1,947.26,0.0022
2020-12,mobile_banking_app,6847,3236592.81,208,20,920.66,0.0029
2020-12,online_banking,820,672850.57,144,2,901.01,0.0024
2020-12,pos,2246,802738.27,208,86,921.12,0.0383
2020-12,scheduled_payment,207,1020886.98,140,7,632.88,0.0338
2020-12,ussd,1860,583054.02,164,1,932.63,0.0005
2021-01,mobile_banking_app,24,5043.43,23,0,1016.92,0.0
2021-01,ussd,10,5907.92,9,0,791.4,0.0
