comm_id,account_id,customer_id,channel,direction,timestamp,subject,body,sentiment,linked_news_title,linked_event_date,is_complaint,complaint_category
COMM-202209-000001,ACC0012027,IND19008927,app_message,inbound,2022-09-27T01:13:41+02:00,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Banking analytics agenda: five signals to watch this month' and wanted to check how it affects my account.,positive,Banking analytics agenda: five signals to watch this month,,False,
COMM-202209-000002,ACC0028210,IND21014015,phone_call,inbound,01/09/2022 07:38,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date.,neutral,,,False,
COMM-202209-000003,ACC0041428,IND22008608,sms,outbound,2022-09-12T13:55:08+02:00,Your loan repayment failed due to insufficient funds,Your scheduled loan repayment was not successful. Please fund your account or contact us to discuss payment options.,negative,,,True,statement_error
COMM-202209-000004,ACC0031344,IND21006560,branch_visit,inbound,23/09/2022 12:10,Branch appointment request,I would like to book time at the branch to sort out my account and get printed documents for my records.,neutral,,,False,
COMM-202209-000005,ACC0022167,IND21006646,email,inbound,2022-09-21 13:57:33,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Conduct teams press for clearer evidence on fees and failed payments' and wanted to check how it affects my account.,neutral,Conduct teams press for clearer evidence on fees and failed payments,,False,
COMM-202209-000006,ACC0050183,IND22016777,sms,inbound,2022-09-12T15:25:11+02:00,Statement copy request,Please send me a copy of my latest statement and confirm the closing balance used for the month-end calculation.,positive,,,False,
COMM-202209-000007,ACC0047394,COM22000455,email,inbound,2022-09-26 17:56:58,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,negative,,,True,failed_transaction
COMM-202209-000008,ACC0033688,IND21006086,email,outbound,2022-09-17 21:43:06,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",positive,,,False,
COMM-202209-000009,ACC0027872,IND21001179,sms,outbound,2022-09-25T19:40:56+02:00,Your loan repayment failed due to insufficient funds,Your scheduled loan repayment was not successful. Please fund your account or contact us to discuss payment options.,neutral,,,False,
COMM-202209-000010,ACC0001412,IND19009021,sms,outbound,2022-09-02T01:38:12+02:00,Branch holiday hours,Please note adjusted branch hours this month. Digital channels remain available for balance checks and transfers.,neutral,,,False,
COMM-202209-000011,ACC0030006,IND21011441,phone_call,inbound,16/09/2022 13:18,Why did my debit order fail?,"Hi there, My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",positive,,,False,
COMM-202209-000012,ACC0015762,IND19000944,branch_visit,inbound,26/09/2022 13:50,Card blocked at ATM,My card was blocked at the ATM and I need access restored or a replacement card arranged. I have an urgent payment to make.,neutral,,,False,
COMM-202209-000013,ACC0039430,IND22015102,phone_call,inbound,20/09/2022 08:26,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date.,positive,,,False,
COMM-202209-000014,ACC0021300,IND20001529,sms,outbound,2022-09-21T11:44:59+02:00,Suspicious transaction alert,We detected activity that may require confirmation. Please reply or contact the bank if this transaction was not yours.,neutral,,,False,
COMM-202209-000015,ACC0021861,IND21000095,app_message,inbound,2022-09-23T09:18:43+02:00,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,,,True,failed_transaction
COMM-202209-000016,ACC0006899,IND19000899,email,inbound,2022-09-20 11:04:34,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,,,True,fee_dispute
COMM-202209-000017,ACC0033628,IND21008804,app_message,outbound,2022-09-30T22:15:18+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,,,False,
COMM-202209-000018,ACC0022944,IND21012666,email,inbound,2022-09-14 15:38:07,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Banks watch debit-order strain as households adjust spending' and wanted to check how it affects my account.,neutral,Banks watch debit-order strain as households adjust spending,,False,
COMM-202209-000019,ACC0026934,IND21013914,email,inbound,2022-09-17 21:28:48,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,neutral,,,False,
COMM-202209-000020,ACC0020686,IND20002572,phone_call,inbound,13/09/2022 12:24,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,,,True,fraud_concern
COMM-202209-000021,ACC0013572,IND19001360,sms,outbound,2022-09-03T19:03:32+02:00,Branch holiday hours,Please note adjusted branch hours this month. Digital channels remain available for balance checks and transfers.,negative,,,True,staff_behavior
COMM-202209-000022,ACC0042389,IND22010730,sms,outbound,2022-09-17T14:19:11+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,Retail banks sharpen arrears analytics as payment stress persists,,False,
COMM-202209-000023,ACC0026506,IND21008066,phone_call,inbound,02/09/2022 09:46,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,,,True,digital_issue
COMM-202209-000024,ACC0026499,IND21012154,app_message,outbound,2022-09-25T15:03:07+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,Banking analytics agenda: five signals to watch this month,,False,
COMM-202209-000025,ACC0010154,IND19001032,branch_visit,inbound,14/09/2022 10:45,Cash deposit issue,I made a cash deposit but the amount is not showing correctly. Please investigate the branch or ATM record.,negative,,,True,other
COMM-202209-000026,ACC0049218,COM22000395,app_message,inbound,2022-09-24T18:09:24+02:00,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,negative,,,True,failed_transaction
COMM-202209-000027,ACC0049027,IND22016704,sms,outbound,2022-09-22T15:42:24+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",negative,,,True,service_delay
COMM-202209-000028,ACC0031689,IND21006868,sms,outbound,2022-09-12T10:23:27+02:00,Your loan repayment failed due to insufficient funds,Your scheduled loan repayment was not successful. Please fund your account or contact us to discuss payment options.,positive,,,False,
COMM-202209-000029,ACC0006934,IND19009341,branch_visit,inbound,25/09/2022 15:05,Card blocked at ATM,My card was blocked at the ATM and I need access restored or a replacement card arranged. I have an urgent payment to make.,neutral,,,False,
COMM-202209-000030,ACC0024060,COM21000096,sms,outbound,2022-09-21T18:32:19+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",negative,Banks watch debit-order strain as households adjust spending,,True,failed_transaction
COMM-202209-000031,ACC0036198,IND21004960,app_message,inbound,2022-09-07T15:32:46+02:00,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,neutral,,,False,
COMM-202209-000032,ACC0036298,IND21014884,app_message,inbound,2022-09-26T08:50:15+02:00,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Conduct teams press for clearer evidence on fees and failed payments' and wanted to check how it affects my account.,neutral,Conduct teams press for clearer evidence on fees and failed payments,,False,
COMM-202209-000033,ACC0033118,IND21000311,sms,outbound,2022-09-17T20:28:22+02:00,Your loan repayment failed due to insufficient funds,Your scheduled loan repayment was not successful. Please fund your account or contact us to discuss payment options.,negative,,,True,digital_issue
COMM-202209-000034,ACC0023869,IND21002339,sms,outbound,2022-09-20T05:09:24+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,,,False,
COMM-202209-000035,ACC0004247,IND19006046,app_message,outbound,2022-09-17T11:43:44+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",positive,,,False,
COMM-202209-000036,ACC0046537,IND22003289,email,inbound,2022-09-20 20:05:56,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,negative,,,True,failed_transaction
COMM-202209-000037,ACC0025080,IND21002637,sms,outbound,2022-09-21T15:55:43+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",negative,Operational resilience returns to the agenda after payment interruptions,,False,
COMM-202209-000038,ACC0030474,IND21005733,email,inbound,2022-09-26 08:01:50,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,neutral,,,False,
COMM-202209-000039,ACC0005442,IND19020561,phone_call,inbound,02/09/2022 13:24,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date.,positive,,,False,
COMM-202209-000040,ACC0005143,IND19021316,app_message,inbound,2022-09-09T14:14:12+02:00,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,negative,,,True,digital_issue
COMM-202209-000041,ACC0017876,IND19006146,sms,outbound,2022-09-22T22:48:36+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,,,False,
COMM-202209-000042,ACC0041498,IND22013341,email,inbound,2022-09-22 15:59:37,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Retail banks sharpen arrears analytics as payment stress persists' and wanted to check how it affects my account.,neutral,Retail banks sharpen arrears analytics as payment stress persists,,False,
COMM-202209-000043,ACC0007297,IND19011570,email,outbound,2022-09-30 13:15:53,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,,,False,
COMM-202209-000044,ACC0022721,IND21005128,phone_call,inbound,19/09/2022 09:55,Home Loan rate increase question,"Hi there, I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Statement delays add noise to month-end finance controls' and wanted to check how it affects my account.",negative,Statement delays add noise to month-end finance controls,,True,fee_dispute
COMM-202209-000045,ACC0044343,IND22001261,app_message,inbound,2022-09-07T22:05:35+02:00,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,positive,,,False,
COMM-202209-000046,ACC0032372,IND21007989,app_message,inbound,2022-09-01T11:49:08+02:00,Transfer not reflecting,I made a transfer and it is still not reflecting. Please check whether the payment is delayed in your system.,negative,,,True,failed_transaction
COMM-202209-000047,ACC0026107,IND21007816,sms,outbound,2022-09-05T13:47:35+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",negative,,,False,
COMM-202209-000048,ACC0039308,IND22008365,email,inbound,2022-09-22 06:12:34,Account enquiry,Please assist with my banking enquiry.,negative,,,True,incorrect_charge
COMM-202209-000049,ACC0031923,IND21007067,sms,inbound,2022-09-15T09:26:25+02:00,Branch appointment request,I would like to book time at the branch to sort out my account and get printed documents for my records.,neutral,,,False,
COMM-202209-000050,ACC0048562,IND22002542,email,inbound,2022-09-15 10:33:23,Suggestion for bank app,I have feedback on the app experience and would like the product team to review it.,neutral,,,False,
COMM-202209-000051,ACC0032148,IND21009854,branch_visit,inbound,10/09/2022 09:30,Card blocked at ATM,My card was blocked at the ATM and I need access restored or a replacement card arranged. I have an urgent payment to make.,neutral,,,False,
COMM-202209-000052,ACC0024183,IND21001794,branch_visit,inbound,26/09/2022 11:15,Branch appointment request,I would like to book time at the branch to sort out my account and get printed documents for my records.,positive,,,False,
COMM-202209-000053,ACC0040254,IND22001325,phone_call,inbound,22/09/2022 08:52,Card blocked at ATM,My card was blocked at the ATM and I need access restored or a replacement card arranged. I have an urgent payment to make.,neutral,,,False,
COMM-202209-000054,ACC0023099,IND21010329,sms,outbound,2022-09-25T10:29:51+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",negative,Banks watch debit-order strain as households adjust spending,,True,failed_transaction
COMM-202209-000055,ACC0017761,IND19016050,app_message,inbound,2022-09-19T21:59:13+02:00,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,neutral,,,False,
COMM-202209-000056,ACC0007842,IND19009173,app_message,inbound,2022-09-18T07:04:35+02:00,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,,,True,failed_transaction
