suggestion_id,account_id,customer_id,channel,timestamp,suggestion_text,category,status
SUG-202005-00001,ACC0006670,IND19002557,phone_call,12/05/2020 16:00,Please show bank charges before the customer confirms a payment.,fees,submitted
SUG-202005-00002,ACC0002630,IND19015606,app_message,2020-05-01T23:58:34+02:00,A monthly fee breakdown would make the statement easier to understand.,fees,submitted
SUG-202005-00003,ACC0017599,IND19003854,branch_visit,31/05/2020 09:15,A monthly fee breakdown would make the statement easier to understand.,fees,submitted
SUG-202005-00004,ACC0018252,IND19006462,branch_visit,25/05/2020 14:45,Please offer a small savings pocket linked to loan repayments.,product_idea,submitted
SUG-202005-00005,ACC0001943,IND19008817,app_message,2020-05-16T22:16:53+02:00,It would help if the app showed why a transfer is delayed instead of only saying pending.,digital_features,submitted
SUG-202005-00006,ACC0011096,IND19003534,app_message,2020-05-20T16:11:23+02:00,Please offer a small savings pocket linked to loan repayments.,product_idea,reviewed
SUG-202005-00007,ACC0012986,IND19003439,phone_call,12/05/2020 08:38,Please add better card freeze and unfreeze controls in the app.,digital_features,reviewed
SUG-202005-00008,ACC0003362,IND19014898,branch_visit,20/05/2020 12:20,Please allow customers to book branch appointments from the app.,branch_service,reviewed
SUG-202005-00009,ACC0008755,IND19006330,app_message,2020-05-25T03:29:23+02:00,Please add a simple way to see pending debit orders before month end.,digital_features,reviewed
SUG-202005-00010,ACC0002248,IND19012631,branch_visit,02/05/2020 14:15,Please show bank charges before the customer confirms a payment.,fees,reviewed
SUG-202005-00011,ACC0005196,IND19016399,app_message,2020-05-04T15:36:21+02:00,Please show bank charges before the customer confirms a payment.,fees,submitted
SUG-202005-00012,ACC0007179,IND19000434,app_message,2020-05-10T07:21:06+02:00,Please make statements easier to download for tax and rental applications.,other,reviewed
SUG-202005-00013,ACC0000116,IND19013155,phone_call,03/05/2020 09:42,Please allow customers to book branch appointments from the app.,branch_service,submitted
SUG-202005-00014,ACC0012871,COM19000067,phone_call,13/05/2020 14:25,Please show bank charges before the customer confirms a payment.,fees,submitted
SUG-202005-00015,ACC0012562,IND19013202,branch_visit,14/05/2020 09:10,Please offer a small savings pocket linked to loan repayments.,product_idea,submitted
SUG-202005-00016,ACC0014883,IND19009439,phone_call,05/05/2020 09:14,Please make statements easier to download for tax and rental applications.,other,submitted
