comm_id,account_id,customer_id,channel,direction,timestamp,subject,body,sentiment,linked_news_title,linked_event_date,is_complaint,complaint_category,resolution_status,resolution_notes
COMM-202005-000001,ACC0007257,IND19002485,branch_visit,inbound,08/05/2020 14:30,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,,,True,staff_behavior,resolved,Branch manager to contact customer and review service notes.
COMM-202005-000012,ACC0003362,IND19014898,phone_call,inbound,30/05/2020 12:51,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Retail banks sharpen arrears analytics as payment stress persists' and wanted to check how it affects my account.,negative,Retail banks sharpen arrears analytics as payment stress persists,,True,fee_dispute,resolved,Fee query logged; customer will receive a reversal decision after statement review.
COMM-202005-000018,ACC0007987,IND19014897,phone_call,inbound,23/05/2020 16:31,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Operational resilience returns to the agenda after payment interruptions' and wanted to check how it affects my account.,negative,Operational resilience returns to the agenda after payment interruptions,,True,service_delay,open,Service timeline reviewed and customer updated on next action.
COMM-202005-000021,ACC0016652,IND19003737,phone_call,inbound,13/05/2020 09:51,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,,,True,failed_transaction,resolved,"Payment operations checking debit-order status, retry timing and available balance."
COMM-202005-000023,ACC0016196,IND19007874,app_message,inbound,2020-05-15T08:48:51+02:00,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,,,True,service_delay,resolved,Service timeline reviewed and customer updated on next action.
COMM-202005-000028,ACC0009145,IND19016906,branch_visit,inbound,25/05/2020 14:45,Branch appointment request,I would like to book time at the branch to sort out my account and get printed documents for my records.,negative,,,True,other,resolved,Customer care team reviewing the account history.
COMM-202005-000029,ACC0017968,IND19002083,branch_visit,inbound,18/05/2020 13:20,Complaint about service,The service delay is frustrating. I have followed up more than once and still do not have a proper answer.,negative,,,True,other,open,Customer care team reviewing the account history.
COMM-202005-000030,ACC0014233,IND19011996,phone_call,inbound,24/05/2020 13:45,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,,,True,fee_dispute,resolved,Fee query logged; customer will receive a reversal decision after statement review.
COMM-202005-000032,ACC0016660,IND19007917,branch_visit,inbound,10/05/2020 15:10,Cash deposit issue,I made a cash deposit but the amount is not showing correctly. Please investigate the branch or ATM record.,negative,,,True,failed_transaction,resolved,"Payment operations checking debit-order status, retry timing and available balance."
COMM-202005-000033,ACC0014734,IND19006261,app_message,inbound,2020-05-17T10:16:30+02:00,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,,,True,failed_transaction,resolved,"Payment operations checking debit-order status, retry timing and available balance."
COMM-202005-000034,ACC0018269,IND19005231,phone_call,inbound,07/05/2020 07:09,Branch appointment request,I would like to book time at the branch to sort out my account and get printed documents for my records.,negative,,,True,service_delay,resolved,Service timeline reviewed and customer updated on next action.
COMM-202005-000036,ACC0009780,IND19017567,app_message,inbound,2020-05-05T07:51:59+02:00,Transfer not reflecting,I made a transfer and it is still not reflecting. Please check whether the payment is delayed in your system.,negative,,,True,service_delay,resolved,Service timeline reviewed and customer updated on next action.
COMM-202005-000039,ACC0012415,IND19001636,phone_call,inbound,01/05/2020 15:52,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,,,True,fraud_concern,open,Card monitoring case opened and customer advised on dispute documents.
COMM-202005-000040,ACC0018266,IND19011021,branch_visit,inbound,20/05/2020 09:50,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,,,True,statement_error,resolved,Statement extract queued for reconciliation review.
COMM-202005-000042,ACC0012602,IND19006076,app_message,inbound,2020-05-25T15:37:47+02:00,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Banking analytics agenda: five signals to watch this month' and wanted to check how it affects my account.,negative,Banking analytics agenda: five signals to watch this month,,True,fee_dispute,open,Fee query logged; customer will receive a reversal decision after statement review.
COMM-202005-000046,ACC0011719,IND19005915,phone_call,inbound,12/05/2020 15:26,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,negative,,,True,fee_dispute,resolved,Fee query logged; customer will receive a reversal decision after statement review.
COMM-202005-000047,ACC0003873,IND19001959,phone_call,inbound,29/05/2020 12:04,Branch appointment request,I would like to book time at the branch to sort out my account and get printed documents for my records.,negative,,,True,statement_error,resolved,Statement extract queued for reconciliation review.
COMM-202005-000050,ACC0010328,IND19008589,branch_visit,inbound,03/05/2020 09:15,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,,,True,statement_error,escalted,Statement extract queued for reconciliation review.
COMM-202005-000053,ACC0006992,COM19000195,phone_call,inbound,22/05/2020 10:56,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date.,negative,,,True,fee_dispute,open,Fee query logged; customer will receive a reversal decision after statement review.
COMM-202005-000054,ACC0015101,IND19008786,app_message,inbound,2020-05-02T10:45:30+02:00,Transfer not reflecting,I made a transfer and it is still not reflecting. Please check whether the payment is delayed in your system.,negative,,,True,digital_issue,resolved,Digital support case created with device and login details.
COMM-202005-000058,ACC0002778,IND19013008,app_message,inbound,2020-05-01T18:08:23+02:00,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,,,True,failed_transaction,open,"Payment operations checking debit-order status, retry timing and available balance."
COMM-202005-000070,ACC0017864,IND19000254,app_message,inbound,2020-05-08T14:34:08+02:00,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,negative,,,True,statement_error,resolved,Statement extract queued for reconciliation review.
COMM-202005-000071,ACC0004663,IND19018024,app_message,inbound,2020-05-23T10:01:20+02:00,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,negative,,,True,fee_dispute,resolved,Fee query logged; customer will receive a reversal decision after statement review.
COMM-202005-000073,ACC0013646,IND19009529,phone_call,inbound,31/05/2020 14:50,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,,,True,digital_issue,resolved,Digital support case created with device and login details.
COMM-202005-000075,ACC0017156,IND19011186,branch_visit,inbound,25/05/2020 09:45,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Operational resilience returns to the agenda after payment interruptions' and wanted to check how it affects my account.,negative,Operational resilience returns to the agenda after payment interruptions,,True,failed_transaction,escalted,"Payment operations checking debit-order status, retry timing and available balance."
COMM-202005-000083,ACC0002088,IND19007131,phone_call,inbound,30/05/2020 10:48,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Digital channels reshape banking workloads as customer growth continues' and wanted to check how it affects my account.,negative,Digital channels reshape banking workloads as customer growth continues,,True,fee_dispute,resolved,Fee query logged; customer will receive a reversal decision after statement review.
COMM-202005-000084,ACC0006804,IND19001507,app_message,inbound,2020-05-31T15:25:25+02:00,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Banking analytics agenda: five signals to watch this month' and wanted to check how it affects my account.,negative,Banking analytics agenda: five signals to watch this month,,True,fee_dispute,resolved,Fee query logged; customer will receive a reversal decision after statement review.
COMM-202005-000085,ACC0012648,IND19017587,branch_visit,inbound,23/05/2020 13:10,Cash deposit issue,I made a cash deposit but the amount is not showing correctly. Please investigate the branch or ATM record.,negative,,,True,fraud_concern,open,Card monitoring case opened and customer advised on dispute documents.
COMM-202005-000086,ACC0012332,IND19006771,branch_visit,inbound,12/05/2020 15:10,Complaint about service,The service delay is frustrating. I have followed up more than once and still do not have a proper answer.,negative,,,True,digital_issue,resolved,Digital support case created with device and login details.
COMM-202005-000087,ACC0006913,IND19010893,branch_visit,inbound,09/05/2020 13:10,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,,,True,staff_behavior,resolved,Branch manager to contact customer and review service notes.
COMM-202005-000091,ACC0016264,IND19019281,branch_visit,inbound,26/05/2020 13:05,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Operational resilience returns to the agenda after payment interruptions' and wanted to check how it affects my account.,negative,Operational resilience returns to the agenda after payment interruptions,,True,service_delay,resolved,Service timeline reviewed and customer updated on next action.
COMM-202005-000095,ACC0017103,IND19013233,phone_call,inbound,08/05/2020 14:43,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,,,True,service_delay,open,Service timeline reviewed and customer updated on next action.
COMM-202005-000096,ACC0004333,IND19009236,branch_visit,inbound,28/05/2020 15:50,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,,,True,staff_behavior,resolved,Branch manager to contact customer and review service notes.
COMM-202005-000097,ACC0013959,IND19010654,app_message,inbound,2020-05-14T20:03:03+02:00,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,negative,,,True,statement_error,resolved,Statement extract queued for reconciliation review.
COMM-202005-000100,ACC0004856,IND19002897,app_message,inbound,2020-05-10T13:22:55+02:00,Balance check,Please confirm my available balance and whether any debit orders are still pending.,negative,,,True,failed_transaction,escalted,"Payment operations checking debit-order status, retry timing and available balance."
COMM-202005-000101,ACC0013228,IND19006101,app_message,inbound,2020-05-24T18:41:00+02:00,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Statement delays add noise to month-end finance controls' and wanted to check how it affects my account.,negative,Statement delays add noise to month-end finance controls,,True,fee_dispute,resolved,Fee query logged; customer will receive a reversal decision after statement review.
COMM-202005-000102,ACC0006897,IND19008709,phone_call,inbound,02/05/2020 15:52,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,,,True,fee_dispute,resolved,Fee query logged; customer will receive a reversal decision after statement review.
COMM-202005-000103,ACC0010374,IND19014496,phone_call,inbound,28/05/2020 11:57,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,,,True,fraud_concern,resolved,Card monitoring case opened and customer advised on dispute documents.
COMM-202005-000108,ACC0004732,IND19004385,branch_visit,inbound,05/05/2020 10:20,Statement copy request,Please send me a copy of my latest statement and confirm the closing balance used for the month-end calculation.,negative,,,True,statement_error,open,Statement extract queued for reconciliation review.
COMM-202005-000111,ACC0008158,IND19010986,app_message,inbound,2020-05-25T21:21:49+02:00,Balance check,Please confirm my available balance and whether any debit orders are still pending.,negative,,,True,digital_issue,open,Digital support case created with device and login details.
COMM-202005-000113,ACC0009216,IND19015579,branch_visit,inbound,26/05/2020 13:10,Card blocked at ATM,My card was blocked at the ATM and I need access restored or a replacement card arranged. I have an urgent payment to make.,negative,,,True,service_delay,resolved,Service timeline reviewed and customer updated on next action.
