payment_id,case_id,account_id,customer_id,payment_date,amount,payment_method,was_promise_kept,arrears_after_payment
REC-202303-00001,COLL-202303-00029,ACC0042694,IND2203008066,2023-04-05,3660.56,card,True,6273.47
REC-202303-00002,COLL-202303-00008,ACC0021434,IND2101009602,2023-03-19,877.4,cash_deposit,True,1226.83
REC-202303-00003,COLL-202303-00021,ACC0056600,IND2212012509,2023-03-03,119.45,debit_order,False,195.01
REC-202303-00004,COLL-202303-00034,ACC0039018,COM2201000138,2023-03-15,2586.92,card,False,7852.47
REC-202303-00005,COLL-202303-00022,ACC0008970,IND1906006621,2023-03-04,318.1,eft,False,481.83
REC-202303-00006,COLL-202303-00017,ACC0013163,IND1909009650,2023-04-02,689.66,card,True,2880.54
REC-202303-00007,COLL-202303-00002,ACC0012170,IND1908002223,2023-03-15,151.26,card,False,269.24
REC-202303-00008,COLL-202303-00001,ACC0006897,IND1904008709,2023-03-19,159.74,card,False,502.42
REC-202303-00009,COLL-202303-00006,ACC0038876,IND2201019927,2023-03-22,396.68,eft,True,502.69
REC-202303-00010,COLL-202303-00003,ACC0012170,IND1908002223,2023-03-09,126.01,cash_deposit,False,286.59
REC-202303-00011,COLL-202303-00031,ACC0022511,IND2101003969,2023-03-17,213.34,eft,False,501.69
REC-202303-00012,COLL-202303-00040,ACC0051780,IND2209010054,2023-03-08,557.04,eft,False,1235.97
REC-202303-00013,COLL-202303-00019,ACC0032373,IND2109012627,2023-03-30,649.04,cash_deposit,False,1907.17
REC-202303-00014,COLL-202303-00018,ACC0051780,IND2209010054,2023-03-26,364.7,debit_order,False,1270.42
REC-202303-00015,COLL-202303-00009,ACC0049509,IND2208019257,2023-03-10,1077.43,eft,False,1479.75
REC-202303-00016,COLL-202303-00005,ACC0034672,IND2111016534,2023-03-03,1099.02,card,False,1317.97
REC-202303-00017,COLL-202303-00039,ACC0053781,IND2210017288,2023-03-23,385.78,cash_deposit,False,222.34
REC-202303-00018,COLL-202303-00024,ACC0001683,IND1902010211,2023-03-28,939.27,eft,False,596.71
