response_id,campaign_id,customer_id,account_id,response_date,response_type,conversion_value_zar,channel_used,notes
RESP-202112-0000001,CAMP-2021-009,IND2112015487,ACC0036700,2021-12-09,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000002,CAMP-2021-009,IND2112013301,ACC0036777,2021-12-31,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000003,CAMP-2021-009,IND2112008994,ACC0036852,2021-12-21,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000004,CAMP-2021-009,IND2112010156,,2021-12-29,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000005,CAMP-2021-009,IND2112004995,ACC0036275,2021-12-28,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000006,CAMP-2021-009,IND2112002777,ACC0036524,2021-12-08,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000007,CAMP-2021-009,IND2112005538,ACC0036333,2021-12-20,opened,,sms,Customer opened or viewed the campaign message.
RESP-202112-0000008,CAMP-2021-009,IND2112015378,,2021-12-17,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000009,CAMP-2021-009,IND2112009122,,2021-12-26,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000010,CAMP-2021-009,IND2112013623,ACC0036387,2021-12-09,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000011,CAMP-2021-009,IND2112004470,ACC0036896,2021-12-11,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000012,CAMP-2021-009,IND2112015354,ACC0035895,2021-12-18,clicked,,sms,Customer clicked through to campaign landing page or product information.
RESP-202112-0000013,CAMP-2021-009,IND2112010151,ACC0036546,2021-12-23,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000014,CAMP-2021-009,IND2112011382,,2021-12-31,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000015,CAMP-2021-009,IND2112007721,,2021-12-10,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000016,CAMP-2021-009,IND2112009452,ACC0036937,2021-12-27,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000017,CAMP-2021-009,IND2112011155,ACC0036078,2021-12-28,opened,,sms,Customer opened or viewed the campaign message.
RESP-202112-0000018,CAMP-2021-009,IND2112014143,ACC0036765,2021-12-07,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000019,CAMP-2021-009,IND2112015015,ACC0036490,2021-12-03,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000020,CAMP-2021-009,IND2112005170,,2021-12-15,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000021,CAMP-2021-009,IND2112008515,ACC0036902,2021-12-30,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000022,CAMP-2021-009,IND2112012555,ACC0036787,2021-12-25,opened,,sms,Customer opened or viewed the campaign message.
RESP-202112-0000023,CAMP-2021-009,IND2112010726,ACC0036709,2021-12-20,opened,,sms,Customer opened or viewed the campaign message.
RESP-202112-0000024,CAMP-2021-009,IND2112003189,ACC0036401,2021-12-19,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000025,CAMP-2021-009,IND2112001217,ACC0035986,2021-12-29,opened,,sms,Customer opened or viewed the campaign message.
RESP-202112-0000026,CAMP-2021-009,IND2112013467,,2021-12-05,opened,,sms,Customer opened or viewed the campaign message.
RESP-202112-0000027,CAMP-2021-009,IND2112012206,,2021-12-04,opened,,sms,Customer opened or viewed the campaign message.
RESP-202112-0000028,CAMP-2021-009,IND2112007643,,2021-12-30,complained,,radio,"Customer complained about frequency, relevance or timing of marketing contact."
RESP-202112-0000029,CAMP-2021-009,IND2112006127,ACC0036391,2021-12-21,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000030,CAMP-2021-009,IND2112010797,,2021-12-30,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000031,CAMP-2021-009,IND2112006613,,2021-12-03,opened,,sms,Customer opened or viewed the campaign message.
RESP-202112-0000032,CAMP-2021-009,IND2112002670,,2021-12-09,complained,,radio,"Customer complained about frequency, relevance or timing of marketing contact."
RESP-202112-0000033,CAMP-2021-009,IND2112011328,ACC0035918,2021-12-11,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000034,CAMP-2021-009,IND2112008453,,2021-12-31,clicked,,sms,Customer clicked through to campaign landing page or product information.
RESP-202112-0000035,CAMP-2021-009,IND2112010313,ACC0036760,2021-12-05,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000036,CAMP-2021-009,IND2112011165,,2021-12-23,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000037,CAMP-2021-009,IND2112003788,ACC0035933,2021-12-21,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000038,CAMP-2021-009,IND2112015113,,2021-12-10,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000039,CAMP-2021-009,IND2112002363,ACC0035926,2021-12-29,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000040,CAMP-2021-009,IND2112000878,ACC0036238,2021-12-14,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000041,CAMP-2021-009,IND2112002472,ACC0036054,2021-12-21,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000042,CAMP-2021-009,IND2112005446,,2021-12-31,opened,,sms,Customer opened or viewed the campaign message.
RESP-202112-0000043,CAMP-2021-009,IND2112015533,ACC0036580,2021-12-17,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000044,CAMP-2021-009,IND2112008262,ACC0036733,2021-12-12,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000045,CAMP-2021-009,IND2112015084,ACC0036119,2021-12-19,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000046,CAMP-2021-009,IND2112007743,ACC0036072,2021-12-27,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000047,CAMP-2021-009,IND2112011576,ACC0036612,2021-12-25,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000048,CAMP-2021-009,IND2112007385,ACC0036498,2021-12-03,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000049,CAMP-2021-009,IND2112014924,ACC0036099,2021-12-22,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000050,CAMP-2021-009,IND2112014179,ACC0036260,2021-12-14,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000051,CAMP-2021-009,IND2112006239,ACC0036593,2021-12-10,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000052,CAMP-2021-009,IND2112013306,ACC0036335,2021-12-24,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000053,CAMP-2021-009,IND2112012873,,2021-12-24,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000054,CAMP-2021-009,IND2112006143,ACC0036886,2021-12-27,opened,,sms,Customer opened or viewed the campaign message.
RESP-202112-0000055,CAMP-2021-009,IND2112013489,ACC0036307,2021-12-12,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000056,CAMP-2021-009,IND2112001668,,2021-12-19,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000057,CAMP-2021-009,IND2112003347,ACC0035991,2021-12-11,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000058,CAMP-2021-009,IND2112000143,,2021-12-08,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000059,CAMP-2021-009,IND2112004150,ACC0036540,2021-12-11,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000060,CAMP-2021-009,IND2112014191,ACC0036406,2021-12-07,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000061,CAMP-2021-009,IND2112002408,ACC0036899,2021-12-28,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000062,CAMP-2021-009,IND2112004248,ACC0036347,2021-12-28,clicked,,sms,Customer clicked through to campaign landing page or product information.
RESP-202112-0000063,CAMP-2021-009,IND2112013795,ACC0036518,2021-12-08,opened,,sms,Customer opened or viewed the campaign message.
RESP-202112-0000064,CAMP-2021-009,IND2112007543,ACC0036686,2021-12-13,opened,,sms,Customer opened or viewed the campaign message.
RESP-202112-0000065,CAMP-2021-009,IND2112006086,ACC0036729,2021-12-13,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000066,CAMP-2021-009,IND2112009305,,2021-12-22,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000067,CAMP-2021-009,IND2112004485,ACC0036436,2021-12-31,clicked,,sms,Customer clicked through to campaign landing page or product information.
RESP-202112-0000068,CAMP-2021-009,IND2112003349,ACC0036885,2021-12-10,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000069,CAMP-2021-009,IND2112012673,ACC0036559,2021-12-24,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000070,CAMP-2021-009,IND2112001257,ACC0036622,2021-12-31,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000071,CAMP-2021-009,IND2112003498,ACC0036880,2021-12-14,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000072,CAMP-2021-009,IND2112007871,ACC0036342,2021-12-08,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000073,CAMP-2021-009,IND2112012863,ACC0036079,2021-12-13,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000074,CAMP-2021-009,IND2112001946,ACC0036193,2021-12-24,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000075,CAMP-2021-009,IND2112002452,ACC0036640,2021-12-10,clicked,,sms,Customer clicked through to campaign landing page or product information.
RESP-202112-0000076,CAMP-2021-009,IND2112015384,ACC0036188,2021-12-30,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000077,CAMP-2021-009,IND2112008284,ACC0036334,2021-12-31,opened,,sms,Customer opened or viewed the campaign message.
RESP-202112-0000078,CAMP-2021-009,IND2112001406,,2021-12-07,opened,,sms,Customer opened or viewed the campaign message.
RESP-202112-0000079,CAMP-2021-009,IND2112003786,ACC0036210,2021-12-17,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000080,CAMP-2021-009,IND2112001756,ACC0036815,2021-12-10,opened,,sms,Customer opened or viewed the campaign message.
RESP-202112-0000081,CAMP-2021-009,IND2112015471,ACC0036645,2021-12-18,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000082,CAMP-2021-009,IND2112005986,,2021-12-27,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000083,CAMP-2021-009,IND2112010430,ACC0036216,2021-12-18,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000084,CAMP-2021-009,IND2112002188,ACC0036471,2021-12-03,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000085,CAMP-2021-009,IND2112012450,ACC0036653,2021-12-30,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000086,CAMP-2021-009,IND2112015374,ACC0035963,2021-12-25,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000087,CAMP-2021-009,IND2112013096,ACC0035939,2021-12-15,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000088,CAMP-2021-009,IND2112015033,ACC0036508,2021-12-06,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202112-0000089,CAMP-2021-009,IND2112002084,,2021-12-21,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202112-0000090,CAMP-2021-009,IND2112001952,ACC0036590,2021-12-24,ignored,,sms,No direct action recorded after campaign exposure.
