payment_id,case_id,account_id,customer_id,payment_date,amount,payment_method,was_promise_kept,arrears_after_payment
REC-202109-00001,COLL-202109-00029,ACC0009213,IND1906000700,2021-09-26,131.19,card,False,450.43
REC-202109-00002,COLL-202109-00004,ACC0001800,IND1902010748,2021-09-01,84.08,eft,False,431.89
REC-202109-00003,COLL-202109-00038,ACC0002771,IND1902011631,2021-10-07,1398.66,debit_order,False,1838.71
REC-202109-00004,COLL-202109-00037,ACC0001281,IND1901007129,2021-09-27,273.44,debit_order,False,965.0
REC-202109-00005,COLL-202109-00011,ACC0006313,IND1904007722,2021-09-29,122.51,cash_deposit,False,85.67
REC-202109-00006,COLL-202109-00008,ACC0024081,IND2103005442,2021-09-16,108.17,eft,False,553.08
REC-202109-00007,COLL-202109-00013,ACC0024081,IND2103005442,2021-09-03,472.64,cash_deposit,False,336.59
REC-202109-00008,COLL-202109-00001,ACC0011078,IND1907012587,2021-10-09,1148.7,card,False,790.79
REC-202109-00009,COLL-202109-00033,ACC0009051,IND1906013867,2021-09-15,825.05,debit_order,True,782.92
REC-202109-00010,COLL-202109-00039,ACC0008873,IND1906003100,2021-09-11,268.32,cash_deposit,False,819.63
REC-202109-00011,COLL-202109-00006,ACC0023589,IND2102014259,2021-09-09,233.43,debit_order,False,415.33
REC-202109-00012,COLL-202109-00019,ACC0026201,IND2104020057,2021-10-06,491.96,debit_order,True,2288.14
REC-202109-00013,COLL-202109-00012,ACC0010368,IND1907006224,2021-09-08,1374.6,debit_order,False,1127.78
REC-202109-00014,COLL-202109-00015,ACC0015659,IND1911021142,2021-10-15,383.79,debit_order,False,788.7
REC-202109-00015,COLL-202109-00028,ACC0027009,COM2104000429,2021-09-03,15586.52,cash_deposit,False,10286.82
REC-202109-00016,COLL-202109-00014,ACC0029276,IND2106004171,2021-09-03,282.38,eft,False,700.31
