case_id,account_id,customer_id,arrears_amount,days_past_due,collection_stage,last_contact_date,last_contact_channel,promise_to_pay_amount,promise_to_pay_date,arrangement_plan,status,assigned_collector,notes
COLL-202510-00001,ACC0046264,IND22014150,898.09,41,early_collections,2025-10-25,app_message,160.81,2025-10-19,,resolved,David Govender,"Win-back customer relapsed — prior case closed, reopened after NSF debit order. Customer visited branch, paid R161 cash. Account now current."
COLL-202510-00002,ACC0046264,IND22014150,501.21,57,early_collections,2025-10-11,sms,230.69,2025-10-30,,open,Ayanda Mthembu,"Win-back customer relapsed — prior case closed, reopened after NSF debit order. COVID hardship relief applied. Payment holiday granted until June 2020."
COLL-202510-00003,ACC0005120,IND19018125,927.98,66,late_collections,2025-10-16,sms,241.09,2025-10-19,,open,Sipho Naidoo,"Former churned customer returned; new arrears flagged after failed debit order. Customer in Western Cape, low income band — hardship assessment required."
COLL-202510-00004,ACC0016113,IND19012711,4973.65,15,pre_delinquent,2025-10-11,branch_visit,,,,resolved,Johan Botha,New case opened from failed loan repayment and churned relationship status. Promise to pay recorded after outbound call. Follow-up scheduled.
COLL-202510-00005,ACC0000330,IND19007194,709.73,56,early_collections,2025-10-03,app_message,,,,resolved,Ayanda Mthembu,New case opened from failed loan repayment and churned relationship status. COVID hardship relief applied. Payment holiday granted until June 2020.
COLL-202510-00006,ACC0090610,IND24010051,1843.03,33,early_collections,2025-10-05,branch_visit,,,,closed,Johan Botha,New case opened from failed loan repayment and churned relationship status. Debit order returned NSF for third time. Recommend restructuring.
COLL-202510-00007,ACC0026707,IND21010019,531.96,112,legal,2025-10-31,email,104.32,2025-10-13,,resolved,Zanele Ndlovu,"New case opened from failed loan repayment and churned relationship status. Customer in Gauteng, low income band — hardship assessment required. Escalating to legal."
COLL-202510-00008,ACC0063676,IND23009242,4434.81,19,pre_delinquent,2025-10-21,letter,1240.57,2025-10-04,,resolved,Thabo Mokoena,New case opened from failed loan repayment and churned relationship status. Legal letter sent via registered post. Awaiting response before summons.
COLL-202510-00009,ACC0090591,IND24007542,3328.78,50,early_collections,2025-10-26,branch_visit,1685.94,2025-10-21,,open,David Govender,New case opened from failed loan repayment and churned relationship status. Debit order returned NSF for third time. Recommend restructuring.
COLL-202510-00010,ACC0085877,IND24009744,962.14,50,early_collections,2025-10-22,branch_visit,,,,resolved,Sipho Naidoo,New case opened from failed loan repayment and churned relationship status. Churned customer — no active transactional account; pursuing outstanding loan balance.
COLL-202510-00011,ACC0063244,IND23008478,955.66,307,write_off,2025-10-12,branch_visit,,,,resolved,Thabo Mokoena,New case opened from failed loan repayment and churned relationship status. Promise to pay recorded after outbound call. Follow-up scheduled.
COLL-202510-00012,ACC0043650,IND22007966,3594.52,84,late_collections,2025-10-21,branch_visit,,,,resolved,Fatima Patel,New case opened from failed loan repayment and churned relationship status. Settlement offer of R2 500 communicated; customer requested until month-end.
COLL-202510-00013,ACC0050912,IND22019407,591.59,78,late_collections,2025-10-30,sms,,,restructured,open,Nomsa Dlamini,New case opened from failed loan repayment and churned relationship status. COVID hardship relief applied. Payment holiday granted until June 2020. Arrangement: restructured.
COLL-202510-00014,ACC0010284,IND19006449,561.25,7,pre_delinquent,2025-10-21,phone_call,91.32,2025-10-25,,open,Sipho Naidoo,New case opened from failed loan repayment and churned relationship status. Churned customer — no active transactional account; pursuing outstanding loan balance.
COLL-202510-00015,ACC0061657,IND23002775,663.32,7,pre_delinquent,2025-10-24,sms,,,,closed,Zanele Ndlovu,"New case opened from failed loan repayment and churned relationship status. Customer called, says employer missed payroll. Promised R750 by month-end."
COLL-202510-00016,ACC0057646,IND23008635,795.86,85,late_collections,2025-10-18,sms,,,,open,Thabo Mokoena,New case opened from failed loan repayment and churned relationship status. COVID hardship relief applied. Payment holiday granted until June 2020.
COLL-202510-00017,ACC0086396,IND24003059,1586.69,74,late_collections,2025-10-29,sms,313.80,2025-10-28,,open,Lerato Khumalo,New case opened from failed loan repayment and churned relationship status. Promise to pay recorded after outbound call. Follow-up scheduled.
COLL-202510-00018,ACC0069275,COM23000342,6080.02,73,late_collections,2025-10-22,sms,1435.12,2025-10-27,,open,Zanele Ndlovu,New case opened from failed loan repayment and churned relationship status. Arrangement agreed: R1 435/month for 6 months starting 27 December.
COLL-202510-00019,ACC0103946,IND25003059,3196.56,85,late_collections,2025-10-26,phone_call,695.28,2025-11-02,,closed,Fatima Patel,New case opened from failed loan repayment and churned relationship status. COVID hardship relief applied. Payment holiday granted until June 2020.
COLL-202510-00020,ACC0047305,IND22008981,1589.52,108,legal,2025-10-17,phone_call,,,,open,Lerato Khumalo,New case opened from failed loan repayment and churned relationship status. Promise to pay recorded after outbound call. Follow-up scheduled. Escalating to legal.
COLL-202510-00021,ACC0053337,IND22013206,2780.81,27,pre_delinquent,2025-10-21,branch_visit,1438.35,2025-10-19,,open,Pieter van der Merwe,New case opened from failed loan repayment and churned relationship status. Arrangement agreed: R1 438/month for 6 months starting 12 July.
COLL-202510-00022,ACC0075119,IND23004316,2980.7,54,early_collections,2025-10-30,email,,,,resolved,Zanele Ndlovu,New case opened from failed loan repayment and churned relationship status. Former churned customer returned; new arrears flagged after failed debit order.
COLL-202510-00023,ACC0049068,IND22019647,3790.99,64,late_collections,2025-10-07,app_message,,,,resolved,David Govender,New case opened from failed loan repayment and churned relationship status. Legal letter sent via registered post. Awaiting response before summons.
COLL-202510-00024,ACC0022998,IND21008604,304.13,45,early_collections,2025-10-17,letter,64.83,2025-10-12,,open,Johan Botha,New case opened from failed loan repayment and churned relationship status. Arrangement agreed: R65/month for 6 months starting 7 February.
COLL-202510-00025,ACC0063271,IND23012990,968.76,59,early_collections,2025-10-27,sms,,,,open,David Govender,"New case opened from failed loan repayment and churned relationship status. Customer called, says employer missed payroll. Promised R1 200 by month-end."
COLL-202510-00026,ACC0047671,IND22019764,2378.05,7,pre_delinquent,2025-10-05,email,,,,open,Lerato Khumalo,New case opened from failed loan repayment and churned relationship status. Settlement offer of R1 500 communicated; customer requested until month-end.
COLL-202510-00027,ACC0006562,IND19004995,2321.49,102,legal,2025-10-10,branch_visit,976.97,2025-11-01,,resolved,Thabo Mokoena,New case opened from failed loan repayment and churned relationship status. COVID hardship relief applied. Payment holiday granted until June 2020. Escalating to legal.
COLL-202510-00028,ACC0056282,IND22024625,490.9,88,late_collections,2025-10-07,phone_call,,,,closed,Sipho Naidoo,"New case opened from failed loan repayment and churned relationship status. Customer in Gauteng, low income band — hardship assessment required."
COLL-202510-00029,ACC0038078,IND22018434,725.1,26,pre_delinquent,2025-10-11,sms,151.91,2025-10-25,,resolved,Zanele Ndlovu,"New case opened from failed loan repayment and churned relationship status. Customer called, says employer missed payroll. Promised R152 by month-end."
COLL-202510-00030,ACC0006046,IND19008170,967.35,82,late_collections,2025-10-25,app_message,,,payment_holiday,open,David Govender,"New case opened from failed loan repayment and churned relationship status. Customer visited branch, paid R1 200 cash. Account now current. Arrangement: payment holiday."
COLL-202510-00031,ACC0078618,IND23012525,1637.05,19,pre_delinquent,2025-10-05,sms,583.57,2025-10-23,,resolved,Johan Botha,New case opened from failed loan repayment and churned relationship status. Settlement offer of R584 communicated; customer requested until month-end.
COLL-202510-00032,ACC0007127,IND19007655,1708.82,6,pre_delinquent,2025-10-10,email,,,,resolved,Fatima Patel,"New case opened from failed loan repayment and churned relationship status. Customer called, says employer missed payroll. Promised R350 by month-end."
COLL-202510-00033,ACC0096522,IND24000942,3855.25,116,legal,2025-10-17,email,1085.40,2025-10-17,,resolved,Ayanda Mthembu,New case opened from failed loan repayment and churned relationship status. Legal letter sent via registered post. Awaiting response before summons.
COLL-202510-00034,ACC0009389,IND19017085,3228.54,104,legal,2025-10-29,phone_call,,,,open,Johan Botha,New case opened from failed loan repayment and churned relationship status. Arrangement agreed: R1 200/month for 6 months starting 10 August. Escalating to legal.
COLL-202510-00035,ACC0112436,IND25021104,4716.6,24,pre_delinquent,2025-10-02,sms,,,,open,Sipho Naidoo,"New case opened from failed loan repayment and churned relationship status. Customer called, says employer missed payroll. Promised R1 500 by month-end."
COLL-202510-00036,ACC0001164,IND19004303,200.0,21,pre_delinquent,2025-10-11,email,49.90,2025-10-23,,resolved,Johan Botha,New case opened from failed loan repayment and churned relationship status. Debit order returned NSF for third time. Recommend restructuring.
COLL-202510-00037,ACC0078680,IND23009274,306.08,60,early_collections,2025-10-19,sms,103.44,2025-10-31,,open,Lerato Khumalo,New case opened from failed loan repayment and churned relationship status. Settlement offer of R103 communicated; customer requested until month-end.
COLL-202510-00038,ACC0102687,IND25005603,673.24,21,pre_delinquent,2025-10-22,email,,,,open,Pieter van der Merwe,"New case opened from failed loan repayment and churned relationship status. Customer in Gauteng, low income band — hardship assessment required."
COLL-202510-00039,ACC0095838,IND24014550,1329.17,3,pre_delinquent,2025-10-13,sms,,,,open,Zanele Ndlovu,Debit order returned NSF for third time. Recommend restructuring.
COLL-202510-00040,ACC0093016,IND24007447,1834.09,1,pre_delinquent,2025-10-18,letter,409.41,2025-11-11,,resolved,Sipho Naidoo,"Customer visited branch, paid R409 cash. Account now current."
COLL-202510-00041,ACC0024973,IND21000786,1670.87,6,pre_delinquent,2025-10-30,letter,,,,open,Fatima Patel,"Customer in Gauteng, low income band — hardship assessment required."
COLL-202510-00042,ACC0058792,IND23008591,3764.73,48,early_collections,2025-10-12,sms,1991.67,2025-10-11,,open,Johan Botha,"Customer called, says employer missed payroll. Promised R1 992 by month-end."
COLL-202510-00043,ACC0056394,IND22018034,276.87,27,pre_delinquent,2025-10-25,sms,,,,open,David Govender,"Customer called, says employer missed payroll. Promised R350 by month-end."
COLL-202510-00044,ACC0078533,IND23001857,1113.29,50,early_collections,2025-10-04,phone_call,,,restructured,open,Lerato Khumalo,"Customer in Western Cape, low income band — hardship assessment required. Arrangement: restructured."
COLL-202510-00045,ACC0044646,IND22018171,8491.17,53,early_collections,2025-10-27,letter,,,,open,Lerato Khumalo,"Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202510-00046,ACC0023319,IND21007093,1259.27,84,late_collections,2025-10-08,branch_visit,,,,open,Lerato Khumalo,"Customer called, says employer missed payroll. Promised R1 500 by month-end."
COLL-202510-00047,ACC0088945,IND24006309,2058.47,90,late_collections,2025-10-08,letter,1078.18,2025-10-31,,open,Zanele Ndlovu,"Customer called, says employer missed payroll. Promised R1 078 by month-end."
COLL-202510-00048,ACC0078955,IND23014116,3774.31,58,early_collections,2025-10-27,email,,,,open,David Govender,Churned customer — no active transactional account; pursuing outstanding loan balance.
COLL-202510-00049,ACC0068425,IND23000068,8010.05,20,pre_delinquent,2025-10-07,phone_call,,,,closed,Pieter van der Merwe,"Customer called, says employer missed payroll. Promised R2 500 by month-end."
COLL-202510-00050,ACC0061706,IND23011751,1576.47,26,pre_delinquent,2025-10-22,branch_visit,,,,closed,Lerato Khumalo,"Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202510-00051,ACC0030179,IND21010066,1935.92,21,pre_delinquent,2025-10-04,letter,,,,open,Pieter van der Merwe,Settlement offer of R2 500 communicated; customer requested until month-end.
COLL-202510-00052,ACC0044739,IND22017666,568.56,84,late_collections,2025-10-20,sms,95.24,2025-11-03,,resolved,Nomsa Dlamini,"Customer in KwaZulu-Natal, low income band — hardship assessment required."
COLL-202510-00053,ACC0044646,IND22018171,8307.06,109,legal,2025-10-09,sms,,,,open,Pieter van der Merwe,Debit order returned NSF for third time. Recommend restructuring. Escalating to legal.
COLL-202510-00054,ACC0046175,IND22001636,3668.49,50,early_collections,2025-10-30,phone_call,,,,open,Lerato Khumalo,Arrangement agreed: R350/month for 6 months starting 15 October.
COLL-202510-00055,ACC0024370,IND21008046,1331.15,170,write_off,2025-10-24,branch_visit,,,,closed,Lerato Khumalo,Former churned customer returned; new arrears flagged after failed debit order.
COLL-202510-00056,ACC0021296,IND20003624,827.38,62,late_collections,2025-10-12,branch_visit,167.44,2025-10-12,,open,Nomsa Dlamini,COVID hardship relief applied. Payment holiday granted until June 2020.
COLL-202510-00057,ACC0033015,IND21011290,2438.37,55,early_collections,2025-10-09,app_message,,,,open,David Govender,Debit order returned NSF for third time. Recommend restructuring.
COLL-202510-00058,ACC0022985,IND21007848,1316.5,75,late_collections,2025-10-12,app_message,,,,open,Sipho Naidoo,COVID hardship relief applied. Payment holiday granted until June 2020.
COLL-202510-00059,ACC0067372,IND23009856,6724.88,9,pre_delinquent,2025-10-10,email,,,,resolved,Lerato Khumalo,COVID hardship relief applied. Payment holiday granted until June 2020.
