transaction_id,account_id,customer_id,loan_id,debit_order_id,installment_number,transaction_date,transaction_time,amount,debit_credit,status,failure_reason,description,immediate_payment,receiving_account,transaction_cost,ewallet_number,channel,loan_type,payment_type,is_recovery_attempt,source_system,has_data_error,data_error_types
TXNL202100000001,ACC0001282,IND19007129,LN2019010000002,,35,2021-12-14,04:02:28,1592.74,Debit,Completed,,Loan Payment - LN2019010000002,False,,2.5,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000002,ACC0000071,IND19001466,LN2019010000009,,35,2021-12-31,03:18:30,2024.12,Debit,Completed,,Loan Payment - LN2019010000009,False,,2.5,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000003,ACC0001490,IND19011784,LN2019010000010,LDO20210000001,35,2021-12-23,02:47:06,2454.22,Debit,Cancelled,customer_stop_instruction,Loan Payment - LN2019010000010,False,,0.33,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000004,ACC0000278,IND19005139,LN2019010000015,LDO20210000002,35,2021-12-29,04:29:07,2472.86,Debit,Completed,,Loan Payment - LN2019010000015,False,,0.1,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000005,ACC0000597,IND19000749,LN2019010000017,LDO20210000001,35,2021-12-22,03:33:21,1458.14,Debit,Completed,,Loan Payment - LN2019010000017,False,,0.88,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000006,ACC0000731,IND19012784,LN2019010000018,LDO20210000002,35,2021-12-30,02:15:29,4603.72,Debit,Completed,,Loan Payment - LN2019010000018,False,,1.39,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000007,ACC0000999,IND19000704,LN2019010000021,LDO20210000003,35,2021-12-30,03:30:18,1106.27,Debit,Completed,,Loan Payment - LN2019010000021,False,,1.08,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000008,ACC0000362,IND19010400,LN2019010000034,LDO20210000004,35,2021-12-20,02:12:48,1585.16,Debit,Completed,,Loan Payment - LN2019010000034,False,,0.04,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000009,ACC0000761,IND19003341,LN2019010000037,LDO20210000005,34,2021-12-10,04:41:23,1929.69,Debit,Completed,,Loan Payment - LN2019010000037,False,,0.8,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000010,ACC0000661,IND19013332,LN2019010000040,LDO20210000006,35,2021-12-25,02:11:57,3565.48,Debit,Completed,,Loan Payment - LN2019010000040,False,,0.55,,Automated,Personal Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000011,ACC0000361,IND19010400,LN2019010000048,LDO20210000001,35,2021-12-30,03:25:49,990.52,Debit,Failed,mandate_limit,Loan Payment - LN2019010000048,False,,1.26,,Automated,Personal Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000012,ACC0000305,IND19009608,LN2019010000064,LDO20210000007,35,2021-12-15,04:53:44,2594.15,Debit,Completed,,Loan Payment - LN2019010000064,False,,0.85,,Automated,Personal Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000013,ACC0000093,IND19006568,LN2019010000071,LDO20210000002,35,2021-12-13,03:59:35,1850.78,Debit,Completed,,Loan Payment - LN2019010000071,False,,0.69,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000014,ACC0000412,IND19013952,LN2019010000075,LDO20210000003,35,2021-12-31,02:27:20,3629.72,Debit,Completed,,Loan Payment - LN2019010000075,False,,0.15,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000015,ACC0000227,IND19010979,LN2019010000078,LDO20210000004,35,2021-12-13,03:10:50,686.25,Debit,Completed,,Loan Payment - LN2019010000078,False,,0.2,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000016,ACC0000895,IND19014589,LN2019010000089,LDO20210000008,35,2021-12-31,04:21:34,1496.91,Debit,Failed,insufficient_funds,Loan Payment - LN2019010000089,False,,0.06,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000017,ACC0001439,IND19009694,LN2019010000095,LDO20210000010,35,2021-12-18,04:37:47,1282.64,Debit,Completed,,Loan Payment - LN2019010000095 - Late Fee,False,,1.93,,Automated,Vehicle Loan,late_payment,False,loan_payment_generator,False,
TXNL202100000018,ACC0000263,IND19010479,LN2019010000097,LDO20210000011,35,2021-12-14,02:00:26,5630.01,Debit,Completed,,Loan Payment - LN2019010000097,False,,1.86,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000019,ACC0000410,IND19006375,LN2019010000101,LDO20210000006,35,2021-12-22,03:22:34,907.14,Debit,Completed,,Loan Payment - LN2019010000101,False,,1.02,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000020,ACC0000187,IND19005404,LN2019010000103,LDO20210000012,35,2021-12-29,03:11:50,1397.88,Debit,Completed,,Loan Payment - LN2019010000103,False,,1.03,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000021,ACC0000901,IND19009242,LN2019010000104,LDO20210000001,35,2021-12-28,04:20:04,2070.51,Debit,Completed,,Loan Payment - LN2019010000104,False,,0.75,,Automated,Personal Loan,standard_payment,False,loan_payment_generator,False,
