suggestion_id,account_id,customer_id,channel,timestamp,suggestion_text,category,status
SUG-202406-00001,ACC0070462,IND2307016963,branch_visit,16/06/2024 11:20,Please add a simple way to see pending debit orders before month end.,digital_features,submitted
SUG-202406-00002,ACC0038779,IND2201019410,social_media,2024/06/14 20:13:14,Please add better card freeze and unfreeze controls in the app.,digital_features,submitted
SUG-202406-00003,ACC0007173,IND1905005976,email,2024-06-23 11:18:30,Please offer a small savings pocket linked to loan repayments.,product_idea,reviewed
SUG-202406-00004,ACC0012765,IND1908002451,social_media,2024/06/20 21:51:44,Please show bank charges before the customer confirms a payment.,fees,submitted
SUG-202406-00005,ACC0085859,IND2404001608,phone_call,04/06/2024 12:06,Please allow customers to book branch appointments from the app.,branch_service,submitted
SUG-202406-00006,ACC0006857,IND1904010255,whatsapp,04-Jun-2024 14:46,Please show bank charges before the customer confirms a payment.,fees,submitted
SUG-202406-00007,ACC0064091,IND2304023773,app_message,2024-06-13T10:45:10+02:00,Please offer a small savings pocket linked to loan repayments.,product_idea,reviewed
SUG-202406-00008,ACC0025591,IND2104015219,email,2024-06-06 11:24:54,Please send clearer notifications when account details change.,other,submitted
SUG-202406-00009,ACC0078919,IND2312013215,app_message,2024-06-05T10:31:52+02:00,Please allow customers to book branch appointments from the app.,branch_service,reviewed
SUG-202406-00010,ACC0004125,IND1903014196,social_media,2024/06/29 08:50:48,Please offer a small savings pocket linked to loan repayments.,product_idea,submitted
SUG-202406-00011,ACC0071288,IND2308011002,app_message,2024-06-06T16:10:29+02:00,Please add a simple way to see pending debit orders before month end.,digital_features,reviewed
SUG-202406-00012,ACC0071594,IND2308012453,social_media,2024/06/06 11:21:20,Please offer a small savings pocket linked to loan repayments.,product_idea,submitted
SUG-202406-00013,ACC0053721,IND2210018995,email,2024-06-22 12:24:01,Please add better card freeze and unfreeze controls in the app.,digital_features,submitted
SUG-202406-00014,ACC0042767,IND2203000043,email,2024-06-01 12:55:29,It would be useful to have a low-cost account for family remittances.,product_idea,reviewed
SUG-202406-00015,ACC0006043,IND1904012474,app_message,2024-06-06T08:34:56+02:00,Please add a simple way to see pending debit orders before month end.,digital_features,reviewed
