payment_id,case_id,account_id,customer_id,payment_date,amount,payment_method,was_promise_kept,arrears_after_payment
REC-202408-00001,COLL-202408-00014,ACC0010314,IND19001557,2024-08-27,530.11,card,False,1312.19
REC-202408-00002,COLL-202408-00035,ACC0086658,COM24000010,2024-08-23,1267.68,card,False,7520.14
REC-202408-00003,COLL-202408-00007,ACC0007180,IND19006123,2024-08-26,367.56,eft,False,465.29
REC-202408-00004,COLL-202408-00025,ACC0068378,IND23000814,2024-08-17,1002.50,eft,False,931.97
REC-202408-00005,COLL-202408-00006,ACC0032324,IND21009890,2024-09-06,443.53,eft,True,1566.41
REC-202408-00006,COLL-202408-00011,ACC0036802,IND21001365,2024-08-24,1672.06,card,False,1439.68
REC-202408-00007,COLL-202408-00016,ACC0055797,IND22014437,2024-08-04,461.93,cash_deposit,False,1026.86
REC-202408-00008,COLL-202408-00005,ACC0007009,IND19002813,2024-09-10,1100.48,debit_order,True,3140.99
REC-202408-00009,COLL-202408-00003,ACC0035255,IND21011487,2024-08-16,744.03,card,True,2315.30
REC-202408-00010,COLL-202408-00017,ACC0042868,IND22004648,2024-09-06,270.46,cash_deposit,True,1219.84
REC-202408-00011,COLL-202408-00030,ACC0025376,IND21009108,2024-09-02,174.31,card,True,659.84
REC-202408-00012,COLL-202408-00002,ACC0023833,IND21011712,2024-08-07,229.97,debit_order,False,436.71
REC-202408-00013,COLL-202408-00015,ACC0025453,IND21011204,2024-08-06,544.24,card,False,3346.12
REC-202408-00014,COLL-202408-00032,ACC0081594,IND24006605,2024-09-20,1492.26,eft,False,1467.24
