comm_id,account_id,customer_id,channel,direction,timestamp,subject,body,sentiment,is_complaint,complaint_category,resolution_status,resolution_notes
COMM-201902-000001,ACC0001779,IND19003451,branch_visit,inbound,03/02/2019 11:30,Branch appointment request,I would like to book time at the branch to sort out my account and get printed documents for my records.,negative,True,fraud_concern,open,Card monitoring case opened and customer advised on dispute documents.
COMM-201902-000003,ACC0003323,IND19018244,branch_visit,inbound,13/02/2019 09:15,Cash deposit issue,I made a cash deposit but the amount is not showing correctly. Please investigate the branch or ATM record.,negative,True,incorrect_charge,resolved,Charge sent to finance controls for validation against tariff table.
COMM-201902-000007,ACC0001069,IND19001364,phone_call,inbound,28/02/2019 10:09,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date.,negative,True,failed_transaction,open,"Payment operations checking debit-order status, retry timing and available balance."
COMM-201902-000009,ACC0003323,IND19018244,branch_visit,inbound,22/02/2019 14:20,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,fee_dispute,open,Fee query logged; customer will receive a reversal decision after statement review.
COMM-201902-000012,ACC0003301,IND19004365,phone_call,inbound,25/02/2019 08:08,Why did my debit order fail?,"Hi there, My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,service_delay,resolved,Service timeline reviewed and customer updated on next action.
COMM-201902-000019,ACC0001648,COM19000454,branch_visit,inbound,03/02/2019 08:20,Complaint about service,The service delay is frustrating. I have followed up more than once and still do not have a proper answer.,negative,True,digital_issue,escalted,Digital support case created with device and login details.
COMM-201902-000024,ACC0000774,IND19000369,branch_visit,inbound,12/02/2019 09:05,Statement copy request,Please send me a copy of my latest statement and confirm the closing balance used for the month-end calculation.,negative,True,other,open,Customer care team reviewing the account history.
COMM-201902-000034,ACC0002245,IND19008952,branch_visit,inbound,12/02/2019 13:50,Cash deposit issue,I made a cash deposit but the amount is not showing correctly. Please investigate the branch or ATM record.,negative,True,digital_issue,resolved,Digital support case created with device and login details.
COMM-201902-000036,ACC0002143,IND19005314,branch_visit,inbound,07/02/2019 14:50,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,other,resolved,Customer care team reviewing the account history.
COMM-201902-000038,ACC0000924,IND19004644,branch_visit,inbound,21/02/2019 10:20,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,statement_error,resolved,Statement extract queued for reconciliation review.
