payment_id,case_id,account_id,customer_id,payment_date,amount,payment_method,was_promise_kept,arrears_after_payment
REC-202012-00001,COLL-202012-00017,ACC0006933,IND19004476,2020-12-16,1965.37,card,False,5756.49
REC-202012-00002,COLL-202012-00030,ACC0016452,IND19004664,2021-01-09,1394.04,cash_deposit,False,833.59
REC-202012-00003,COLL-202012-00014,ACC0020692,COM20000071,2020-12-02,6025.04,eft,False,4920.34
REC-202012-00004,COLL-202012-00007,ACC0021000,IND20000525,2020-12-12,587.34,eft,True,2823.58
REC-202012-00005,COLL-202012-00025,ACC0016257,IND19002620,2021-01-04,368.15,debit_order,False,326.70
REC-202012-00006,COLL-202012-00009,ACC0010787,IND19007728,2020-12-29,216.60,card,False,832.95
REC-202012-00007,COLL-202012-00015,ACC0011570,IND19008030,2020-12-01,8202.88,debit_order,False,7933.78
REC-202012-00008,COLL-202012-00001,ACC0006066,IND19000926,2020-12-11,2386.35,cash_deposit,True,2295.41
REC-202012-00009,COLL-202012-00026,ACC0018237,IND19002780,2020-12-18,2196.09,card,False,1839.81
REC-202012-00010,COLL-202012-00031,ACC0006338,IND19003909,2020-12-07,888.57,debit_order,False,544.41
REC-202012-00011,COLL-202012-00019,ACC0006155,IND19014676,2020-12-21,2355.13,cash_deposit,True,3253.52
REC-202012-00012,COLL-202012-00013,ACC0018084,IND19002754,2020-12-06,274.03,eft,False,518.28
REC-202012-00013,COLL-202012-00011,ACC0002601,IND19015358,2020-12-03,815.73,eft,False,475.86
