transaction_id,account_id,customer_id,loan_id,debit_order_id,installment_number,transaction_date,transaction_time,amount,debit_credit,status,failure_reason,description,immediate_payment,receiving_account,transaction_cost,ewallet_number,channel,loan_type,payment_type,is_recovery_attempt,source_system,has_data_error,data_error_types
TXNL202200000001,ACC0001282,IND19007129,LN2019010000002,LDO20220000001,37,2022-02-14,04:40:48,1672.38,Debit,Completed,,Loan Payment - LN2019010000002 - Late Fee,False,,0.78,,Automated,Home Loan,late_payment,False,loan_payment_generator,False,
TXNL202200000002,ACC0000071,IND19001466,LN2019010000009,LDO20220000002,37,2022-02-28,04:56:08,2024.12,Debit,Completed,,Loan Payment - LN2019010000009,False,,1.9,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202200000003,ACC0001490,IND19011784,LN2019010000010,LDO20220000003,37,2022-02-23,03:27:08,3201.38,Debit,Completed,,Loan Payment - LN2019010000010 - Extra Principal,False,,0.23,,Automated,Home Loan,extra_payment,False,loan_payment_generator,False,
TXNL202200000004,ACC0000278,IND19005139,LN2019010000015,LDO20220000004,37,2022-02-28,03:02:16,2596.5,Debit,Completed,,Loan Payment - LN2019010000015 - Late Fee,False,,1.29,,Automated,Vehicle Loan,late_payment,False,loan_payment_generator,False,
TXNL202200000005,ACC0000597,IND19000749,LN2019010000017,LDO20220000001,37,2022-02-22,04:53:28,1458.14,Debit,Completed,,Loan Payment - LN2019010000017,False,,0.65,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202200000006,ACC0000731,IND19012784,LN2019010000018,LDO20220000002,37,2022-02-28,04:04:29,4603.72,Debit,Completed,,Loan Payment - LN2019010000018,False,,1.28,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202200000007,ACC0000999,IND19000704,LN2019010000021,LDO20220000005,37,2022-02-28,03:45:34,1161.58,Debit,Completed,,Loan Payment - LN2019010000021 - Late Fee,False,,0.84,,Automated,Home Loan,late_payment,False,loan_payment_generator,False,
TXNL202200000008,ACC0000362,IND19010400,LN2019010000034,LDO20220000003,37,2022-02-20,02:13:38,1585.16,Debit,Completed,,Loan Payment - LN2019010000034,False,,1.68,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202200000009,ACC0000761,IND19003341,LN2019010000037,LDO20220000004,36,2022-02-10,02:06:49,1929.69,Debit,Completed,,Loan Payment - LN2019010000037,False,,1.79,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202200000010,ACC0000305,IND19009608,LN2019010000064,LDO20220000006,37,2022-02-15,03:19:01,2594.15,Debit,Completed,,Loan Payment - LN2019010000064,False,,1.19,,Automated,Personal Loan,standard_payment,False,loan_payment_generator,False,
TXNL202200000011,ACC0000093,IND19006568,LN2019010000071,LDO20220000005,37,2022-02-13,03:41:09,1850.78,Debit,Completed,,Loan Payment - LN2019010000071,False,,0.14,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202200000012,ACC0000412,IND19013952,LN2019010000075,LDO20220000007,37,2022-02-28,02:54:24,3629.72,Debit,Completed,,Loan Payment - LN2019010000075,False,,1.07,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
TXNL202200000013,ACC0000227,IND19010979,LN2019010000078,LDO20220000008,37,2022-02-13,03:50:23,686.25,Debit,Completed,,Loan Payment - LN2019010000078,False,,1.49,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
TXNL202200000014,ACC0001439,IND19009694,LN2019010000095,,37,2022-02-18,04:59:29,1221.56,Debit,Completed,,Loan Payment - LN2019010000095,False,,2.5,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
TXNL202200000015,ACC0000263,IND19010479,LN2019010000097,,37,2022-02-14,03:16:58,5630.01,Debit,Completed,,Loan Payment - LN2019010000097,False,,2.5,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202200000016,ACC0000410,IND19006375,LN2019010000101,LDO20220000011,37,2022-02-22,04:47:40,907.14,Debit,Completed,,Loan Payment - LN2019010000101,False,,1.67,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202200000017,ACC0000187,IND19005404,LN2019010000103,LDO20220000012,37,2022-02-28,04:09:53,1397.88,Debit,Failed,account_blocked,Loan Payment - LN2019010000103,False,,1.01,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202200000018,ACC0000901,IND19009242,LN2019010000104,LDO20220000013,37,2022-02-28,04:09:42,2070.51,Debit,Completed,,Loan Payment - LN2019010000104,False,,1.81,,Automated,Personal Loan,standard_payment,False,loan_payment_generator,False,
TXNL202200000019,ACC0000365,IND19005374,LN2019010000112,LDO20220000014,37,2022-02-20,04:02:53,9497.71,Debit,Completed,,Loan Payment - LN2019010000112,False,,1.81,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202200000020,ACC0000066,IND19000708,LN2019010000114,LDO20220000015,37,2022-02-24,04:00:20,3062.01,Debit,Completed,,Loan Payment - LN2019010000114,False,,1.36,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
TXNL202200000021,ACC0000041,IND19003405,LN2019010000118,LDO20220000016,37,2022-02-11,04:16:09,1317.23,Debit,Completed,,Loan Payment - LN2019010000118,False,,0.33,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
TXNL202200000022,ACC0000146,IND19003418,LN2019010000122,LDO20220000017,36,2022-02-04,02:55:42,1173.8,Debit,Completed,,Loan Payment - LN2019010000122,False,,0.6,,Automated,Personal Loan,standard_payment,False,loan_payment_generator,False,
TXNL202200000023,ACC0000812,IND19000596,LN2019010000123,LDO20220000018,36,2022-02-08,04:26:39,3065.36,Debit,Completed,,Loan Payment - LN2019010000123,False,,1.3,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202200000024,ACC0000726,IND19012497,LN2019010000124,LDO20220000019,37,2022-02-13,04:03:26,371.99,Debit,Completed,,Loan Payment - LN2019010000124,False,,0.55,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202200000025,ACC0000959,IND19007081,LN2019010000129,LDO20220000020,37,2022-02-14,03:58:50,1082.28,Debit,Completed,,Loan Payment - LN2019010000129,False,,1.29,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
