comm_id,account_id,customer_id,channel,direction,timestamp,subject,body,sentiment,is_complaint,complaint_category
COMM-202301-000001,ACC0036926,IND2112001395,sms,outbound,2023-01-31T14:29:45+02:00,Branch holiday hours,Please note adjusted branch hours this month. Digital channels remain available for balance checks and transfers.,negative,False,
COMM-202301-000002,ACC0012782,IND1908006349,branch_visit,inbound,28/01/2023 10:00,Complaint about service,The service delay is frustrating. I have followed up more than once and still do not have a proper answer.,neutral,False,
COMM-202301-000003,ACC0033976,IND2110008183,phone_call,inbound,08/01/2023 18:46,Branch appointment request,I would like to book time at the branch to sort out my account and get printed documents for my records.,neutral,False,
COMM-202301-000004,ACC0037951,IND2201015289,app_message,outbound,2023-01-22T09:31:28+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,False,
COMM-202301-000005,ACC0031623,IND2108004052,app_message,inbound,2023-01-27T12:48:01+02:00,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Banking analytics agenda: five signals to watch this month' and wanted to check how it affects my account.,neutral,False,
COMM-202301-000006,ACC0016050,IND1911014779,email,inbound,2023-01-28 08:56:03,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect. This also seems connected to SARB raises repo rate to 7.25%; prime at 11.75%.,negative,True,statement_error
COMM-202301-000007,ACC0042322,IND2203015497,sms,outbound,2023-01-06T19:15:01+02:00,Your loan repayment failed due to insufficient funds,Your scheduled loan repayment was not successful. Please fund your account or contact us to discuss payment options.,negative,True,digital_issue
COMM-202301-000008,ACC0055089,IND2211020758,social_media,inbound,2023/01/03 16:32:08,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,fee_dispute
COMM-202301-000009,ACC0047405,COM2206000385,email,inbound,2023-01-16 16:39:04,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,statement_error
COMM-202301-000010,ACC0045587,IND2205012072,sms,outbound,2023-01-15T02:55:40+02:00,Your loan repayment failed due to insufficient funds,Your scheduled loan repayment was not successful. Please fund your account or contact us to discuss payment options.,negative,True,fee_dispute
COMM-202301-000011,ACC0051326,IND2209010428,phone_call,inbound,25/01/2023 15:39,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date.,negative,True,failed_transaction
COMM-202301-000012,ACC0014444,IND1910003062,sms,outbound,2023-01-05T08:49:29+02:00,Suspicious transaction alert,We detected activity that may require confirmation. Please reply or contact the bank if this transaction was not yours.,neutral,False,
COMM-202301-000013,ACC0013155,IND1909015963,phone_call,inbound,30/01/2023 09:52,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,statement_error
COMM-202301-000014,ACC0013854,IND1909007307,social_media,inbound,2023/01/12 08:25:53,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,negative,True,failed_transaction
COMM-202301-000015,ACC0020185,IND2007002974,sms,outbound,2023-01-30T11:05:38+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",negative,True,fee_dispute
COMM-202301-000016,ACC0034956,IND2111018151,sms,outbound,2023-01-30T03:46:18+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",negative,True,failed_transaction
COMM-202301-000017,ACC0037633,IND2201005068,email,inbound,2023-01-18 15:44:48,Statement copy request,Please send me a copy of my latest statement and confirm the closing balance used for the month-end calculation.,neutral,False,
COMM-202301-000018,ACC0045827,IND2205018882,phone_call,inbound,18/01/2023 07:49,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date.,neutral,False,
COMM-202301-000019,ACC0023938,IND2102013326,app_message,outbound,2023-01-16T17:05:36+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",negative,False,
COMM-202301-000020,ACC0049234,COM2207000199,email,inbound,2023-01-30 18:28:21,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Operational resilience returns to the agenda after payment interruptions' and wanted to check how it affects my account.,negative,True,fee_dispute
COMM-202301-000021,ACC0004191,IND1903015053,sms,outbound,2023-01-07T13:04:00+02:00,Branch holiday hours,Please note adjusted branch hours this month. Digital channels remain available for balance checks and transfers.,negative,True,fraud_concern
COMM-202301-000022,ACC0020660,IND2009001250,branch_visit,inbound,04/01/2023 10:45,Statement copy request,Please send me a copy of my latest statement and confirm the closing balance used for the month-end calculation.,negative,False,
COMM-202301-000023,ACC0043176,IND2204006331,social_media,inbound,2023/01/29 18:02:21,Complaint about service,"Hi there, The service delay is frustrating. I have followed up more than once and still do not have a proper answer.",negative,True,fee_dispute
COMM-202301-000024,ACC0002392,IND1902003391,app_message,inbound,2023-01-22T19:54:34+02:00,Digital wallet setup help,I need help setting up the digital wallet and linking it to the right account. The app keeps asking me to try again later.,neutral,False,
COMM-202301-000025,ACC0003782,IND1903008982,phone_call,inbound,19/01/2023 11:28,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Conduct teams press for clearer evidence on fees and failed payments' and wanted to check how it affects my account.,neutral,False,
COMM-202301-000026,ACC0034844,IND2111001061,social_media,inbound,2023/01/26 16:23:04,Kudos to branch staff,The branch team helped me quickly and explained the account options clearly. Please pass on my thanks.,neutral,False,
COMM-202301-000027,ACC0020386,IND2008000592,social_media,inbound,2023/01/15 10:42:19,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,digital_issue
COMM-202301-000028,ACC0054499,IND2211003744,app_message,inbound,2023-01-04T19:36:42+02:00,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Banks watch debit-order strain as households adjust spending' and wanted to check how it affects my account.,neutral,False,
COMM-202301-000029,ACC0001223,IND1901005824,social_media,inbound,2023/01/09 06:33:35,Complaint about service,The service delay is frustrating. I have followed up more than once and still do not have a proper answer.,neutral,False,
COMM-202301-000030,ACC0020428,IND2008000827,sms,outbound,2023-01-08T20:48:13+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",negative,False,
COMM-202301-000031,ACC0040959,IND2202000187,social_media,inbound,2023/01/25 06:52:26,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,incorrect_charge
