transaction_id,account_id,customer_id,loan_id,debit_order_id,installment_number,transaction_date,transaction_time,amount,debit_credit,status,failure_reason,description,immediate_payment,receiving_account,transaction_cost,ewallet_number,channel,loan_type,payment_type,is_recovery_attempt,source_system,has_data_error,data_error_types
TXNL202500000001,ACC0001282,IND19007129,LN2019010000002,,79,2025-08-14,05:35:51,1592.74,Debit,Completed,,Loan Payment - LN2019010000002,False,,2.5,,Online,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000002,ACC0000071,IND19001466,LN2019010000009,,79,2025-08-31,02:32:58,2024.12,Debit,Completed,,Loan Payment - LN2019010000009,False,,2.5,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000003,ACC0001490,IND19011784,LN2019010000010,LDO20250000001,79,2025-08-23,04:01:32,2454.22,Debit,Completed,,Loan Payment - LN2019010000010,False,,0.49,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000004,ACC0000597,IND19000749,LN2019010000017,LDO20250000003,79,2025-08-22,02:09:40,1458.14,Debit,Completed,,Loan Payment - LN2019010000017,False,,0.41,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000005,ACC0000731,IND19012784,LN2019010000018,LDO20250000001,79,2025-08-30,05:32:00,4603.72,Debit,Completed,,Loan Payment - LN2019010000018,False,,1.53,,Automated,Home Loan,standard_payment,False,loan_payment_generator,True,timestamp_shift
TXNL202500000006,ACC0000999,IND19000704,LN2019010000021,LDO20250000002,79,2025-08-30,02:54:43,1106.27,Debit,Completed,,Loan Payment - LN2019010000021,False,,1.87,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000007,ACC0000362,IND19010400,LN2019010000034,LDO20250000004,79,2025-08-20,03:47:23,1585.16,Debit,Failed,mandate_limit,Loan Payment - LN2019010000034,False,,1.46,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000008,ACC0000761,IND19003341,LN2019010000037,LDO20250000005,78,2025-08-10,03:50:11,2026.17,Debit,Completed,,Loan Payment - LN2019010000037 - Late Fee,False,,0.46,,Automated,Home Loan,late_payment,False,loan_payment_generator,False,
TXNL202500000009,ACC0000093,IND19006568,LN2019010000071,LDO20250000007,79,2025-08-13,04:41:37,1850.78,Debit,Completed,,Loan Payment - LN2019010000071,False,,1.6,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000010,ACC0000263,IND19010479,LN2019010000097,LDO20250000004,79,2025-08-14,04:27:39,5630.01,Debit,Completed,,Loan Payment - LN2019010000097,False,,1.01,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000011,ACC0000410,IND19006375,LN2019010000101,LDO20250000005,79,2025-08-22,04:15:55,907.14,Debit,Completed,,Loan Payment - LN2019010000101,False,,0.24,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000012,ACC0000187,IND19005404,LN2019010000103,LDO20250000006,79,2025-08-29,03:14:47,1397.88,Debit,Completed,,Loan Payment - LN2019010000103,False,,1.72,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000013,ACC0000365,IND19005374,LN2019010000112,LDO20250000001,79,2025-08-20,02:11:16,9497.71,Debit,Completed,,Loan Payment - LN2019010000112,False,,1.25,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000014,ACC0000812,IND19000596,LN2019010000123,LDO20250000014,78,2025-08-08,04:37:38,3218.63,Debit,Completed,,Loan Payment - LN2019010000123 - Late Fee,False,,0.24,,Automated,Home Loan,late_payment,False,loan_payment_generator,False,
TXNL202500000015,ACC0000726,IND19012497,LN2019010000124,LDO20250000015,79,2025-08-13,03:38:17,371.99,Debit,Completed,,Loan Payment - LN2019010000124,False,,0.45,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000016,ACC0000615,IND19010153,LN2019010000152,LDO20250000018,79,2025-08-20,03:12:57,3016.9,Debit,Completed,,Loan Payment - LN2019010000152,False,,0.53,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202500000017,ACC0000626,IND19000516,LN2019010000160,LDO20250000019,79,2025-08-27,03:01:48,2189.1,Debit,Completed,,Loan Payment - LN2019010000160,False,,1.31,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
