suggestion_id,account_id,customer_id,channel,timestamp,suggestion_text,category,status
SUG-202008-00001,ACC0009052,IND19009382,branch_visit,16/08/2020 08:45,Please add a simple way to see pending debit orders before month end.,digital_features,reviewed
SUG-202008-00002,ACC0003767,IND19010272,app_message,2020-08-22T13:02:26+02:00,Please send clearer notifications when account details change.,other,submitted
SUG-202008-00003,ACC0007455,IND19009143,branch_visit,22/08/2020 12:05,A monthly fee breakdown would make the statement easier to understand.,fees,reviewed
SUG-202008-00004,ACC0018126,IND19002669,branch_visit,27/08/2020 12:20,Please show bank charges before the customer confirms a payment.,fees,submitted
SUG-202008-00005,ACC0011454,IND19004910,branch_visit,20/08/2020 13:45,The branch queue system should send an SMS when it is nearly your turn.,branch_service,submitted
SUG-202008-00006,ACC0016712,IND19019376,branch_visit,01/08/2020 12:10,The branch queue system should send an SMS when it is nearly your turn.,branch_service,implemented
SUG-202008-00007,ACC0005442,IND19020561,branch_visit,21/08/2020 13:00,Please add better card freeze and unfreeze controls in the app.,digital_features,submitted
SUG-202008-00008,ACC0011792,IND19012021,app_message,2020-08-28T12:45:46+02:00,Please allow customers to book branch appointments from the app.,branch_service,submitted
SUG-202008-00009,ACC0012138,IND19011057,branch_visit,22/08/2020 13:45,Please allow customers to book branch appointments from the app.,branch_service,submitted
SUG-202008-00010,ACC0020151,IND20003893,phone_call,18/08/2020 13:52,Please add a simple way to see pending debit orders before month end.,digital_features,submitted
SUG-202008-00011,ACC0000169,IND19015276,app_message,2020-08-21T16:07:27+02:00,It would help if the app showed why a transfer is delayed instead of only saying pending.,digital_features,submitted
SUG-202008-00012,ACC0002510,IND19002274,phone_call,22/08/2020 15:01,Please add a simple way to see pending debit orders before month end.,digital_features,submitted
SUG-202008-00013,ACC0008749,IND19007392,phone_call,06/08/2020 15:25,Please send clearer notifications when account details change.,other,reviewed
SUG-202008-00014,ACC0014233,IND19011996,phone_call,27/08/2020 08:59,Please add better card freeze and unfreeze controls in the app.,digital_features,submitted
SUG-202008-00015,ACC0004822,IND19010352,branch_visit,06/08/2020 11:05,Please make statements easier to download for tax and rental applications.,other,submitted
SUG-202008-00016,ACC0002355,IND19008560,app_message,2020-08-12T19:39:46+02:00,Please show bank charges before the customer confirms a payment.,fees,submitted
