response_id,campaign_id,customer_id,account_id,response_date,response_type,conversion_value_zar,channel_used,notes
RESP-202310-0000001,CAMP-2023-009,IND2310016024,ACC0075065,2023-10-31,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000002,CAMP-2023-009,IND2310019908,ACC0075272,2023-10-24,clicked,,branch_poster,Customer clicked through to campaign landing page or product information.
RESP-202310-0000003,CAMP-2023-009,IND2310010046,ACC0075995,2023-10-28,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000004,CAMP-2023-009,IND2310004793,ACC0075944,2023-10-30,opened,,sms,Customer opened or viewed the campaign message.
RESP-202310-0000005,CAMP-2023-009,IND2310002130,ACC0075288,2023-10-29,clicked,,sms,Customer clicked through to campaign landing page or product information.
RESP-202310-0000006,CAMP-2023-009,IND2310016315,ACC0076232,2023-10-26,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000007,CAMP-2023-009,IND2310002758,ACC0074622,2023-10-29,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000008,CAMP-2023-009,IND2310024584,ACC0076039,2023-10-28,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000009,CAMP-2023-009,IND2310002264,,2023-10-27,opened,,sms,Customer opened or viewed the campaign message.
RESP-202310-0000010,CAMP-2023-009,IND2310025352,ACC0075949,2023-10-27,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000011,CAMP-2023-009,IND2310006470,,2023-10-27,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000012,CAMP-2023-009,IND2310018702,,2023-10-27,opted_out,,branch_poster,Customer opted out of marketing messages for this channel.
RESP-202310-0000013,CAMP-2023-009,IND2310012840,ACC0075193,2023-10-23,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000014,CAMP-2023-009,IND2310027112,ACC0075989,2023-10-28,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000015,CAMP-2023-009,IND2310020715,ACC0076072,2023-10-28,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000016,CAMP-2023-009,IND2310022496,ACC0075112,2023-10-24,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000017,CAMP-2023-009,IND2310026249,ACC0075225,2023-10-23,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000018,CAMP-2023-009,IND2310015451,ACC0076612,2023-10-26,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000019,CAMP-2023-009,IND2310028018,ACC0076461,2023-10-26,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000020,CAMP-2023-009,IND2310021648,ACC0076724,2023-10-29,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202310-0000021,CAMP-2023-009,IND2310002116,ACC0075101,2023-10-31,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000022,CAMP-2023-009,IND2310012720,ACC0075355,2023-10-31,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000023,CAMP-2023-009,IND2310004930,ACC0075748,2023-10-24,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000024,CAMP-2023-009,IND2310012316,ACC0076136,2023-10-26,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000025,CAMP-2023-009,IND2310018913,ACC0076303,2023-10-29,complained,,radio,"Customer complained about frequency, relevance or timing of marketing contact."
RESP-202310-0000026,CAMP-2023-009,IND2310013833,ACC0075984,2023-10-25,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000027,CAMP-2023-009,IND2310024068,ACC0074613,2023-10-30,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000028,CAMP-2023-009,IND2310020632,ACC0076102,2023-10-25,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000029,CAMP-2023-009,IND2310024668,ACC0075597,2023-10-25,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000030,CAMP-2023-009,IND2310022909,,2023-10-27,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202310-0000031,CAMP-2023-009,IND2310008633,ACC0075012,2023-10-26,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000032,CAMP-2023-009,IND2310019618,,2023-10-30,clicked,,sms,Customer clicked through to campaign landing page or product information.
RESP-202310-0000033,CAMP-2023-009,IND2310005441,ACC0075808,2023-10-23,clicked,,branch_poster,Customer clicked through to campaign landing page or product information.
RESP-202310-0000034,CAMP-2023-009,IND2310015354,ACC0074874,2023-10-29,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000035,CAMP-2023-009,IND2310023921,ACC0076300,2023-10-31,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202310-0000036,CAMP-2023-009,IND2310021007,ACC0076037,2023-10-31,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000037,CAMP-2023-009,IND2310019958,ACC0074738,2023-10-28,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202310-0000038,CAMP-2023-009,IND2310012470,ACC0075056,2023-10-30,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000039,CAMP-2023-009,IND2310008601,ACC0076000,2023-10-24,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202310-0000040,CAMP-2023-009,IND2310018393,ACC0075580,2023-10-29,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000041,CAMP-2023-009,IND2310015811,ACC0076028,2023-10-29,opted_out,,sms,Customer opted out of marketing messages for this channel.
RESP-202310-0000042,CAMP-2023-009,IND2310003233,ACC0076628,2023-10-27,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000043,CAMP-2023-009,IND2310005380,ACC0076282,2023-10-24,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000044,CAMP-2023-009,IND2310027200,ACC0074640,2023-10-29,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000045,CAMP-2023-009,IND2310020285,ACC0074923,2023-10-26,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202310-0000046,CAMP-2023-009,IND2310021671,ACC0075959,2023-10-29,opened,,radio,Customer opened or viewed the campaign message.
RESP-202310-0000047,CAMP-2023-009,IND2310017540,,2023-10-30,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000048,CAMP-2023-009,IND2310015951,ACC0075042,2023-10-31,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000049,CAMP-2023-009,IND2310001162,ACC0076202,2023-10-29,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202310-0000050,CAMP-2023-009,IND2310016272,ACC0075398,2023-10-28,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000051,CAMP-2023-009,IND2310002984,ACC0075241,2023-10-29,opened,,sms,Customer opened or viewed the campaign message.
RESP-202310-0000052,CAMP-2023-009,IND2310007473,,2023-10-25,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202310-0000053,CAMP-2023-009,IND2310007440,ACC0074835,2023-10-29,opted_out,,radio,Customer opted out of marketing messages for this channel.
RESP-202310-0000054,CAMP-2023-009,IND2310020880,ACC0075647,2023-10-27,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202310-0000055,CAMP-2023-009,IND2310000981,ACC0074961,2023-10-27,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202310-0000056,CAMP-2023-009,IND2310002004,,2023-10-27,ignored,,sms,No direct action recorded after campaign exposure.
RESP-202310-0000057,CAMP-2023-009,IND2310003486,,2023-10-26,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000058,CAMP-2023-009,IND2310023403,ACC0075834,2023-10-27,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000059,CAMP-2023-009,IND2310013504,ACC0076480,2023-10-29,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000060,CAMP-2023-009,IND2310004445,ACC0075261,2023-10-24,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000061,CAMP-2023-009,IND2310027785,ACC0074639,2023-10-31,opened,,sms,Customer opened or viewed the campaign message.
RESP-202310-0000062,CAMP-2023-009,IND2310003634,,2023-10-24,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000063,CAMP-2023-009,IND2310026088,ACC0076008,2023-10-24,ignored,,radio,No direct action recorded after campaign exposure.
RESP-202310-0000064,CAMP-2023-009,IND2310003978,ACC0075081,2023-10-31,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-202310-0000065,CAMP-2023-009,IND2310020197,ACC0076579,2023-10-23,opened,,sms,Customer opened or viewed the campaign message.
