year,month,customer_id,action,source_year,source_month
2019,12,COM1901000115,copied_prior_customer_row_into_month,2019,1
2019,12,COM1911000132,copied_prior_customer_row_into_month,2019,11
2019,12,COM1911000229,copied_prior_customer_row_into_month,2019,11
2019,12,IND1901000058,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901000376,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901000998,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901001326,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901001697,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901002237,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901002312,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901002349,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901002495,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901003161,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901003353,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901003845,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901005181,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901007349,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901007801,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901008118,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901008404,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901009152,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901009273,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901009322,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901009634,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901010698,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901010743,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901011344,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901011746,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901011832,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901012603,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901012795,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901013470,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901013798,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901015357,copied_prior_customer_row_into_month,2019,1
2019,12,IND1901015694,copied_prior_customer_row_into_month,2019,1
2019,12,IND1902000019,copied_prior_customer_row_into_month,2019,2
2019,12,IND1902000352,copied_prior_customer_row_into_month,2019,2
2019,12,IND1902001301,copied_prior_customer_row_into_month,2019,2
2019,12,IND1902001753,copied_prior_customer_row_into_month,2019,2
2019,12,IND1902001906,copied_prior_customer_row_into_month,2019,2
2019,12,IND1902002283,copied_prior_customer_row_into_month,2019,2
2019,12,IND1902003410,copied_prior_customer_row_into_month,2019,2
2019,12,IND1902004041,copied_prior_customer_row_into_month,2019,2
2019,12,IND1902005131,copied_prior_customer_row_into_month,2019,2
2019,12,IND1902005988,copied_prior_customer_row_into_month,2019,2
2019,12,IND1902007645,copied_prior_customer_row_into_month,2019,2
2019,12,IND1902008304,copied_prior_customer_row_into_month,2019,2
2019,12,IND1902008947,copied_prior_customer_row_into_month,2019,2
2019,12,IND1902009649,copied_prior_customer_row_into_month,2019,2
2019,12,IND1902012391,copied_prior_customer_row_into_month,2019,2
2019,12,IND1902013436,copied_prior_customer_row_into_month,2019,2
2019,12,IND1902013869,copied_prior_customer_row_into_month,2019,2
2019,12,IND1902014767,copied_prior_customer_row_into_month,2019,2
2019,12,IND1902014934,copied_prior_customer_row_into_month,2019,2
2019,12,IND1902015595,copied_prior_customer_row_into_month,2019,2
2019,12,IND1902016466,copied_prior_customer_row_into_month,2019,2
2019,12,IND1902016907,copied_prior_customer_row_into_month,2019,2
2019,12,IND1902017125,copied_prior_customer_row_into_month,2019,2
2019,12,IND1903000323,copied_prior_customer_row_into_month,2019,3
2019,12,IND1903001406,copied_prior_customer_row_into_month,2019,3
2019,12,IND1903002060,copied_prior_customer_row_into_month,2019,3
2019,12,IND1903003699,copied_prior_customer_row_into_month,2019,3
2019,12,IND1903004563,copied_prior_customer_row_into_month,2019,3
2019,12,IND1903006727,copied_prior_customer_row_into_month,2019,3
2019,12,IND1903007025,copied_prior_customer_row_into_month,2019,3
2019,12,IND1903007254,copied_prior_customer_row_into_month,2019,3
2019,12,IND1903008902,copied_prior_customer_row_into_month,2019,3
2019,12,IND1903010037,copied_prior_customer_row_into_month,2019,3
2019,12,IND1903010313,copied_prior_customer_row_into_month,2019,3
2019,12,IND1903010751,copied_prior_customer_row_into_month,2019,3
2019,12,IND1903011021,copied_prior_customer_row_into_month,2019,3
2019,12,IND1903011221,copied_prior_customer_row_into_month,2019,3
2019,12,IND1903011369,copied_prior_customer_row_into_month,2019,3
2019,12,IND1903011831,copied_prior_customer_row_into_month,2019,3
2019,12,IND1903012057,copied_prior_customer_row_into_month,2019,3
2019,12,IND1903013648,copied_prior_customer_row_into_month,2019,3
2019,12,IND1903014389,copied_prior_customer_row_into_month,2019,3
2019,12,IND1903014872,copied_prior_customer_row_into_month,2019,3
2019,12,IND1903015216,copied_prior_customer_row_into_month,2019,3
