transaction_id,account_id,customer_id,loan_id,debit_order_id,installment_number,transaction_date,transaction_time,amount,debit_credit,status,failure_reason,description,immediate_payment,receiving_account,transaction_cost,ewallet_number,channel,loan_type,payment_type,is_recovery_attempt,source_system,has_data_error,data_error_types
TXNL202100000001,ACC0001282,IND19007129,LN2019010000002,,25,2021-02-14,03:35:47,1592.74,Debit,Completed,,Loan Payment - LN2019010000002,False,,2.5,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000002,ACC0000071,IND19001466,LN2019010000009,,25,2021-02-28,03:14:27,2125.33,Debit,Completed,,Loan Payment - LN2019010000009 - Late Fee,False,,2.5,,Automated,Home Loan,late_payment,False,loan_payment_generator,False,
TXNL202100000003,ACC0001490,IND19011784,LN2019010000010,LDO20210000001,25,2021-02-23,04:45:08,2454.22,Debit,Cancelled,customer_stop_instruction,Loan Payment - LN2019010000010,False,,0.35,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000004,ACC0000278,IND19005139,LN2019010000015,LDO20210000002,25,2021-02-28,03:03:21,2472.86,Debit,Completed,,Loan Payment - LN2019010000015,False,,1.15,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000005,ACC0000597,IND19000749,LN2019010000017,LDO20210000001,25,2021-02-22,02:48:44,1458.14,Debit,Completed,,Loan Payment - LN2019010000017,False,,1.0,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000006,ACC0000731,IND19012784,LN2019010000018,LDO20210000002,25,2021-02-28,04:24:58,4603.72,Debit,Completed,,Loan Payment - LN2019010000018,False,,1.4,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000007,ACC0000999,IND19000704,LN2019010000021,LDO20210000003,25,2021-02-28,03:05:13,1106.27,Debit,Completed,,Loan Payment - LN2019010000021,False,,1.23,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000008,ACC0000362,IND19010400,LN2019010000034,LDO20210000004,25,2021-02-20,04:00:23,1585.16,Debit,Completed,,Loan Payment - LN2019010000034,False,,0.48,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000009,ACC0000761,IND19003341,LN2019010000037,LDO20210000005,24,2021-02-10,04:35:37,1929.69,Debit,Completed,,Loan Payment - LN2019010000037,False,,0.17,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000010,ACC0000661,IND19013332,LN2019010000040,LDO20210000006,25,2021-02-25,04:46:34,3565.48,Debit,Completed,,Loan Payment - LN2019010000040,False,,1.35,,Automated,Personal Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000011,ACC0000361,IND19010400,LN2019010000048,,25,2021-02-28,03:50:59,990.52,Debit,Failed,bank_timeout,Loan Payment - LN2019010000048,False,,2.5,,Automated,Personal Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000012,ACC0000305,IND19009608,LN2019010000064,LDO20210000007,25,2021-02-15,04:08:24,2594.15,Debit,Completed,,Loan Payment - LN2019010000064,False,,1.38,,Automated,Personal Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000013,ACC0000093,IND19006568,LN2019010000071,,25,2021-02-13,04:32:53,1253.22,Debit,Completed,,Loan Payment - LN2019010000071 - Partial,False,,2.5,,Automated,Home Loan,partial_payment,False,loan_payment_generator,False,
TXNL202100000014,ACC0000412,IND19013952,LN2019010000075,LDO20210000003,25,2021-02-28,02:06:22,3629.72,Debit,Failed,insufficient_funds,Loan Payment - LN2019010000075,False,,0.99,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000015,ACC0000227,IND19010979,LN2019010000078,LDO20210000004,25,2021-02-13,02:25:31,686.25,Debit,Completed,,Loan Payment - LN2019010000078,False,,0.98,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000016,ACC0000895,IND19014589,LN2019010000089,LDO20210000008,25,2021-02-28,02:49:10,1496.91,Debit,Completed,,Loan Payment - LN2019010000089,False,,0.72,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000017,ACC0000190,IND19004840,LN2019010000090,LDO20210000009,24,2021-02-04,04:05:26,3511.44,Debit,Completed,,Loan Payment - LN2019010000090,False,,1.83,,Automated,Personal Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000018,ACC0001439,IND19009694,LN2019010000095,LDO20210000010,25,2021-02-18,02:06:51,1221.56,Debit,Completed,,Loan Payment - LN2019010000095,False,,0.69,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000019,ACC0000263,IND19010479,LN2019010000097,LDO20210000011,25,2021-02-14,03:12:56,5630.01,Debit,Completed,,Loan Payment - LN2019010000097,False,,1.08,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000020,ACC0000410,IND19006375,LN2019010000101,LDO20210000006,25,2021-02-22,04:39:18,907.14,Debit,Completed,,Loan Payment - LN2019010000101,False,,0.47,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000021,ACC0000187,IND19005404,LN2019010000103,LDO20210000012,25,2021-02-28,04:26:43,1397.88,Debit,Completed,,Loan Payment - LN2019010000103,False,,0.74,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000022,ACC0000901,IND19009242,LN2019010000104,,25,2021-02-28,03:04:52,2070.51,Debit,Completed,,Loan Payment - LN2019010000104,False,,2.5,,Automated,Personal Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000023,ACC0000365,IND19005374,LN2019010000112,LDO20210000007,25,2021-02-20,03:52:12,9497.71,Debit,Completed,,Loan Payment - LN2019010000112,False,,1.47,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000024,ACC0000066,IND19000708,LN2019010000114,LDO20210000013,25,2021-02-24,04:31:31,1531.66,Debit,Completed,,Loan Payment - LN2019010000114 - Partial,False,,0.5,,Automated,Vehicle Loan,partial_payment,False,loan_payment_generator,False,
TXNL202100000025,ACC0000041,IND19003405,LN2019010000118,LDO20210000014,25,2021-02-11,04:28:02,1317.23,Debit,Completed,,Loan Payment - LN2019010000118,False,,0.45,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000026,ACC0000146,IND19003418,LN2019010000122,LDO20210000015,24,2021-02-04,02:45:16,1173.8,Debit,Completed,,Loan Payment - LN2019010000122,False,,0.13,,Automated,Personal Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000027,ACC0000812,IND19000596,LN2019010000123,LDO20210000016,24,2021-02-08,03:06:30,3065.36,Debit,Completed,,Loan Payment - LN2019010000123,False,,0.17,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000028,ACC0000726,IND19012497,LN2019010000124,LDO20210000017,25,2021-02-13,04:52:54,371.99,Debit,Completed,,Loan Payment - LN2019010000124,False,,0.97,,Automated,Home Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000029,ACC0000959,IND19007081,LN2019010000129,LDO20210000018,25,2021-02-14,03:20:28,1082.28,Debit,Completed,,Loan Payment - LN2019010000129,False,,1.07,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000030,ACC0000635,IND19017267,LN2019010000138,,24,2021-02-03,02:04:57,5989.53,Debit,Completed,,Loan Payment - LN2019010000138,False,,2.5,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
TXNL202100000031,ACC0000642,IND19009914,LN2019010000142,LDO20210000019,25,2021-02-24,02:25:33,740.28,Debit,Completed,,Loan Payment - LN2019010000142,False,,1.49,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator,False,
