account_id,customer_id,bank_name,account_type,account_tier,statement_timeframe_months,analysis_segment
ACC0056438,IND22005625,Discovery Bank,savings,basic,6,basic_savings
ACC0056439,IND22011994,Absa,savings,standard,6,standard_savings
ACC0056440,IND22004374,Nedbank,savings,standard,3,standard_savings
ACC0056441,IND22004196,Standard Bank,easy,basic,6,basic_easy
ACC0056442,IND22006066,First National Bank,cheque,standard,3,standard_cheque
ACC0056443,IND22005386,Standard Bank,easy,basic,6,basic_easy
ACC0056444,IND22001912,First National Bank,easy,basic,6,basic_easy
ACC0056445,IND22000213,First National Bank,savings,basic,6,basic_savings
ACC0056446,IND22000941,Nedbank,premium,premium,3,premium_premium
ACC0056447,IND22004502,Standard Bank,gold,premium,6,premium_gold
ACC0056449,IND22000616,Absa,current,standard,6,standard_current
ACC0056450,IND22007993,Absa,easy,basic,6,basic_easy
ACC0056451,IND22000590,Standard Bank,easy,basic,3,basic_easy
ACC0056452,IND22011577,Standard Bank,savings,standard,6,standard_savings
ACC0056453,IND22011577,Nedbank,current,standard,3,standard_current
ACC0056454,IND22001193,First National Bank,savings,basic,3,basic_savings
ACC0056455,IND22002194,First National Bank,savings,standard,6,standard_savings
ACC0056456,IND22002194,Standard Bank,cheque,standard,3,standard_cheque
ACC0056457,IND22014506,Capitec,savings,basic,6,basic_savings
ACC0056458,IND22006592,Capitec,savings,standard,3,standard_savings
ACC0056459,IND22013712,First National Bank,savings,standard,6,standard_savings
ACC0056460,IND22007067,First National Bank,easy,basic,3,basic_easy
ACC0056461,IND22002314,Absa,easy,basic,3,basic_easy
ACC0056462,IND22012170,Standard Bank,easy,basic,3,basic_easy
ACC0056463,IND22005132,Capitec,savings,standard,6,standard_savings
ACC0056465,IND22012817,Absa,easy,basic,6,basic_easy
ACC0056467,IND22007099,Capitec,joint,basic,6,basic_joint
ACC0056468,IND22000774,Absa,savings,standard,6,standard_savings
ACC0056469,IND22002530,Standard Bank,savings,standard,3,standard_savings
ACC0056470,IND22011293,First National Bank,savings,standard,3,standard_savings
ACC0056471,IND22011293,Capitec,current,standard,6,standard_current
ACC0056472,IND22004898,First National Bank,savings,standard,3,standard_savings
ACC0056473,IND22006759,Absa,easy,basic,6,basic_easy
ACC0056474,IND22011525,African Bank,current,standard,6,standard_current
ACC0056475,IND22009405,Standard Bank,easy,basic,6,basic_easy
ACC0056476,IND22014447,Absa,savings,basic,6,basic_savings
ACC0056477,IND22007226,First National Bank,savings,basic,6,basic_savings
ACC0056478,IND22011295,First National Bank,savings,basic,3,basic_savings
ACC0056480,IND22008019,Standard Bank,current,standard,3,standard_current
ACC0056481,IND22009833,Capitec,easy,basic,3,basic_easy
ACC0056482,IND22003018,Standard Bank,easy,basic,3,basic_easy
ACC0056483,IND22006218,Standard Bank,savings,basic,3,basic_savings
ACC0056484,IND22013357,Nedbank,easy,basic,3,basic_easy
ACC0056486,IND22003240,First National Bank,easy,basic,3,basic_easy
ACC0056488,IND22013352,Nedbank,current,standard,6,standard_current
ACC0056489,IND22013352,Nedbank,joint,standard,6,standard_joint
ACC0056490,IND22007125,Capitec,easy,basic,6,basic_easy
ACC0056491,IND22002098,First National Bank,savings,basic,3,basic_savings
ACC0056492,IND22010637,Absa,savings,standard,6,standard_savings
ACC0056493,IND22001827,Standard Bank,savings,standard,6,standard_savings
ACC0056494,IND22001827,African Bank,current,standard,3,standard_current
ACC0056495,IND22012580,Absa,cheque,standard,6,standard_cheque
ACC0056496,IND22012580,Standard Bank,cheque,standard,3,standard_cheque
ACC0056497,IND22003238,Capitec,savings,standard,6,standard_savings
