reconciliation_run_id,account_id,customer_id,ledger_transaction_id,statement_transaction_id,ledger_amount,statement_amount,ledger_date,statement_date,match_status,exception_category,root_cause_tag,confidence_score,source_system_lag_days,expected_settlement_date
RECON-202212-ACC0056438-6M,ACC0056438,IND22005625,,BST-ACC0056438-000001,,2.38,,2022-12-25 13:10:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.93,,
RECON-202212-ACC0056438-6M,ACC0056438,IND22005625,,BST-ACC0056438-000002,,-125.02,,2022-12-25 13:10:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.931,,
RECON-202212-ACC0056438-6M,ACC0056438,IND22005625,,BST-ACC0056438-000003,,-19.94,,2023-01-25 17:49:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.96,,
RECON-202212-ACC0056438-6M,ACC0056438,IND22005625,,BST-ACC0056438-000004,,-63.68,,2023-01-25 17:49:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.909,,
RECON-202212-ACC0056438-6M,ACC0056438,IND22005625,,BST-ACC0056438-000005,,-37.05,,2023-02-25 14:32:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.949,,
RECON-202212-ACC0056438-6M,ACC0056438,IND22005625,,BST-ACC0056438-000006,,-120.35,,2023-02-25 14:32:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.965,,
RECON-202212-ACC0056438-6M,ACC0056438,IND22005625,,BST-ACC0056438-000007,,-51.44,,2023-03-25 12:02:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.896,,
RECON-202212-ACC0056438-6M,ACC0056438,IND22005625,,BST-ACC0056438-000008,,-128.29,,2023-03-25 12:02:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.952,,
RECON-202212-ACC0056438-6M,ACC0056438,IND22005625,,BST-ACC0056438-000009,,-24.39,,2023-04-25 15:55:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.931,,
RECON-202212-ACC0056438-6M,ACC0056438,IND22005625,,BST-ACC0056438-000010,,-12.83,,2023-04-25 15:55:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.97,,
RECON-202212-ACC0056438-6M,ACC0056438,IND22005625,,BST-ACC0056438-000011,,8.05,,2023-05-25 07:25:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.972,,
RECON-202212-ACC0056438-6M,ACC0056438,IND22005625,,BST-ACC0056438-000012,,-87.54,,2023-05-25 07:25:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.9,,
RECON-202212-ACC0056439-6M,ACC0056439,IND22011994,,BST-ACC0056439-000074,,-59.46,,2022-12-25 13:18:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.955,,
RECON-202212-ACC0056439-6M,ACC0056439,IND22011994,,BST-ACC0056439-000075,,-8.73,,2022-12-25 13:18:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.919,,
RECON-202212-ACC0056439-6M,ACC0056439,IND22011994,,BST-ACC0056439-000076,,-71.97,,2023-01-25 14:49:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.967,,
RECON-202212-ACC0056439-6M,ACC0056439,IND22011994,,BST-ACC0056439-000077,,-139.76,,2023-02-25 15:17:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.904,,
RECON-202212-ACC0056439-6M,ACC0056439,IND22011994,,BST-ACC0056439-000078,,-69.04,,2023-03-25 10:03:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.919,,
RECON-202212-ACC0056439-6M,ACC0056439,IND22011994,,BST-ACC0056439-000079,,5.74,,2023-03-25 10:03:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.935,,
RECON-202212-ACC0056439-6M,ACC0056439,IND22011994,,BST-ACC0056439-000080,,-53.39,,2023-04-25 16:51:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.934,,
RECON-202212-ACC0056439-6M,ACC0056439,IND22011994,,BST-ACC0056439-000081,,7.88,,2023-04-25 16:51:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.965,,
RECON-202212-ACC0056439-6M,ACC0056439,IND22011994,,BST-ACC0056439-000082,,3.21,,2023-05-25 07:23:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.883,,
RECON-202212-ACC0056439-6M,ACC0056439,IND22011994,,BST-ACC0056439-000083,,-14.31,,2023-05-25 07:23:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.881,,
RECON-202212-ACC0056440-3M,ACC0056440,IND22004374,,BST-ACC0056440-000001,,-55.68,,2022-12-25 13:58:00,exception,non_transactional_bank_entry,bank_generated_fee_or_interest,0.967,,
