month,account_id,customer_id,transaction_count,total_debits,total_credits,net_movement,avg_transaction_amount,failed_count,fraud_count
2022-12,ACC0056439,IND22011994,74,30629.03,1010.26,-29618.77,427.56,1,0
2022-12,ACC0056441,IND22004196,66,15270.53,763.47,-14507.06,242.94,2,0
2022-12,ACC0056443,IND22005386,85,55228.79,1268.34,-53960.45,664.67,2,0
2022-12,ACC0056445,IND22000213,60,15609.94,0.0,-15609.94,260.17,0,0
2022-12,ACC0056446,IND22000941,59,29329.81,0.0,-29329.81,497.12,1,1
2022-12,ACC0056447,IND22004502,58,40161.4,2679.73,-37481.67,738.64,1,0
2022-12,ACC0056449,IND22000616,73,27750.49,970.91,-26779.58,393.44,0,1
2022-12,ACC0056454,IND22001193,61,22117.02,0.0,-22117.02,362.57,1,1
2022-12,ACC0056455,IND22002194,68,31942.0,3640.75,-28301.25,523.28,2,1
2022-12,ACC0056457,IND22014506,43,10611.71,0.0,-10611.71,246.78,1,0
2022-12,ACC0056458,IND22006592,74,28890.93,0.0,-28890.93,390.42,3,0
2022-12,ACC0056460,IND22007067,71,14564.55,0.0,-14564.55,205.13,0,1
2022-12,ACC0056461,IND22002314,67,23747.35,1793.08,-21954.27,381.2,1,0
2022-12,ACC0056463,IND22005132,71,24295.53,1747.67,-22547.86,366.81,1,0
2022-12,ACC0056465,IND22012817,72,13399.71,0.0,-13399.71,186.11,1,1
2022-12,ACC0056468,IND22000774,58,48685.06,781.76,-47903.3,852.88,0,0
2022-12,ACC0056469,IND22002530,66,22770.58,3231.5,-19539.08,393.97,1,1
2022-12,ACC0056470,IND22011293,66,26941.36,1845.81,-25095.55,436.17,0,0
2022-12,ACC0056472,IND22004898,74,26814.21,3025.14,-23789.07,403.23,0,0
2022-12,ACC0056475,IND22009405,55,11067.39,0.0,-11067.39,201.23,0,1
2022-12,ACC0056477,IND22007226,39,6139.26,510.19,-5629.07,170.5,0,0
2022-12,ACC0056478,IND22011295,59,8827.04,0.0,-8827.04,149.61,1,0
2022-12,ACC0056481,IND22009833,66,15860.91,0.0,-15860.91,240.32,1,0
2022-12,ACC0056483,IND22006218,55,11642.33,0.0,-11642.33,211.68,1,0
2022-12,ACC0056484,IND22013357,73,17030.39,0.0,-17030.39,233.29,0,1
2022-12,ACC0056488,IND22013352,87,42026.77,0.0,-42026.77,483.07,0,0
2022-12,ACC0056490,IND22007125,90,28908.05,1495.27,-27412.78,337.81,0,1
2022-12,ACC0056492,IND22010637,90,31470.39,4182.22,-27288.17,396.14,0,0
2022-12,ACC0056493,IND22001827,83,24669.93,1412.02,-23257.91,314.24,3,0
2022-12,ACC0056500,IND22011503,74,14908.42,73.83,-14834.59,202.46,1,2
2022-12,ACC0056502,IND22002401,77,22353.43,686.39,-21667.04,299.22,2,0
2022-12,ACC0056503,IND22012051,70,21193.14,1420.69,-19772.45,323.05,0,1
2022-12,ACC0056505,IND22004913,65,11935.3,375.78,-11559.52,189.4,0,0
2022-12,ACC0056506,IND22006946,76,24351.64,818.39,-23533.25,331.18,0,0
2022-12,ACC0056507,IND22010143,65,25478.76,4388.35,-21090.41,459.49,0,1
2022-12,ACC0056510,IND22008709,72,13792.72,0.0,-13792.72,191.57,0,0
2022-12,ACC0056515,IND22001117,56,20380.37,0.0,-20380.37,363.94,1,0
2022-12,ACC0056521,IND22007507,82,29960.87,1836.58,-28124.29,387.77,1,0
2022-12,ACC0056523,IND22006137,63,11844.16,929.23,-10914.93,202.75,1,0
2022-12,ACC0056524,IND22014019,68,35389.88,0.0,-35389.88,520.44,1,1
2022-12,ACC0056526,IND22003306,54,14205.89,0.0,-14205.89,257.88,1,1
2022-12,ACC0056527,IND22014216,55,17494.82,0.0,-17494.82,318.09,1,0
2022-12,ACC0056528,IND22014728,43,13441.73,0.0,-13441.73,312.6,0,1
2022-12,ACC0056529,IND22007836,63,18553.04,406.7,-18146.34,300.95,0,0
2022-12,ACC0056531,IND22013694,78,35901.55,1532.15,-34369.4,479.92,2,0
2022-12,ACC0056532,IND22004056,78,21914.98,480.92,-21434.06,287.13,0,1
2022-12,ACC0056534,IND22000306,60,59805.66,1750.82,-58054.84,1025.94,0,0
2022-12,ACC0056535,IND22008411,66,35208.16,1806.32,-33401.84,560.83,1,1
2022-12,ACC0056537,IND22004695,77,30718.68,2271.1,-28447.58,428.44,1,0
2022-12,ACC0056538,IND22010779,77,80580.26,2555.26,-78025.0,1079.68,1,0
2022-12,ACC0056540,IND22008420,50,12949.89,0.0,-12949.89,259.0,1,0
2022-12,ACC0056542,IND22004498,57,10063.43,0.0,-10063.43,176.55,0,1
2022-12,ACC0056544,IND22006539,74,42598.51,1533.9,-41064.61,596.38,0,0
2022-12,ACC0056546,IND22012877,77,32149.36,6147.56,-26001.8,497.36,1,4
2022-12,ACC0056547,IND22011829,72,21549.05,691.35,-20857.7,308.89,1,0
2022-12,ACC0056548,IND22011696,65,15569.47,0.0,-15569.47,239.53,1,1
2022-12,ACC0056550,IND22012922,67,27314.33,4039.58,-23274.75,467.97,1,0
2022-12,ACC0056551,IND22009782,70,23881.9,1002.97,-22878.93,355.5,0,1
2022-12,ACC0056553,IND22010343,66,12609.34,926.55,-11682.79,205.09,0,0
2022-12,ACC0056556,IND22006002,71,51267.51,0.0,-51267.51,722.08,0,1
2022-12,ACC0056561,IND22009011,77,28517.06,2232.2,-26284.86,399.34,0,0
2022-12,ACC0056572,IND22005230,78,45519.86,0.0,-45519.86,583.59,1,0
2022-12,ACC0056576,IND22010258,72,37933.35,0.0,-37933.35,526.85,0,0
2022-12,ACC0056578,IND22003121,71,13950.74,0.0,-13950.74,196.49,0,0
2022-12,ACC0056579,IND22012621,47,14778.63,0.0,-14778.63,314.44,1,0
2022-12,ACC0056580,IND22005355,90,38858.01,2625.11,-36232.9,460.92,2,1
2022-12,ACC0056582,IND22011092,71,28731.58,4643.31,-24088.27,470.07,0,0
2022-12,ACC0056585,IND22004514,71,24861.71,1762.91,-23098.8,374.99,1,0
2022-12,ACC0056586,IND22003019,60,30708.9,1643.48,-29065.42,539.21,0,1
2022-12,ACC0056588,IND22002892,55,16480.13,0.0,-16480.13,299.64,0,0
2022-12,ACC0056595,IND22011404,69,22056.59,1029.38,-21027.21,334.58,0,0
2022-12,ACC0056596,IND22005134,71,29395.21,924.28,-28470.93,427.04,0,1
2022-12,ACC0056597,IND22008695,77,37020.65,2778.55,-34242.1,516.87,1,0
2022-12,ACC0056602,IND22004052,59,22363.75,0.0,-22363.75,379.05,3,0
2022-12,ACC0056603,IND22001801,83,45127.77,4538.64,-40589.13,598.39,0,1
2022-12,ACC0056605,IND22002904,82,23231.24,842.25,-22388.99,293.58,4,1
2022-12,ACC0056606,IND22003489,89,36204.46,5226.12,-30978.34,465.51,0,0
2022-12,ACC0056607,IND22003785,49,8456.61,0.0,-8456.61,172.58,1,0
2022-12,ACC0056609,IND22000433,66,27320.98,7909.7,-19411.28,533.8,0,0
2022-12,ACC0056613,IND22008038,72,28442.92,610.22,-27832.7,403.52,0,1
2022-12,ACC0056615,IND22013594,44,11343.88,0.0,-11343.88,257.82,0,0
2022-12,ACC0056616,IND22004472,77,26525.3,2090.77,-24434.53,371.64,1,1
2022-12,ACC0056617,IND22008051,66,12865.38,0.0,-12865.38,187.13,0,0
2022-12,ACC0056618,IND22006095,72,28420.44,0.0,-28420.44,394.73,2,0
