month,channel,transaction_count,total_amount,unique_customers,failed_count,avg_authorization_time_ms,failure_rate
2022-12,atm,2123,748798.61,467,93,910.38,0.0438
2022-12,contactless,2756,839439.48,335,8,923.26,0.0029
2022-12,ewallet,977,369437.18,326,1,943.8,0.001
2022-12,mobile_banking_app,15903,6771254.74,500,37,922.91,0.0023
2022-12,online_banking,1909,1158628.08,342,3,932.1,0.0016
2022-12,pos,5286,1885581.37,500,197,915.22,0.0373
2022-12,scheduled_payment,130,535756.13,113,5,618.32,0.0385
2022-12,ussd,4551,1451665.0,398,10,914.2,0.0022
2023-01,mobile_banking_app,43,18246.7,36,1,781.44,0.0233
2023-01,online_banking,4,2369.92,3,0,1374.0,0.0
2023-01,ussd,25,9924.79,25,0,761.76,0.0
