response_id,campaign_id,customer_id,account_id,response_date,response_type,conversion_value_zar,channel_used,notes
RESP-201911-0000001,CAMP-2019-004,IND19020808,ACC0015809,2019-11-10,opened,,sms,Customer opened or viewed the campaign message.
RESP-201911-0000002,CAMP-2019-004,IND19009653,,2019-11-14,opened,,sms,Customer opened or viewed the campaign message.
RESP-201911-0000003,CAMP-2019-004,IND19022043,ACC0015820,2019-11-09,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-201911-0000004,CAMP-2019-004,IND19012188,,2019-11-15,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-201911-0000005,CAMP-2019-004,IND19001695,,2019-11-13,ignored,,sms,No direct action recorded after campaign exposure.
RESP-201911-0000006,CAMP-2019-004,IND19003092,,2019-11-14,opened,,sms,Customer opened or viewed the campaign message.
RESP-201911-0000007,CAMP-2019-004,IND19001143,ACC0016028,2019-11-07,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-201911-0000008,CAMP-2019-004,IND19005431,ACC0015951,2019-11-24,ignored,,sms,No direct action recorded after campaign exposure.
RESP-201911-0000009,CAMP-2019-004,IND19000012,ACC0017129,2019-11-15,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-201911-0000010,CAMP-2019-004,IND19018066,ACC0016388,2019-11-25,ignored,,sms,No direct action recorded after campaign exposure.
RESP-201911-0000011,CAMP-2019-004,IND19001243,ACC0016269,2019-11-25,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-201911-0000012,CAMP-2019-004,IND19006285,ACC0015804,2019-11-12,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-201911-0000013,CAMP-2019-004,IND19006492,ACC0015653,2019-11-20,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-201911-0000014,CAMP-2019-004,IND19012944,,2019-11-13,opened,,sms,Customer opened or viewed the campaign message.
RESP-201911-0000015,CAMP-2019-004,IND19005170,ACC0015789,2019-11-24,ignored,,sms,No direct action recorded after campaign exposure.
RESP-201911-0000016,CAMP-2019-004,IND19007109,ACC0015527,2019-11-19,ignored,,sms,No direct action recorded after campaign exposure.
RESP-201911-0000017,CAMP-2019-004,IND19004383,ACC0016854,2019-11-21,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-201911-0000018,CAMP-2019-004,IND19016953,ACC0016867,2019-11-09,opened,,branch_poster,Customer opened or viewed the campaign message.
RESP-201911-0000019,CAMP-2019-004,IND19003675,ACC0016774,2019-11-10,opened,,sms,Customer opened or viewed the campaign message.
RESP-201911-0000020,CAMP-2019-004,IND19003594,ACC0016880,2019-11-18,opened,,sms,Customer opened or viewed the campaign message.
RESP-201911-0000021,CAMP-2019-004,IND19009259,,2019-11-10,opened,,sms,Customer opened or viewed the campaign message.
RESP-201911-0000022,CAMP-2019-004,IND19004713,ACC0017150,2019-11-14,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-201911-0000023,CAMP-2019-004,IND19022121,ACC0017101,2019-11-07,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-201911-0000024,CAMP-2019-004,IND19011006,ACC0015550,2019-11-15,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-201911-0000025,CAMP-2019-004,IND19008567,ACC0016619,2019-11-20,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-201911-0000026,CAMP-2019-004,IND19001537,ACC0015511,2019-11-07,ignored,,branch_poster,No direct action recorded after campaign exposure.
RESP-201911-0000027,CAMP-2019-004,IND19018121,,2019-11-15,ignored,,sms,No direct action recorded after campaign exposure.
RESP-201911-0000028,CAMP-2019-004,IND19005566,,2019-11-14,ignored,,sms,No direct action recorded after campaign exposure.
RESP-201911-0000029,CAMP-2019-004,IND19001417,,2019-11-19,ignored,,sms,No direct action recorded after campaign exposure.
RESP-201911-0000030,CAMP-2019-005,IND19012110,,2019-11-16,opened,,sms,Customer opened or viewed the campaign message.
RESP-201911-0000031,CAMP-2019-005,IND19012445,,2019-11-30,ignored,,sms,No direct action recorded after campaign exposure.
